"Título de trazado: WL_04"
"N.º","Fecha Tiempo, GMT-05:00","Pres abs, psi (LGR S/N: 20968507, SEN S/N: 20968507)","Temp, °F (LGR S/N: 20968507, SEN S/N: 20968507)","Acoplador separado (LGR S/N: 20968507)","Acoplador adjunto (LGR S/N: 20968507)","Host conectado (LGR S/N: 20968507)","Parado (LGR S/N: 20968507)","Final de archivo (LGR S/N: 20968507)"
32,12/29/21 09:00:00 PM,9.2538,46.728,,,,,
33,12/29/21 09:15:00 PM,9.2573,46.728,,,,,
34,12/29/21 09:30:00 PM,9.2573,46.728,,,,,
35,12/29/21 09:45:00 PM,9.2588,46.548,,,,,
36,12/29/21 10:00:00 PM,9.2588,46.548,,,,,
37,12/29/21 10:15:00 PM,9.2605,46.548,,,,,
38,12/29/21 10:30:00 PM,9.2570,46.548,,,,,
39,12/29/21 10:45:00 PM,9.2566,46.369,,,,,
40,12/29/21 11:00:00 PM,9.2566,46.369,,,,,
41,12/29/21 11:15:00 PM,9.2566,46.369,,,,,
42,12/29/21 11:30:00 PM,9.2531,46.369,,,,,
43,12/29/21 11:45:00 PM,9.2544,46.188,,,,,
44,12/30/21 12:00:00 AM,9.2527,46.188,,,,,
45,12/30/21 12:15:00 AM,9.2509,46.188,,,,,
46,12/30/21 12:30:00 AM,9.2492,46.188,,,,,
47,12/30/21 12:45:00 AM,9.2453,46.008,,,,,
48,12/30/21 01:00:00 AM,9.2435,46.008,,,,,
49,12/30/21 01:15:00 AM,9.2435,46.008,,,,,
50,12/30/21 01:30:00 AM,9.2399,46.008,,,,,
51,12/30/21 01:45:00 AM,9.2414,45.828,,,,,
52,12/30/21 02:00:00 AM,9.2414,45.828,,,,,
53,12/30/21 02:15:00 AM,9.2375,45.648,,,,,
54,12/30/21 02:30:00 AM,9.2375,45.648,,,,,
55,12/30/21 02:45:00 AM,9.2375,45.648,,,,,
56,12/30/21 03:00:00 AM,9.2321,45.648,,,,,
57,12/30/21 03:15:00 AM,9.2335,45.466,,,,,
58,12/30/21 03:30:00 AM,9.2335,45.466,,,,,
59,12/30/21 03:45:00 AM,9.2335,45.466,,,,,
60,12/30/21 04:00:00 AM,9.2331,45.286,,,,,
61,12/30/21 04:15:00 AM,9.2350,45.286,,,,,
62,12/30/21 04:30:00 AM,9.2328,45.104,,,,,
63,12/30/21 04:45:00 AM,9.2363,45.104,,,,,
64,12/30/21 05:00:00 AM,9.2343,44.922,,,,,
65,12/30/21 05:15:00 AM,9.2377,44.922,,,,,
66,12/30/21 05:30:00 AM,9.2356,44.742,,,,,
67,12/30/21 05:45:00 AM,9.2375,44.742,,,,,
68,12/30/21 06:00:00 AM,9.2388,44.560,,,,,
69,12/30/21 06:15:00 AM,9.2388,44.560,,,,,
70,12/30/21 06:30:00 AM,9.2424,44.560,,,,,
71,12/30/21 06:45:00 AM,9.2424,44.560,,,,,
72,12/30/21 07:00:00 AM,9.2473,44.379,,,,,
73,12/30/21 07:15:00 AM,9.2473,44.379,,,,,
74,12/30/21 07:30:00 AM,9.2512,44.560,,,,,
75,12/30/21 07:45:00 AM,9.2549,44.560,,,,,
76,12/30/21 08:00:00 AM,9.2569,44.742,,,,,
77,12/30/21 08:15:00 AM,9.2551,44.742,,,,,
78,12/30/21 08:30:00 AM,9.2537,44.922,,,,,
79,12/30/21 08:45:00 AM,9.2559,45.104,,,,,
80,12/30/21 09:00:00 AM,9.2580,45.286,,,,,
81,12/30/21 09:15:00 AM,9.2566,45.466,,,,,
82,12/30/21 09:30:00 AM,9.2570,45.648,,,,,
83,12/30/21 09:45:00 AM,9.2573,45.828,,,,,
84,12/30/21 10:00:00 AM,9.2576,46.008,,,,,
85,12/30/21 10:15:00 AM,9.2563,46.188,,,,,
86,12/30/21 10:30:00 AM,9.2549,46.369,,,,,
87,12/30/21 10:45:00 AM,9.2570,46.548,,,,,
88,12/30/21 11:00:00 AM,9.2556,46.728,,,,,
89,12/30/21 11:15:00 AM,9.2556,46.728,,,,,
90,12/30/21 11:30:00 AM,9.2563,47.088,,,,,
91,12/30/21 11:45:00 AM,9.2527,47.088,,,,,
92,12/30/21 12:00:00 PM,9.2512,47.266,,,,,
93,12/30/21 12:15:00 PM,9.2485,47.624,,,,,
94,12/30/21 12:30:00 PM,9.2488,47.802,,,,,
95,12/30/21 12:45:00 PM,9.2456,47.982,,,,,
96,12/30/21 01:00:00 PM,9.2424,48.160,,,,,
97,12/30/21 01:15:00 PM,9.2428,48.339,,,,,
98,12/30/21 01:30:00 PM,9.2377,48.517,,,,,
99,12/30/21 01:45:00 PM,9.2356,49.228,,,,,
100,12/30/21 02:00:00 PM,9.2346,49.582,,,,,
101,12/30/21 02:15:00 PM,9.2299,49.937,,,,,
102,12/30/21 02:30:00 PM,9.2273,50.466,,,,,
103,12/30/21 02:45:00 PM,9.2277,50.643,,,,,
104,12/30/21 03:00:00 PM,9.2248,50.995,,,,,
105,12/30/21 03:15:00 PM,9.2251,51.172,,,,,
106,12/30/21 03:30:00 PM,9.2216,51.172,,,,,
107,12/30/21 03:45:00 PM,9.2145,51.172,,,,,
108,12/30/21 04:00:00 PM,9.2163,51.172,,,,,
109,12/30/21 04:15:00 PM,9.2174,50.819,,,,,
110,12/30/21 04:30:00 PM,9.2187,50.643,,,,,
111,12/30/21 04:45:00 PM,9.2182,50.290,,,,,
112,12/30/21 05:00:00 PM,9.2228,49.937,,,,,
113,12/30/21 05:15:00 PM,9.2206,49.759,,,,,
114,12/30/21 05:30:00 PM,9.2218,49.404,,,,,
115,12/30/21 05:45:00 PM,9.2250,49.228,,,,,
116,12/30/21 06:00:00 PM,9.2245,49.050,,,,,
117,12/30/21 06:15:00 PM,9.2257,48.695,,,,,
118,12/30/21 06:30:00 PM,9.2289,48.517,,,,,
119,12/30/21 06:45:00 PM,9.2303,48.339,,,,,
120,12/30/21 07:00:00 PM,9.2299,48.160,,,,,
121,12/30/21 07:15:00 PM,9.2331,47.982,,,,,
122,12/30/21 07:30:00 PM,9.2346,47.802,,,,,
123,12/30/21 07:45:00 PM,9.2343,47.624,,,,,
124,12/30/21 08:00:00 PM,9.2396,47.624,,,,,
125,12/30/21 08:15:00 PM,9.2409,47.446,,,,,
126,12/30/21 08:30:00 PM,9.2441,47.266,,,,,
127,12/30/21 08:45:00 PM,9.2441,47.266,,,,,
128,12/30/21 09:00:00 PM,9.2438,47.088,,,,,
129,12/30/21 09:15:00 PM,9.2456,47.088,,,,,
130,12/30/21 09:30:00 PM,9.2488,46.908,,,,,
131,12/30/21 09:45:00 PM,9.2488,46.908,,,,,
132,12/30/21 10:00:00 PM,9.2524,46.908,,,,,
133,12/30/21 10:15:00 PM,9.2520,46.728,,,,,
134,12/30/21 10:30:00 PM,9.2502,46.728,,,,,
135,12/30/21 10:45:00 PM,9.2502,46.728,,,,,
136,12/30/21 11:00:00 PM,9.2485,46.728,,,,,
137,12/30/21 11:15:00 PM,9.2485,46.728,,,,,
138,12/30/21 11:30:00 PM,9.2480,46.548,,,,,
139,12/30/21 11:45:00 PM,9.2463,46.548,,,,,
140,12/31/21 12:00:00 AM,9.2463,46.548,,,,,
141,12/31/21 12:15:00 AM,9.2428,46.548,,,,,
142,12/31/21 12:30:00 AM,9.2406,46.369,,,,,
143,12/31/21 12:45:00 AM,9.2389,46.369,,,,,
144,12/31/21 01:00:00 AM,9.2406,46.369,,,,,
145,12/31/21 01:15:00 AM,9.2389,46.369,,,,,
146,12/31/21 01:30:00 AM,9.2314,46.188,,,,,
147,12/31/21 01:45:00 AM,9.2296,46.188,,,,,
148,12/31/21 02:00:00 AM,9.2274,46.008,,,,,
149,12/31/21 02:15:00 AM,9.2254,45.828,,,,,
150,12/31/21 02:30:00 AM,9.2254,45.828,,,,,
151,12/31/21 02:45:00 AM,9.2250,45.648,,,,,
152,12/31/21 03:00:00 AM,9.2215,45.648,,,,,
153,12/31/21 03:15:00 AM,9.2247,45.466,,,,,
154,12/31/21 03:30:00 AM,9.2229,45.466,,,,,
155,12/31/21 03:45:00 AM,9.2229,45.466,,,,,
156,12/31/21 04:00:00 AM,9.2208,45.286,,,,,
157,12/31/21 04:15:00 AM,9.2190,45.286,,,,,
158,12/31/21 04:30:00 AM,9.2203,45.104,,,,,
159,12/31/21 04:45:00 AM,9.2200,44.922,,,,,
160,12/31/21 05:00:00 AM,9.2200,44.922,,,,,
161,12/31/21 05:15:00 AM,9.2215,44.742,,,,,
162,12/31/21 05:30:00 AM,9.2215,44.742,,,,,
163,12/31/21 05:45:00 AM,9.2228,44.560,,,,,
164,12/31/21 06:00:00 AM,9.2247,44.560,,,,,
165,12/31/21 06:15:00 AM,9.2260,44.379,,,,,
166,12/31/21 06:30:00 AM,9.2279,44.379,,,,,
167,12/31/21 06:45:00 AM,9.2274,44.195,,,,,
168,12/31/21 07:00:00 AM,9.2328,44.195,,,,,
169,12/31/21 07:15:00 AM,9.2346,44.195,,,,,
170,12/31/21 07:30:00 AM,9.2380,44.195,,,,,
171,12/31/21 07:45:00 AM,9.2377,44.013,,,,,
172,12/31/21 08:00:00 AM,9.2399,44.195,,,,,
173,12/31/21 08:15:00 AM,9.2434,44.195,,,,,
174,12/31/21 08:30:00 AM,9.2434,44.195,,,,,
175,12/31/21 08:45:00 AM,9.2456,44.379,,,,,
176,12/31/21 09:00:00 AM,9.2495,44.560,,,,,
177,12/31/21 09:15:00 AM,9.2480,44.742,,,,,
178,12/31/21 09:30:00 AM,9.2502,44.922,,,,,
179,12/31/21 09:45:00 AM,9.2470,45.104,,,,,
180,12/31/21 10:00:00 AM,9.2460,45.466,,,,,
181,12/31/21 10:15:00 AM,9.2499,45.648,,,,,
182,12/31/21 10:30:00 AM,9.2488,46.008,,,,,
183,12/31/21 10:45:00 AM,9.2460,46.369,,,,,
184,12/31/21 11:00:00 AM,9.2449,46.728,,,,,
185,12/31/21 11:15:00 AM,9.2421,47.088,,,,,
186,12/31/21 11:30:00 AM,9.2414,47.624,,,,,
187,12/31/21 11:45:00 AM,9.2424,48.160,,,,,
188,12/31/21 12:00:00 PM,9.2417,48.695,,,,,
189,12/31/21 12:15:00 PM,9.2392,49.228,,,,,
190,12/31/21 12:30:00 PM,9.2353,49.937,,,,,
191,12/31/21 12:45:00 PM,9.2348,50.643,,,,,
192,12/31/21 01:00:00 PM,9.2322,51.172,,,,,
193,12/31/21 01:15:00 PM,9.2322,52.050,,,,,
194,12/31/21 01:30:00 PM,9.2296,52.576,,,,,
195,12/31/21 01:45:00 PM,9.2306,53.100,,,,,
196,12/31/21 02:00:00 PM,9.2285,53.798,,,,,
197,12/31/21 02:15:00 PM,9.2290,54.147,,,,,
198,12/31/21 02:30:00 PM,9.2280,54.495,,,,,
199,12/31/21 02:45:00 PM,9.2266,54.669,,,,,
200,12/31/21 03:00:00 PM,9.2266,54.669,,,,,
201,12/31/21 03:15:00 PM,9.2232,54.842,,,,,
202,12/31/21 03:30:00 PM,9.2229,54.669,,,,,
203,12/31/21 03:45:00 PM,9.2209,54.495,,,,,
204,12/31/21 04:00:00 PM,9.2202,54.147,,,,,
205,12/31/21 04:15:00 PM,9.2195,53.798,,,,,
206,12/31/21 04:30:00 PM,9.2206,53.449,,,,,
207,12/31/21 04:45:00 PM,9.2214,52.925,,,,,
208,12/31/21 05:00:00 PM,9.2225,52.576,,,,,
209,12/31/21 05:15:00 PM,9.2198,52.050,,,,,
210,12/31/21 05:30:00 PM,9.2209,51.699,,,,,
211,12/31/21 05:45:00 PM,9.2199,51.172,,,,,
212,12/31/21 06:00:00 PM,9.2227,50.819,,,,,
213,12/31/21 06:15:00 PM,9.2238,50.466,,,,,
214,12/31/21 06:30:00 PM,9.2248,50.113,,,,,
215,12/31/21 06:45:00 PM,9.2224,49.759,,,,,
216,12/31/21 07:00:00 PM,9.2257,49.582,,,,,
217,12/31/21 07:15:00 PM,9.2285,49.228,,,,,
218,12/31/21 07:30:00 PM,9.2299,49.050,,,,,
219,12/31/21 07:45:00 PM,9.2348,48.871,,,,,
220,12/31/21 08:00:00 PM,9.2363,48.695,,,,,
221,12/31/21 08:15:00 PM,9.2395,48.517,,,,,
222,12/31/21 08:30:00 PM,9.2392,48.339,,,,,
223,12/31/21 08:45:00 PM,9.2406,48.160,,,,,
224,12/31/21 09:00:00 PM,9.2456,47.982,,,,,
225,12/31/21 09:15:00 PM,9.2453,47.802,,,,,
226,12/31/21 09:30:00 PM,9.2470,47.802,,,,,
227,12/31/21 09:45:00 PM,9.2485,47.624,,,,,
228,12/31/21 10:00:00 PM,9.2480,47.446,,,,,
229,12/31/21 10:15:00 PM,9.2499,47.446,,,,,
230,12/31/21 10:30:00 PM,9.2495,47.266,,,,,
231,12/31/21 10:45:00 PM,9.2478,47.266,,,,,
232,12/31/21 11:00:00 PM,9.2492,47.088,,,,,
233,12/31/21 11:15:00 PM,9.2492,47.088,,,,,
234,12/31/21 11:30:00 PM,9.2470,46.908,,,,,
235,12/31/21 11:45:00 PM,9.2453,46.908,,,,,
236,01/01/22 12:00:00 AM,9.2435,46.908,,,,,
237,01/01/22 12:15:00 AM,9.2414,46.728,,,,,
238,01/01/22 12:30:00 AM,9.2414,46.728,,,,,
239,01/01/22 12:45:00 AM,9.2377,46.728,,,,,
240,01/01/22 01:00:00 AM,9.2360,46.728,,,,,
241,01/01/22 01:15:00 AM,9.2360,46.728,,,,,
242,01/01/22 01:30:00 AM,9.2338,46.548,,,,,
243,01/01/22 01:45:00 AM,9.2303,46.548,,,,,
244,01/01/22 02:00:00 AM,9.2303,46.548,,,,,
245,01/01/22 02:15:00 AM,9.2286,46.548,,,,,
246,01/01/22 02:30:00 AM,9.2264,46.369,,,,,
247,01/01/22 02:45:00 AM,9.2247,46.369,,,,,
248,01/01/22 03:00:00 AM,9.2229,46.369,,,,,
249,01/01/22 03:15:00 AM,9.2208,46.188,,,,,
250,01/01/22 03:30:00 AM,9.2225,46.188,,,,,
251,01/01/22 03:45:00 AM,9.2222,46.008,,,,,
252,01/01/22 04:00:00 AM,9.2203,46.008,,,,,
253,01/01/22 04:15:00 AM,9.2200,45.828,,,,,
254,01/01/22 04:30:00 AM,9.2179,45.648,,,,,
255,01/01/22 04:45:00 AM,9.2211,45.466,,,,,
256,01/01/22 05:00:00 AM,9.2211,45.466,,,,,
257,01/01/22 05:15:00 AM,9.2243,45.286,,,,,
258,01/01/22 05:30:00 AM,9.2225,45.286,,,,,
259,01/01/22 05:45:00 AM,9.2261,45.286,,,,,
260,01/01/22 06:00:00 AM,9.2279,45.286,,,,,
261,01/01/22 06:15:00 AM,9.2279,45.286,,,,,
262,01/01/22 06:30:00 AM,9.2274,45.104,,,,,
263,01/01/22 06:45:00 AM,9.2311,45.104,,,,,
264,01/01/22 07:00:00 AM,9.2328,45.104,,,,,
265,01/01/22 07:15:00 AM,9.2350,45.286,,,,,
266,01/01/22 07:30:00 AM,9.2385,45.286,,,,,
267,01/01/22 07:45:00 AM,9.2367,45.286,,,,,
268,01/01/22 08:00:00 AM,9.2385,45.286,,,,,
269,01/01/22 08:15:00 AM,9.2402,45.286,,,,,
270,01/01/22 08:30:00 AM,9.2441,45.466,,,,,
271,01/01/22 08:45:00 AM,9.2441,45.466,,,,,
272,01/01/22 09:00:00 AM,9.2446,45.648,,,,,
273,01/01/22 09:15:00 AM,9.2449,45.828,,,,,
274,01/01/22 09:30:00 AM,9.2453,46.008,,,,,
275,01/01/22 09:45:00 AM,9.2438,46.188,,,,,
276,01/01/22 10:00:00 AM,9.2441,46.369,,,,,
277,01/01/22 10:15:00 AM,9.2446,46.548,,,,,
278,01/01/22 10:30:00 AM,9.2449,46.728,,,,,
279,01/01/22 10:45:00 AM,9.2453,46.908,,,,,
280,01/01/22 11:00:00 AM,9.2441,47.266,,,,,
281,01/01/22 11:15:00 AM,9.2414,47.624,,,,,
282,01/01/22 11:30:00 AM,9.2421,47.982,,,,,
283,01/01/22 11:45:00 AM,9.2428,48.339,,,,,
284,01/01/22 12:00:00 PM,9.2438,48.871,,,,,
285,01/01/22 12:15:00 PM,9.2446,49.228,,,,,
286,01/01/22 12:30:00 PM,9.2402,49.759,,,,,
287,01/01/22 12:45:00 PM,9.2395,50.290,,,,,
288,01/01/22 01:00:00 PM,9.2383,50.643,,,,,
289,01/01/22 01:15:00 PM,9.2359,51.172,,,,,
290,01/01/22 01:30:00 PM,9.2369,51.699,,,,,
291,01/01/22 01:45:00 PM,9.2322,52.050,,,,,
292,01/01/22 02:00:00 PM,9.2332,52.576,,,,,
293,01/01/22 02:15:00 PM,9.2303,52.925,,,,,
294,01/01/22 02:30:00 PM,9.2292,53.274,,,,,
295,01/01/22 02:45:00 PM,9.2274,53.274,,,,,
296,01/01/22 03:00:00 PM,9.2260,53.449,,,,,
297,01/01/22 03:15:00 PM,9.2260,53.449,,,,,
298,01/01/22 03:30:00 PM,9.2221,53.274,,,,,
299,01/01/22 03:45:00 PM,9.2221,53.274,,,,,
300,01/01/22 04:00:00 PM,9.2218,53.100,,,,,
301,01/01/22 04:15:00 PM,9.2211,52.750,,,,,
302,01/01/22 04:30:00 PM,9.2190,52.576,,,,,
303,01/01/22 04:45:00 PM,9.2198,52.050,,,,,
304,01/01/22 05:00:00 PM,9.2190,51.699,,,,,
305,01/01/22 05:15:00 PM,9.2237,51.346,,,,,
306,01/01/22 05:30:00 PM,9.2248,50.995,,,,,
307,01/01/22 05:45:00 PM,9.2241,50.643,,,,,
308,01/01/22 06:00:00 PM,9.2253,50.290,,,,,
309,01/01/22 06:15:00 PM,9.2267,50.113,,,,,
310,01/01/22 06:30:00 PM,9.2277,49.759,,,,,
311,01/01/22 06:45:00 PM,9.2289,49.404,,,,,
312,01/01/22 07:00:00 PM,9.2321,49.228,,,,,
313,01/01/22 07:15:00 PM,9.2299,49.050,,,,,
314,01/01/22 07:30:00 PM,9.2311,48.695,,,,,
315,01/01/22 07:45:00 PM,9.2360,48.517,,,,,
316,01/01/22 08:00:00 PM,9.2409,48.339,,,,,
317,01/01/22 08:15:00 PM,9.2389,48.160,,,,,
318,01/01/22 08:30:00 PM,9.2438,47.982,,,,,
319,01/01/22 08:45:00 PM,9.2417,47.802,,,,,
320,01/01/22 09:00:00 PM,9.2435,47.802,,,,,
321,01/01/22 09:15:00 PM,9.2449,47.624,,,,,
322,01/01/22 09:30:00 PM,9.2485,47.624,,,,,
323,01/01/22 09:45:00 PM,9.2499,47.446,,,,,
324,01/01/22 10:00:00 PM,9.2480,47.446,,,,,
325,01/01/22 10:15:00 PM,9.2512,47.266,,,,,
326,01/01/22 10:30:00 PM,9.2512,47.266,,,,,
327,01/01/22 10:45:00 PM,9.2512,47.266,,,,,
328,01/01/22 11:00:00 PM,9.2509,47.088,,,,,
329,01/01/22 11:15:00 PM,9.2507,46.908,,,,,
330,01/01/22 11:30:00 PM,9.2488,46.908,,,,,
331,01/01/22 11:45:00 PM,9.2467,46.728,,,,,
332,01/02/22 12:00:00 AM,9.2463,46.548,,,,,
333,01/02/22 12:15:00 AM,9.2424,46.369,,,,,
334,01/02/22 12:30:00 AM,9.2389,46.369,,,,,
335,01/02/22 12:45:00 AM,9.2367,46.188,,,,,
336,01/02/22 01:00:00 AM,9.2293,46.008,,,,,
337,01/02/22 01:15:00 AM,9.2274,46.008,,,,,
338,01/02/22 01:30:00 AM,9.2289,45.828,,,,,
339,01/02/22 01:45:00 AM,9.2254,45.828,,,,,
340,01/02/22 02:00:00 AM,9.2267,45.648,,,,,
341,01/02/22 02:15:00 AM,9.2232,45.648,,,,,
342,01/02/22 02:30:00 AM,9.2229,45.466,,,,,
343,01/02/22 02:45:00 AM,9.2229,45.466,,,,,
344,01/02/22 03:00:00 AM,9.2208,45.286,,,,,
345,01/02/22 03:15:00 AM,9.2222,45.104,,,,,
346,01/02/22 03:30:00 AM,9.2203,45.104,,,,,
347,01/02/22 03:45:00 AM,9.2183,44.922,,,,,
348,01/02/22 04:00:00 AM,9.2218,44.922,,,,,
349,01/02/22 04:15:00 AM,9.2232,44.742,,,,,
350,01/02/22 04:30:00 AM,9.2215,44.742,,,,,
351,01/02/22 04:45:00 AM,9.2215,44.742,,,,,
352,01/02/22 05:00:00 AM,9.2264,44.560,,,,,
353,01/02/22 05:15:00 AM,9.2247,44.560,,,,,
354,01/02/22 05:30:00 AM,9.2260,44.379,,,,,
355,01/02/22 05:45:00 AM,9.2314,44.379,,,,,
356,01/02/22 06:00:00 AM,9.2279,44.379,,,,,
357,01/02/22 06:15:00 AM,9.2309,44.195,,,,,
358,01/02/22 06:30:00 AM,9.2328,44.195,,,,,
359,01/02/22 06:45:00 AM,9.2346,44.195,,,,,
360,01/02/22 07:00:00 AM,9.2367,44.379,,,,,
361,01/02/22 07:15:00 AM,9.2385,44.379,,,,,
362,01/02/22 07:30:00 AM,9.2419,44.379,,,,,
363,01/02/22 07:45:00 AM,9.2438,44.379,,,,,
364,01/02/22 08:00:00 AM,9.2459,44.560,,,,,
365,01/02/22 08:15:00 AM,9.2495,44.560,,,,,
366,01/02/22 08:30:00 AM,9.2517,44.742,,,,,
367,01/02/22 08:45:00 AM,9.2520,44.922,,,,,
368,01/02/22 09:00:00 AM,9.2524,45.104,,,,,
369,01/02/22 09:15:00 AM,9.2563,45.286,,,,,
370,01/02/22 09:30:00 AM,9.2549,45.466,,,,,
371,01/02/22 09:45:00 AM,9.2520,45.828,,,,,
372,01/02/22 10:00:00 AM,9.2488,46.008,,,,,
373,01/02/22 10:15:00 AM,9.2492,46.188,,,,,
374,01/02/22 10:30:00 AM,9.2495,46.369,,,,,
375,01/02/22 10:45:00 AM,9.2485,46.728,,,,,
376,01/02/22 11:00:00 AM,9.2509,47.088,,,,,
377,01/02/22 11:15:00 AM,9.2495,47.266,,,,,
378,01/02/22 11:30:00 AM,9.2502,47.624,,,,,
379,01/02/22 11:45:00 AM,9.2488,47.802,,,,,
380,01/02/22 12:00:00 PM,9.2463,48.339,,,,,
381,01/02/22 12:15:00 PM,9.2488,48.695,,,,,
382,01/02/22 12:30:00 PM,9.2473,48.871,,,,,
383,01/02/22 12:45:00 PM,9.2456,48.871,,,,,
384,01/02/22 01:00:00 PM,9.2441,49.050,,,,,
385,01/02/22 01:15:00 PM,9.2424,49.050,,,,,
386,01/02/22 01:30:00 PM,9.2424,49.050,,,,,
387,01/02/22 01:45:00 PM,9.2406,49.050,,,,,
388,01/02/22 02:00:00 PM,9.2402,48.871,,,,,
389,01/02/22 02:15:00 PM,9.2419,48.871,,,,,
390,01/02/22 02:30:00 PM,9.2363,48.695,,,,,
391,01/02/22 02:45:00 PM,9.2363,48.695,,,,,
392,01/02/22 03:00:00 PM,9.2382,48.695,,,,,
393,01/02/22 03:15:00 PM,9.2377,48.517,,,,,
394,01/02/22 03:30:00 PM,9.2343,48.517,,,,,
395,01/02/22 03:45:00 PM,9.2343,48.517,,,,,
396,01/02/22 04:00:00 PM,9.2343,48.517,,,,,
397,01/02/22 04:15:00 PM,9.2321,48.339,,,,,
398,01/02/22 04:30:00 PM,9.2357,48.339,,,,,
399,01/02/22 04:45:00 PM,9.2353,48.160,,,,,
400,01/02/22 05:00:00 PM,9.2335,48.160,,,,,
401,01/02/22 05:15:00 PM,9.2335,48.160,,,,,
402,01/02/22 05:30:00 PM,9.2367,47.982,,,,,
403,01/02/22 05:45:00 PM,9.2385,47.982,,,,,
404,01/02/22 06:00:00 PM,9.2417,47.802,,,,,
405,01/02/22 06:15:00 PM,9.2431,47.624,,,,,
406,01/02/22 06:30:00 PM,9.2428,47.446,,,,,
407,01/02/22 06:45:00 PM,9.2460,47.266,,,,,
408,01/02/22 07:00:00 PM,9.2475,47.088,,,,,
409,01/02/22 07:15:00 PM,9.2507,46.908,,,,,
410,01/02/22 07:30:00 PM,9.2502,46.728,,,,,
411,01/02/22 07:45:00 PM,9.2538,46.728,,,,,
412,01/02/22 08:00:00 PM,9.2570,46.548,,,,,
413,01/02/22 08:15:00 PM,9.2566,46.369,,,,,
414,01/02/22 08:30:00 PM,9.2580,46.188,,,,,
415,01/02/22 08:45:00 PM,9.2580,46.188,,,,,
416,01/02/22 09:00:00 PM,9.2559,46.008,,,,,
417,01/02/22 09:15:00 PM,9.2573,45.828,,,,,
418,01/02/22 09:30:00 PM,9.2605,45.648,,,,,
419,01/02/22 09:45:00 PM,9.2605,45.648,,,,,
420,01/02/22 10:00:00 PM,9.2620,45.466,,,,,
421,01/02/22 10:15:00 PM,9.2637,45.466,,,,,
422,01/02/22 10:30:00 PM,9.2615,45.286,,,,,
423,01/02/22 10:45:00 PM,9.2612,45.104,,,,,
424,01/02/22 11:00:00 PM,9.2595,45.104,,,,,
425,01/02/22 11:15:00 PM,9.2591,44.922,,,,,
426,01/02/22 11:30:00 PM,9.2591,44.922,,,,,
427,01/02/22 11:45:00 PM,9.2537,44.922,,,,,
428,01/03/22 12:00:00 AM,9.2517,44.742,,,,,
429,01/03/22 12:15:00 AM,9.2498,44.742,,,,,
430,01/03/22 12:30:00 AM,9.2459,44.560,,,,,
431,01/03/22 12:45:00 AM,9.2459,44.560,,,,,
432,01/03/22 01:00:00 AM,9.2459,44.560,,,,,
433,01/03/22 01:15:00 AM,9.2456,44.379,,,,,
434,01/03/22 01:30:00 AM,9.2419,44.379,,,,,
435,01/03/22 01:45:00 AM,9.2402,44.379,,,,,
436,01/03/22 02:00:00 AM,9.2399,44.195,,,,,
437,01/03/22 02:15:00 AM,9.2346,44.195,,,,,
438,01/03/22 02:30:00 AM,9.2328,44.195,,,,,
