"Título de trazado: LUXabajo_04"
"N.º","Fecha Tiempo, GMT-05:00","Temp, °F (LGR S/N: 10801154, SEN S/N: 10801154, LBL: Blue)","Intensidad, lum/ft² (LGR S/N: 10801154, SEN S/N: 10801154)","Batería mala (LGR S/N: 10801154)","Acoplador adjunto (LGR S/N: 10801154)","Acoplador separado (LGR S/N: 10801154)","Host conectado (LGR S/N: 10801154)","Parado (LGR S/N: 10801154)","Final de archivo (LGR S/N: 10801154)"
53,07/28/21 12:15:00 AM,44.742,0.0,,,,,,
54,07/28/21 12:30:00 AM,44.560,0.0,,,,,,
55,07/28/21 12:45:00 AM,44.560,0.0,,,,,,
56,07/28/21 01:00:00 AM,44.560,0.0,,,,,,
57,07/28/21 01:15:00 AM,44.379,0.0,,,,,,
58,07/28/21 01:30:00 AM,44.379,0.0,,,,,,
59,07/28/21 01:45:00 AM,44.379,0.0,,,,,,
60,07/28/21 02:00:00 AM,44.195,0.0,,,,,,
61,07/28/21 02:15:00 AM,44.013,0.0,,,,,,
62,07/28/21 02:30:00 AM,44.013,0.0,,,,,,
63,07/28/21 02:45:00 AM,43.831,0.0,,,,,,
64,07/28/21 03:00:00 AM,43.831,0.0,,,,,,
65,07/28/21 03:15:00 AM,43.648,0.0,,,,,,
66,07/28/21 03:30:00 AM,43.648,0.0,,,,,,
67,07/28/21 03:45:00 AM,43.466,0.0,,,,,,
68,07/28/21 04:00:00 AM,43.466,0.0,,,,,,
69,07/28/21 04:15:00 AM,43.282,0.0,,,,,,
70,07/28/21 04:30:00 AM,43.099,0.0,,,,,,
71,07/28/21 04:45:00 AM,43.099,0.0,,,,,,
72,07/28/21 05:00:00 AM,42.915,0.0,,,,,,
73,07/28/21 05:15:00 AM,42.915,0.0,,,,,,
74,07/28/21 05:30:00 AM,42.732,0.0,,,,,,
75,07/28/21 05:45:00 AM,42.732,0.0,,,,,,
76,07/28/21 06:00:00 AM,42.548,0.0,,,,,,
77,07/28/21 06:15:00 AM,42.548,0.0,,,,,,
78,07/28/21 06:30:00 AM,42.363,1.0,,,,,,
79,07/28/21 06:45:00 AM,42.363,4.0,,,,,,
80,07/28/21 07:00:00 AM,42.363,8.0,,,,,,
81,07/28/21 07:15:00 AM,42.363,10.0,,,,,,
82,07/28/21 07:30:00 AM,42.363,35.0,,,,,,
83,07/28/21 07:45:00 AM,42.548,47.0,,,,,,
84,07/28/21 08:00:00 AM,42.732,47.0,,,,,,
85,07/28/21 08:15:00 AM,42.732,112.0,,,,,,
86,07/28/21 08:30:00 AM,42.915,113.0,,,,,,
87,07/28/21 08:45:00 AM,43.099,61.0,,,,,,
88,07/28/21 09:00:00 AM,43.282,256.0,,,,,,
89,07/28/21 09:15:00 AM,43.648,109.0,,,,,,
90,07/28/21 09:30:00 AM,43.831,192.0,,,,,,
91,07/28/21 09:45:00 AM,44.013,232.0,,,,,,
92,07/28/21 10:00:00 AM,44.379,144.0,,,,,,
93,07/28/21 10:15:00 AM,44.560,119.0,,,,,,
94,07/28/21 10:30:00 AM,44.922,176.0,,,,,,
95,07/28/21 10:45:00 AM,45.104,224.0,,,,,,
96,07/28/21 11:00:00 AM,45.286,168.0,,,,,,
97,07/28/21 11:15:00 AM,45.286,160.0,,,,,,
98,07/28/21 11:30:00 AM,45.466,216.0,,,,,,
99,07/28/21 11:45:00 AM,45.648,152.0,,,,,,
100,07/28/21 12:00:00 PM,45.828,480.0,,,,,,
101,07/28/21 12:15:00 PM,46.188,1728.0,,,,,,
102,07/28/21 12:30:00 PM,46.548,208.0,,,,,,
103,07/28/21 12:45:00 PM,46.728,200.0,,,,,,
104,07/28/21 01:00:00 PM,47.446,5376.0,,,,,,
105,07/28/21 01:15:00 PM,47.624,512.0,,,,,,
106,07/28/21 01:30:00 PM,48.871,304.0,,,,,,
107,07/28/21 01:45:00 PM,48.339,432.0,,,,,,
108,07/28/21 02:00:00 PM,48.695,256.0,,,,,,
109,07/28/21 02:15:00 PM,49.050,496.0,,,,,,
110,07/28/21 02:30:00 PM,49.228,400.0,,,,,,
111,07/28/21 02:45:00 PM,49.404,448.0,,,,,,
112,07/28/21 03:00:00 PM,49.228,184.0,,,,,,
113,07/28/21 03:15:00 PM,49.404,416.0,,,,,,
114,07/28/21 03:30:00 PM,49.582,608.0,,,,,,
115,07/28/21 03:45:00 PM,49.582,320.0,,,,,,
116,07/28/21 04:00:00 PM,49.759,288.0,,,,,,
117,07/28/21 04:15:00 PM,49.759,160.0,,,,,,
118,07/28/21 04:30:00 PM,49.937,448.0,,,,,,
119,07/28/21 04:45:00 PM,49.937,105.0,,,,,,
120,07/28/21 05:00:00 PM,49.759,75.0,,,,,,
121,07/28/21 05:15:00 PM,49.582,51.0,,,,,,
122,07/28/21 05:30:00 PM,49.404,35.0,,,,,,
123,07/28/21 05:45:00 PM,49.228,61.0,,,,,,
124,07/28/21 06:00:00 PM,48.871,55.0,,,,,,
125,07/28/21 06:15:00 PM,48.695,5.0,,,,,,
126,07/28/21 06:30:00 PM,48.339,0.0,,,,,,
127,07/28/21 06:45:00 PM,48.160,0.0,,,,,,
128,07/28/21 07:00:00 PM,47.982,0.0,,,,,,
129,07/28/21 07:15:00 PM,47.624,0.0,,,,,,
130,07/28/21 07:30:00 PM,47.446,0.0,,,,,,
131,07/28/21 07:45:00 PM,47.266,0.0,,,,,,
132,07/28/21 08:00:00 PM,47.088,0.0,,,,,,
133,07/28/21 08:15:00 PM,46.908,0.0,,,,,,
134,07/28/21 08:30:00 PM,46.908,0.0,,,,,,
135,07/28/21 08:45:00 PM,46.728,0.0,,,,,,
136,07/28/21 09:00:00 PM,46.548,0.0,,,,,,
137,07/28/21 09:15:00 PM,46.369,0.0,,,,,,
138,07/28/21 09:30:00 PM,46.369,0.0,,,,,,
139,07/28/21 09:45:00 PM,46.188,0.0,,,,,,
140,07/28/21 10:00:00 PM,46.188,0.0,,,,,,
141,07/28/21 10:15:00 PM,46.008,0.0,,,,,,
142,07/28/21 10:30:00 PM,46.008,0.0,,,,,,
143,07/28/21 10:45:00 PM,45.828,0.0,,,,,,
144,07/28/21 11:00:00 PM,45.828,0.0,,,,,,
145,07/28/21 11:15:00 PM,45.648,0.0,,,,,,
146,07/28/21 11:30:00 PM,45.648,0.0,,,,,,
147,07/28/21 11:45:00 PM,45.466,0.0,,,,,,
148,07/29/21 12:00:00 AM,45.466,0.0,,,,,,
149,07/29/21 12:15:00 AM,45.286,0.0,,,,,,
150,07/29/21 12:30:00 AM,45.286,0.0,,,,,,
151,07/29/21 12:45:00 AM,45.104,0.0,,,,,,
152,07/29/21 01:00:00 AM,45.104,0.0,,,,,,
153,07/29/21 01:15:00 AM,44.922,0.0,,,,,,
154,07/29/21 01:30:00 AM,44.922,0.0,,,,,,
155,07/29/21 01:45:00 AM,44.742,0.0,,,,,,
156,07/29/21 02:00:00 AM,44.742,0.0,,,,,,
157,07/29/21 02:15:00 AM,44.742,0.0,,,,,,
158,07/29/21 02:30:00 AM,44.560,0.0,,,,,,
159,07/29/21 02:45:00 AM,44.560,0.0,,,,,,
160,07/29/21 03:00:00 AM,44.379,0.0,,,,,,
161,07/29/21 03:15:00 AM,44.379,0.0,,,,,,
162,07/29/21 03:30:00 AM,44.379,0.0,,,,,,
163,07/29/21 03:45:00 AM,44.379,0.0,,,,,,
164,07/29/21 04:00:00 AM,44.195,0.0,,,,,,
165,07/29/21 04:15:00 AM,44.195,0.0,,,,,,
166,07/29/21 04:30:00 AM,44.195,0.0,,,,,,
167,07/29/21 04:45:00 AM,44.195,0.0,,,,,,
168,07/29/21 05:00:00 AM,44.013,0.0,,,,,,
169,07/29/21 05:15:00 AM,44.013,0.0,,,,,,
170,07/29/21 05:30:00 AM,44.013,0.0,,,,,,
171,07/29/21 05:45:00 AM,43.831,0.0,,,,,,
172,07/29/21 06:00:00 AM,43.831,0.0,,,,,,
173,07/29/21 06:15:00 AM,43.831,0.0,,,,,,
174,07/29/21 06:30:00 AM,43.831,2.0,,,,,,
175,07/29/21 06:45:00 AM,43.648,2.0,,,,,,
176,07/29/21 07:00:00 AM,43.648,9.0,,,,,,
177,07/29/21 07:15:00 AM,43.648,28.0,,,,,,
178,07/29/21 07:30:00 AM,43.648,54.0,,,,,,
179,07/29/21 07:45:00 AM,43.648,53.0,,,,,,
180,07/29/21 08:00:00 AM,43.648,75.0,,,,,,
181,07/29/21 08:15:00 AM,43.831,108.0,,,,,,
182,07/29/21 08:30:00 AM,43.831,96.0,,,,,,
183,07/29/21 08:45:00 AM,43.831,106.0,,,,,,
184,07/29/21 09:00:00 AM,44.013,83.0,,,,,,
185,07/29/21 09:15:00 AM,44.195,256.0,,,,,,
186,07/29/21 09:30:00 AM,44.379,320.0,,,,,,
187,07/29/21 09:45:00 AM,44.560,288.0,,,,,,
188,07/29/21 10:00:00 AM,44.742,176.0,,,,,,
189,07/29/21 10:15:00 AM,44.922,216.0,,,,,,
190,07/29/21 10:30:00 AM,45.104,224.0,,,,,,
191,07/29/21 10:45:00 AM,45.286,184.0,,,,,,
192,07/29/21 11:00:00 AM,45.648,352.0,,,,,,
193,07/29/21 11:15:00 AM,45.648,320.0,,,,,,
194,07/29/21 11:30:00 AM,45.828,432.0,,,,,,
195,07/29/21 11:45:00 AM,46.008,288.0,,,,,,
196,07/29/21 12:00:00 PM,46.188,232.0,,,,,,
197,07/29/21 12:15:00 PM,46.369,1280.0,,,,,,
198,07/29/21 12:30:00 PM,46.548,248.0,,,,,,
199,07/29/21 12:45:00 PM,46.728,216.0,,,,,,
200,07/29/21 01:00:00 PM,47.446,2432.0,,,,,,
201,07/29/21 01:15:00 PM,47.446,576.0,,,,,,
202,07/29/21 01:30:00 PM,49.050,1728.0,,,,,,
203,07/29/21 01:45:00 PM,48.517,1024.0,,,,,,
204,07/29/21 02:00:00 PM,48.517,512.0,,,,,,
205,07/29/21 02:15:00 PM,48.695,184.0,,,,,,
206,07/29/21 02:30:00 PM,49.228,496.0,,,,,,
207,07/29/21 02:45:00 PM,49.937,512.0,,,,,,
208,07/29/21 03:00:00 PM,50.290,336.0,,,,,,
209,07/29/21 03:15:00 PM,50.466,352.0,,,,,,
210,07/29/21 03:30:00 PM,50.466,384.0,,,,,,
211,07/29/21 03:45:00 PM,50.643,336.0,,,,,,
212,07/29/21 04:00:00 PM,50.466,152.0,,,,,,
213,07/29/21 04:15:00 PM,50.290,71.0,,,,,,
214,07/29/21 04:30:00 PM,49.937,176.0,,,,,,
215,07/29/21 04:45:00 PM,49.759,128.0,,,,,,
216,07/29/21 05:00:00 PM,49.582,144.0,,,,,,
217,07/29/21 05:15:00 PM,49.228,37.0,,,,,,
218,07/29/21 05:30:00 PM,49.050,52.0,,,,,,
219,07/29/21 05:45:00 PM,48.695,42.0,,,,,,
220,07/29/21 06:00:00 PM,48.517,32.0,,,,,,
221,07/29/21 06:15:00 PM,48.339,3.0,,,,,,
222,07/29/21 06:30:00 PM,48.160,1.0,,,,,,
223,07/29/21 06:45:00 PM,47.982,0.0,,,,,,
224,07/29/21 07:00:00 PM,47.802,0.0,,,,,,
225,07/29/21 07:15:00 PM,47.624,0.0,,,,,,
226,07/29/21 07:30:00 PM,47.446,0.0,,,,,,
227,07/29/21 07:45:00 PM,47.266,0.0,,,,,,
228,07/29/21 08:00:00 PM,47.088,0.0,,,,,,
229,07/29/21 08:15:00 PM,47.088,0.0,,,,,,
230,07/29/21 08:30:00 PM,46.908,0.0,,,,,,
231,07/29/21 08:45:00 PM,46.728,0.0,,,,,,
232,07/29/21 09:00:00 PM,46.548,0.0,,,,,,
233,07/29/21 09:15:00 PM,46.548,0.0,,,,,,
234,07/29/21 09:30:00 PM,46.369,0.0,,,,,,
235,07/29/21 09:45:00 PM,46.369,0.0,,,,,,
236,07/29/21 10:00:00 PM,46.188,0.0,,,,,,
237,07/29/21 10:15:00 PM,46.188,0.0,,,,,,
238,07/29/21 10:30:00 PM,46.008,0.0,,,,,,
239,07/29/21 10:45:00 PM,46.008,0.0,,,,,,
240,07/29/21 11:00:00 PM,46.008,0.0,,,,,,
241,07/29/21 11:15:00 PM,46.008,0.0,,,,,,
242,07/29/21 11:30:00 PM,45.828,0.0,,,,,,
243,07/29/21 11:45:00 PM,45.828,0.0,,,,,,
244,07/30/21 12:00:00 AM,45.828,0.0,,,,,,
245,07/30/21 12:15:00 AM,45.648,0.0,,,,,,
246,07/30/21 12:30:00 AM,45.648,0.0,,,,,,
247,07/30/21 12:45:00 AM,45.648,0.0,,,,,,
248,07/30/21 01:00:00 AM,45.648,0.0,,,,,,
249,07/30/21 01:15:00 AM,45.466,0.0,,,,,,
250,07/30/21 01:30:00 AM,45.466,0.0,,,,,,
251,07/30/21 01:45:00 AM,45.466,0.0,,,,,,
252,07/30/21 02:00:00 AM,45.466,0.0,,,,,,
253,07/30/21 02:15:00 AM,45.286,0.0,,,,,,
254,07/30/21 02:30:00 AM,45.286,0.0,,,,,,
255,07/30/21 02:45:00 AM,45.286,0.0,,,,,,
256,07/30/21 03:00:00 AM,45.286,0.0,,,,,,
257,07/30/21 03:15:00 AM,45.104,0.0,,,,,,
258,07/30/21 03:30:00 AM,45.104,0.0,,,,,,
259,07/30/21 03:45:00 AM,45.104,0.0,,,,,,
260,07/30/21 04:00:00 AM,45.104,0.0,,,,,,
261,07/30/21 04:15:00 AM,45.104,0.0,,,,,,
262,07/30/21 04:30:00 AM,45.104,0.0,,,,,,
263,07/30/21 04:45:00 AM,44.922,0.0,,,,,,
264,07/30/21 05:00:00 AM,44.922,0.0,,,,,,
265,07/30/21 05:15:00 AM,44.922,0.0,,,,,,
266,07/30/21 05:30:00 AM,44.922,0.0,,,,,,
267,07/30/21 05:45:00 AM,44.922,0.0,,,,,,
268,07/30/21 06:00:00 AM,44.742,0.0,,,,,,
269,07/30/21 06:15:00 AM,44.742,0.0,,,,,,
270,07/30/21 06:30:00 AM,44.742,1.0,,,,,,
271,07/30/21 06:45:00 AM,44.742,14.0,,,,,,
272,07/30/21 07:00:00 AM,44.560,25.0,,,,,,
273,07/30/21 07:15:00 AM,44.560,25.0,,,,,,
274,07/30/21 07:30:00 AM,44.560,58.0,,,,,,
275,07/30/21 07:45:00 AM,44.742,98.0,,,,,,
276,07/30/21 08:00:00 AM,44.742,136.0,,,,,,
277,07/30/21 08:15:00 AM,44.742,128.0,,,,,,
278,07/30/21 08:30:00 AM,44.742,152.0,,,,,,
279,07/30/21 08:45:00 AM,44.922,136.0,,,,,,
280,07/30/21 09:00:00 AM,45.104,216.0,,,,,,
281,07/30/21 09:15:00 AM,45.104,168.0,,,,,,
282,07/30/21 09:30:00 AM,45.286,168.0,,,,,,
283,07/30/21 09:45:00 AM,45.286,192.0,,,,,,
284,07/30/21 10:00:00 AM,45.466,232.0,,,,,,
285,07/30/21 10:15:00 AM,45.648,224.0,,,,,,
286,07/30/21 10:30:00 AM,45.648,224.0,,,,,,
287,07/30/21 10:45:00 AM,45.828,200.0,,,,,,
288,07/30/21 11:00:00 AM,45.828,208.0,,,,,,
289,07/30/21 11:15:00 AM,46.008,256.0,,,,,,
290,07/30/21 11:30:00 AM,46.188,288.0,,,,,,
291,07/30/21 11:45:00 AM,46.188,232.0,,,,,,
292,07/30/21 12:00:00 PM,46.548,608.0,,,,,,
293,07/30/21 12:15:00 PM,46.548,384.0,,,,,,
294,07/30/21 12:30:00 PM,46.728,232.0,,,,,,
295,07/30/21 12:45:00 PM,46.908,400.0,,,,,,
296,07/30/21 01:00:00 PM,46.908,216.0,,,,,,
297,07/30/21 01:15:00 PM,47.088,240.0,,,,,,
298,07/30/21 01:30:00 PM,47.088,232.0,,,,,,
299,07/30/21 01:45:00 PM,47.088,136.0,,,,,,
300,07/30/21 02:00:00 PM,47.088,216.0,,,,,,
301,07/30/21 02:15:00 PM,47.266,496.0,,,,,,
302,07/30/21 02:30:00 PM,47.266,512.0,,,,,,
303,07/30/21 02:45:00 PM,47.446,320.0,,,,,,
304,07/30/21 03:00:00 PM,47.446,288.0,,,,,,
305,07/30/21 03:15:00 PM,47.446,144.0,,,,,,
306,07/30/21 03:30:00 PM,47.446,256.0,,,,,,
307,07/30/21 03:45:00 PM,47.624,240.0,,,,,,
308,07/30/21 04:00:00 PM,47.802,144.0,,,,,,
309,07/30/21 04:15:00 PM,47.802,256.0,,,,,,
310,07/30/21 04:30:00 PM,47.802,208.0,,,,,,
311,07/30/21 04:45:00 PM,47.802,192.0,,,,,,
312,07/30/21 05:00:00 PM,47.624,114.0,,,,,,
313,07/30/21 05:15:00 PM,47.624,77.0,,,,,,
314,07/30/21 05:30:00 PM,47.446,20.0,,,,,,
315,07/30/21 05:45:00 PM,47.446,17.0,,,,,,
316,07/30/21 06:00:00 PM,47.266,38.0,,,,,,
317,07/30/21 06:15:00 PM,47.088,10.0,,,,,,
318,07/30/21 06:30:00 PM,46.908,0.0,,,,,,
319,07/30/21 06:45:00 PM,46.728,0.0,,,,,,
320,07/30/21 07:00:00 PM,46.548,0.0,,,,,,
321,07/30/21 07:15:00 PM,46.548,0.0,,,,,,
322,07/30/21 07:30:00 PM,46.369,0.0,,,,,,
323,07/30/21 07:45:00 PM,46.188,0.0,,,,,,
324,07/30/21 08:00:00 PM,46.188,0.0,,,,,,
325,07/30/21 08:15:00 PM,46.008,0.0,,,,,,
326,07/30/21 08:30:00 PM,46.008,0.0,,,,,,
327,07/30/21 08:45:00 PM,45.828,0.0,,,,,,
328,07/30/21 09:00:00 PM,45.828,0.0,,,,,,
329,07/30/21 09:15:00 PM,45.648,0.0,,,,,,
330,07/30/21 09:30:00 PM,45.648,0.0,,,,,,
331,07/30/21 09:45:00 PM,45.466,0.0,,,,,,
332,07/30/21 10:00:00 PM,45.466,0.0,,,,,,
333,07/30/21 10:15:00 PM,45.466,0.0,,,,,,
334,07/30/21 10:30:00 PM,45.286,0.0,,,,,,
335,07/30/21 10:45:00 PM,45.286,0.0,,,,,,
336,07/30/21 11:00:00 PM,45.286,0.0,,,,,,
337,07/30/21 11:15:00 PM,45.104,0.0,,,,,,
338,07/30/21 11:30:00 PM,45.104,0.0,,,,,,
339,07/30/21 11:45:00 PM,45.104,0.0,,,,,,
340,07/31/21 12:00:00 AM,44.922,0.0,,,,,,
341,07/31/21 12:15:00 AM,44.922,0.0,,,,,,
342,07/31/21 12:30:00 AM,44.922,0.0,,,,,,
343,07/31/21 12:45:00 AM,44.922,0.0,,,,,,
344,07/31/21 01:00:00 AM,44.742,0.0,,,,,,
345,07/31/21 01:15:00 AM,44.742,0.0,,,,,,
346,07/31/21 01:30:00 AM,44.742,0.0,,,,,,
347,07/31/21 01:45:00 AM,44.560,0.0,,,,,,
348,07/31/21 02:00:00 AM,44.560,0.0,,,,,,
349,07/31/21 02:15:00 AM,44.560,0.0,,,,,,
350,07/31/21 02:30:00 AM,44.379,0.0,,,,,,
351,07/31/21 02:45:00 AM,44.379,0.0,,,,,,
352,07/31/21 03:00:00 AM,44.379,0.0,,,,,,
353,07/31/21 03:15:00 AM,44.379,0.0,,,,,,
354,07/31/21 03:30:00 AM,44.195,0.0,,,,,,
355,07/31/21 03:45:00 AM,44.013,0.0,,,,,,
356,07/31/21 04:00:00 AM,44.013,0.0,,,,,,
357,07/31/21 04:15:00 AM,43.831,0.0,,,,,,
358,07/31/21 04:30:00 AM,43.831,0.0,,,,,,
359,07/31/21 04:45:00 AM,43.648,0.0,,,,,,
360,07/31/21 05:00:00 AM,43.648,0.0,,,,,,
361,07/31/21 05:15:00 AM,43.466,0.0,,,,,,
362,07/31/21 05:30:00 AM,43.466,0.0,,,,,,
363,07/31/21 05:45:00 AM,43.282,0.0,,,,,,
364,07/31/21 06:00:00 AM,43.282,0.0,,,,,,
365,07/31/21 06:15:00 AM,43.282,1.0,,,,,,
366,07/31/21 06:30:00 AM,43.099,4.0,,,,,,
367,07/31/21 06:45:00 AM,43.099,8.0,,,,,,
368,07/31/21 07:00:00 AM,43.099,6.0,,,,,,
369,07/31/21 07:15:00 AM,43.099,26.0,,,,,,
370,07/31/21 07:30:00 AM,43.099,24.0,,,,,,
371,07/31/21 07:45:00 AM,43.099,26.0,,,,,,
372,07/31/21 08:00:00 AM,43.099,36.0,,,,,,
373,07/31/21 08:15:00 AM,43.282,44.0,,,,,,
374,07/31/21 08:30:00 AM,43.466,59.0,,,,,,
375,07/31/21 08:45:00 AM,43.648,54.0,,,,,,
376,07/31/21 09:00:00 AM,43.831,101.0,,,,,,
377,07/31/21 09:15:00 AM,44.195,63.0,,,,,,
378,07/31/21 09:30:00 AM,44.560,232.0,,,,,,
379,07/31/21 09:45:00 AM,44.922,168.0,,,,,,
380,07/31/21 10:00:00 AM,45.466,117.0,,,,,,
381,07/31/21 10:15:00 AM,46.008,256.0,,,,,,
382,07/31/21 10:30:00 AM,46.548,320.0,,,,,,
383,07/31/21 10:45:00 AM,47.446,384.0,,,,,,
384,07/31/21 11:00:00 AM,48.339,896.0,,,,,,
385,07/31/21 11:15:00 AM,49.228,800.0,,,,,,
386,07/31/21 11:30:00 AM,50.113,2432.0,,,,,,
387,07/31/21 11:45:00 AM,50.466,16384.0,,,,,,
388,07/31/21 12:00:00 PM,50.466,800.0,,,,,,
389,07/31/21 12:15:00 PM,51.346,12288.0,,,,,,
390,07/31/21 12:30:00 PM,50.113,496.0,,,,,,
391,07/31/21 12:45:00 PM,53.274,5632.0,,,,,,
392,07/31/21 01:00:00 PM,52.401,11264.0,,,,,,
393,07/31/21 01:15:00 PM,51.523,3456.0,,,,,,
394,07/31/21 01:30:00 PM,50.995,512.0,,,,,,
395,07/31/21 01:45:00 PM,50.643,672.0,,,,,,
396,07/31/21 02:00:00 PM,50.643,864.0,,,,,,
397,07/31/21 02:15:00 PM,50.643,304.0,,,,,,
398,07/31/21 02:30:00 PM,50.643,384.0,,,,,,
399,07/31/21 02:45:00 PM,50.466,232.0,,,,,,
400,07/31/21 03:00:00 PM,50.290,160.0,,,,,,
401,07/31/21 03:15:00 PM,50.290,512.0,,,,,,
402,07/31/21 03:30:00 PM,50.113,192.0,,,,,,
403,07/31/21 03:45:00 PM,50.113,288.0,,,,,,
404,07/31/21 04:00:00 PM,49.937,224.0,,,,,,
405,07/31/21 04:15:00 PM,49.759,128.0,,,,,,
406,07/31/21 04:30:00 PM,49.582,288.0,,,,,,
407,07/31/21 04:45:00 PM,49.404,152.0,,,,,,
408,07/31/21 05:00:00 PM,49.228,200.0,,,,,,
409,07/31/21 05:15:00 PM,49.050,75.0,,,,,,
410,07/31/21 05:30:00 PM,48.871,52.0,,,,,,
411,07/31/21 05:45:00 PM,48.695,25.0,,,,,,
412,07/31/21 06:00:00 PM,48.339,6.0,,,,,,
413,07/31/21 06:15:00 PM,48.160,3.0,,,,,,
414,07/31/21 06:30:00 PM,47.982,0.0,,,,,,
415,07/31/21 06:45:00 PM,47.624,0.0,,,,,,
416,07/31/21 07:00:00 PM,47.446,0.0,,,,,,
417,07/31/21 07:15:00 PM,47.266,0.0,,,,,,
418,07/31/21 07:30:00 PM,47.088,0.0,,,,,,
419,07/31/21 07:45:00 PM,46.728,0.0,,,,,,
420,07/31/21 08:00:00 PM,46.548,0.0,,,,,,
421,07/31/21 08:15:00 PM,46.548,0.0,,,,,,
422,07/31/21 08:30:00 PM,46.369,0.0,,,,,,
423,07/31/21 08:45:00 PM,46.188,0.0,,,,,,
424,07/31/21 09:00:00 PM,46.008,0.0,,,,,,
425,07/31/21 09:15:00 PM,46.008,0.0,,,,,,
426,07/31/21 09:30:00 PM,45.828,0.0,,,,,,
427,07/31/21 09:45:00 PM,45.828,0.0,,,,,,
428,07/31/21 10:00:00 PM,45.648,0.0,,,,,,
429,07/31/21 10:15:00 PM,45.648,0.0,,,,,,
430,07/31/21 10:30:00 PM,45.648,0.0,,,,,,
431,07/31/21 10:45:00 PM,45.648,0.0,,,,,,
432,07/31/21 11:00:00 PM,45.466,0.0,,,,,,
433,07/31/21 11:15:00 PM,45.466,0.0,,,,,,
434,07/31/21 11:30:00 PM,45.286,0.0,,,,,,
435,07/31/21 11:45:00 PM,45.286,0.0,,,,,,
