Month,Day,Year,Time,Flux,Temperature (C),CO2 Soil (ppm) ,CO2 Soil STD (ppm),CO2 ATM (ppm),CO2 ATM STD (ppm),Mode,Tract,Description,Point,XCoordinate,Ycoordinate,WaterSample,Notes
6,30,21,11:15:00,0.06,18.3,57.77,4.396,54.59,1.323,0,2,Starts about 20-30 meters to the right of point 1 at 1320 on 2021-06-39,3,NA,NA,NA,NA
6,30,21,11:20:00,0.06,17.8,73.23,4.221,69.87,22.823,0,NA,NA,NA,NA,NA,NA,NA
6,30,21,11:25:00,0.68,17.6,126.93,27.068,88.69,16.245,0,NA,NA,NA,NA,NA,NA,NA
6,30,21,11:30:00,-0.14,17.8,92.24,1.563,99.93,8.574,0,NA,NA,NA,NA,NA,NA,NA
6,30,21,11:35:00,0.05,17.9,101.5,3.02,98.81,4.202,0,3,"Deep well with water coming from ground, flows near mainstem",1,NA,NA,NA,"GPS dead, but could probaby get coordinates bc it is where liz (EOS2) started on same day, approimatly, Membrane wet but wiped off; stopcock fell off, but tried to keep hole below water; reapeat measurement from EOS2_Synoptics_2021-06-30"
6,30,21,11:40:00,0.05,17.9,106.19,4.116,103.36,5.421,0,3,"Deep well with water coming from ground, flows near mainstem",1,NA,NA,NA,"GPS dead, but could probaby get coordinates bc it is where liz (EOS2) started on same day, approimatly, Membrane wet but wiped off; stopcock fell off, but tried to keep hole below water; reapeat measurement from EOS2_Synoptics_2021-06-30"
6,30,21,11:45:00,-0.17,18,93.33,5.211,102.97,8.308,0,3,"Deep well with water coming from ground, flows near mainstem",1,NA,NA,NA,"GPS dead, but could probaby get coordinates bc it is where liz (EOS2) started on same day, approimatly, Membrane wet but wiped off; stopcock fell off, but tried to keep hole below water; reapeat measurement from EOS2_Synoptics_2021-06-30"
6,30,21,11:50:00,-0.04,18.1,84.18,13.514,86.7,4.894,0,NA,NA,NA,NA,NA,NA,NA
6,30,21,11:55:00,-0.11,18.4,71.76,1.685,77.86,6.513,0,NA,NA,NA,NA,NA,NA,NA
6,30,21,12:00:00,0.06,19,70.79,2.342,67.48,1.758,0,4,Far end of wetland below outlet of mainstem,1,-0.3263833,-78.19983,NA,NA
6,30,21,12:05:00,0.09,19.5,68.81,2.084,63.57,2.239,0,4,Far end of wetland below outlet of mainstem,1,-0.3263833,-78.19983,NA,NA
6,30,21,12:10:00,-0.19,19.8,50.36,4.386,61.19,3.136,0,4,Far end of wetland below outlet of mainstem,1,NA,NA,NA,NA
6,30,21,12:15:00,0.14,19.3,64.07,7.682,56.3,4.686,0,NA,NA,NA,NA,NA,NA,NA
6,30,21,12:20:00,0.17,19.6,73.72,4.293,64.05,3.796,0,NA,NA,NA,NA,NA,NA,NA
6,30,21,12:25:00,0.41,20.3,83.77,2.163,60.82,1.144,0,4,Far end of wetland below outlet of mainstem,2,-0.32645,-78.1998,NA,Right before fork in stream; electrical tape over stopcock hole
6,30,21,12:30:00,0.38,20.7,83.78,2.186,62.36,0.226,0,4,Far end of wetland below outlet of mainstem,2,-0.32645,-78.1998,NA,Right before fork in stream; electrical tape over stopcock hole
6,30,21,12:35:00,0.11,20.7,68.61,7.41,62.4,4.049,0,4,Far end of wetland below outlet of mainstem,2,NA,NA,NA,Right before fork in stream; electrical tape over stopcock hole
6,30,21,12:40:00,0.07,20.5,68.32,3.554,64.45,3.199,0,NA,NA,NA,NA,NA,NA,NA
6,30,21,12:45:00,0.2,20.1,72.46,3.67,61.24,1.714,0,4,Far end of wetland below outlet of mainstem,3,-0.3265667,-78.19957,NA,Following righ of fork
6,30,21,12:50:00,0.25,19.9,77.75,1.649,63.39,2.953,0,4,Far end of wetland below outlet of mainstem,3,-0.3265667,-78.19957,NA,Following righ of fork
6,30,21,12:55:00,0.06,20,60.32,1.615,56.82,2.548,0,4,Far end of wetland below outlet of mainstem,3,NA,NA,NA,Following righ of fork
