Month,Day,Year,Time,Flux,Temperature (C),Soil sig,Soil STD,ATM sig,ATM STD,Mode,Soil VR,Soil VA,ATM VR,ATM VA,Tract,Description,Point,lat,lon,ele,WaterSample
7,7,21,12:05:00,4.03,30.9,460.3,20.018,235.5,3.841,0,1.25016,1.71697,1.24983,1.73334,2,other side of bridge ,8,-0.344571993,-78.19850598,3921.438232,NA
7,7,21,12:10:00,4.6,30.6,511.39,16.115,255.23,12.666,0,1.25029,1.71459,1.24991,1.73384,2,other side of bridge ,8,-0.344571993,-78.19850598,3921.438232,NA
7,7,21,12:15:00,0.23,30.2,281.43,24.662,268.41,11.863,0,1.24991,1.73414,1.24941,1.73259,2,other side of bridge ,8,NA,NA,NA,NA
7,7,21,12:20:00,-1.4,30.2,281.92,3.445,360.01,11.761,0,1.24987,1.73218,1.25062,1.72614,NA,NA,NA,NA,NA,NA,NA
7,7,21,12:25:00,1.02,29.6,340.84,3.687,284.07,7.167,0,1.24966,1.72922,1.24954,1.73247,2,other side of bridge ,9,-0.344322966,-78.19818998,3922.810547,NA
7,7,21,12:30:00,1.44,29,338.85,6.646,258.64,2.066,0,1.24866,1.72909,1.24845,1.7348,2,other side of bridge ,9,-0.344322966,-78.19818998,3922.810547,NA
7,7,21,12:35:00,-0.17,28.6,240.8,13.732,250.44,9.248,0,1.24925,1.73651,1.2475,1.73605,2,other side of bridge ,9,NA,NA,NA,NA
7,7,21,12:40:00,-1.32,29.1,301.77,6.008,375.4,27.309,0,1.24937,1.73147,1.24866,1.72939,NA,NA,NA,NA,NA,NA,NA
7,7,21,12:45:00,1.9,29.3,353.31,7.175,247.71,4.401,0,1.24945,1.72818,1.2492,1.73605,2,other side of bridge ,10,-0.34384897,-78.19835301,3925.694092,NA
7,7,21,12:50:00,2,29.8,354.56,5.987,242.88,6.374,0,1.25037,1.7263,1.24966,1.73589,2,other side of bridge ,10,-0.34384897,-78.19835301,3925.694092,NA
7,7,21,12:55:00,-0.05,30.8,236.34,8.455,239.39,12.972,0,1.25075,1.73418,1.24958,1.73447,2,other side of bridge ,10,NA,NA,NA,NA
7,7,21,13:00:00,1.36,30.8,333.81,4.313,258.09,16.166,0,1.25062,1.72739,1.25025,1.73064,NA,NA,NA,NA,NA,NA,NA
7,7,21,13:05:00,1.99,30.3,401.24,5.747,290.14,2.494,0,1.25012,1.72439,1.25012,1.73134,2,other side of bridge;very turbulent,11,-0.343425013,-78.19790198,3930.491699,NA
7,7,21,13:10:00,2.63,30,440.18,3.568,293.9,3.62,0,1.24995,1.72168,1.24987,1.73184,2,other side of bridge;very turbulent,11,-0.343425013,-78.19790198,3930.491699,NA
7,7,21,13:15:00,-0.66,29.8,253.36,4.177,289.97,16.985,0,1.24975,1.73501,1.24925,1.73251,2,other side of bridge;very turbulent,11,NA,NA,NA,NA
7,7,21,13:20:00,0.43,30.1,268.99,12.104,245.29,7.364,0,1.25008,1.73184,1.24991,1.73551,NA,NA,NA,NA,NA,NA,NA
7,7,21,13:25:00,2.34,30,363.1,9.317,232.48,3.695,0,1.24991,1.72605,1.2497,1.73551,2,other side of bridge,12,-0.34262496,-78.19784104,3933.246094,NA
7,7,21,13:30:00,2.56,30,384.98,9.178,242.54,6.494,0,1.25008,1.72447,1.24966,1.73555,2,other side of bridge,12,-0.34262496,-78.19784104,3933.246094,NA
7,7,21,13:35:00,0.01,30.6,238.17,5.33,237.58,10.363,0,1.24958,1.73434,1.25095,1.73459,2,other side of bridge,12,NA,NA,NA,NA
7,7,21,13:40:00,-0.21,29.9,250.92,3.897,262.43,5.48,0,1.24895,1.73443,1.24937,1.73384,NA,NA,NA,NA,NA,NA,NA
7,7,21,13:45:00,0.63,29.1,277.99,6.148,242.94,4.955,0,1.2482,1.73301,1.24854,1.73518,2,other side of bridge,13,-0.342177032,-78.19864302,3933.367432,NA
7,7,21,13:50:00,0.62,28.5,281.18,4.703,246.53,3.09,0,1.24845,1.73401,1.24779,1.73614,2,other side of bridge,13,-0.342177032,-78.19864302,3933.367432,NA
7,7,21,13:55:00,0.02,28.4,243.17,7.848,242.01,4.463,0,1.24887,1.73768,1.24775,1.73676,2,other side of bridge,13,NA,NA,NA,NA
7,7,21,14:00:00,0.46,28.7,299.7,14.573,273.92,4.981,0,1.24833,1.7318,1.24883,1.73489,NA,NA,NA,NA,NA,NA,NA
7,7,21,14:05:00,2.52,27.8,394.1,5.898,253.72,5.386,0,1.24725,1.72684,1.24716,1.7368,2,other side of bridge way down,14,-0.341539001,-78.19867504,3935.279785,NA
7,7,21,14:10:00,2.42,27.3,389.85,5.807,255.04,7.04,0,1.24691,1.72743,1.2467,1.7373,2,other side of bridge way down,14,-0.341539001,-78.19867504,3935.279785,NA
7,7,21,14:15:00,2.25,27,378.02,24.314,252.52,17.224,0,1.24683,1.73193,1.2465,1.73722,2,other side of bridge way down,14,NA,NA,NA,NA
7,7,21,14:20:00,-0.3,26.6,254.97,5.147,271.72,14.979,0,1.24687,1.73905,1.24616,1.73772,NA,NA,NA,NA,NA,NA,NA
7,7,21,14:25:00,0.03,26.4,263.83,11.424,262.38,11.683,0,1.2472,1.73805,1.24725,1.7388,NA,NA,NA,NA,NA,NA,NA
7,7,21,14:30:00,-0.12,26.4,259.36,3.029,266,5.449,0,1.24741,1.73964,1.24666,1.73914,NA,NA,NA,NA,NA,NA,NA
7,7,21,14:35:00,-0.17,26.4,258.3,9.194,267.64,6.664,0,1.24679,1.73926,1.24754,1.73918,NA,NA,NA,NA,NA,NA,NA
7,7,21,14:40:00,1.4,26.4,367.2,5.249,289.44,20.308,0,1.2475,1.73239,1.24729,1.7373,NA,NA,NA,NA,NA,NA,NA
7,7,21,14:45:00,-0.15,26.5,338.18,6.436,346.3,2.239,0,1.24775,1.7353,1.24762,1.73409,NA,NA,NA,NA,NA,NA,NA
7,7,21,14:50:00,0.75,26.6,392.57,2.557,350.92,3.043,0,1.24812,1.73122,1.24737,1.73264,NA,NA,NA,NA,NA,NA,NA
7,7,21,14:55:00,-0.37,26.7,366.16,6.797,386.77,2.325,0,1.24833,1.73259,1.24825,1.73147,NA,NA,NA,NA,NA,NA,NA
7,7,21,15:00:00,-0.34,26.9,329.52,2.348,348.19,5.383,0,1.24833,1.73476,1.24804,1.73372,NA,NA,NA,NA,NA,NA,NA
7,7,21,15:05:00,0.68,27.1,400.14,6.656,362.01,5.805,0,1.24929,1.72989,1.24862,1.73201,NA,NA,NA,NA,NA,NA,NA
7,7,21,15:10:00,0.16,27.3,433.36,4.567,424.57,6.742,0,1.249,1.72793,1.24891,1.72739,NA,NA,NA,NA,NA,NA,NA
7,7,21,15:15:00,-0.08,27.5,432.23,6.176,436.49,3.539,0,1.24954,1.72714,1.24966,1.72734,NA,NA,NA,NA,NA,NA,NA
7,7,21,15:20:00,0.41,27.8,454.66,14.281,431.74,8.884,0,1.24991,1.72609,1.24933,1.72634,NA,NA,NA,NA,NA,NA,NA
7,7,21,15:25:00,0.15,28,459.27,4.143,451.12,5.474,0,1.25012,1.72493,1.2495,1.72543,NA,NA,NA,NA,NA,NA,NA
7,7,21,15:30:00,0.82,28.3,531.32,7.102,485.9,14.466,0,1.25029,1.71997,1.2507,1.72264,NA,NA,NA,NA,NA,NA,NA
7,7,21,15:35:00,0.2,28.6,525.9,6.201,514.64,1.995,0,1.25075,1.72018,1.25037,1.72059,NA,NA,NA,NA,NA,NA,NA
7,7,21,15:40:00,-1.72,28.9,390.65,13.278,486.23,13.258,0,1.25041,1.72968,1.25037,1.72343,NA,NA,NA,NA,NA,NA,NA
7,7,21,15:45:00,-0.3,29.3,352.67,3.95,369.2,3.542,0,1.25112,1.73097,1.25054,1.72905,NA,NA,NA,NA,NA,NA,NA
7,7,21,15:50:00,0.76,29.8,394.78,25.019,352.27,2.397,0,1.25154,1.72684,1.2512,1.72989,NA,NA,NA,NA,NA,NA,NA
7,7,21,15:55:00,-0.05,30.3,354.17,3.618,356.86,2.336,0,1.25166,1.72839,1.25145,1.72884,NA,NA,NA,NA,NA,NA,NA
7,7,21,16:00:00,-0.03,30.8,349.29,2.955,351.06,3.815,0,1.25166,1.72743,1.25158,1.72751,NA,NA,NA,NA,NA,NA,NA
7,7,21,16:04:03,0,0,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
