Month,Day,Year,Time,Flux,Temperature (C),CO2 Soil (ppm) ,CO2 Soil STD (ppm),CO2 ATM (ppm),CO2 ATM STD (ppm),Mode,EOS Num,Site,Trans Num,Methane,Soil
7,26,21,13:20:00,-0.04,19.2,119.7,8.095,121.98,3.002,0,NA,NA,NA,NA,NA
7,26,21,13:25:00,0.34,19.2,122.3,18.126,102.89,7.053,0,NA,NA,NA,NA,NA
7,26,21,13:30:00,0.01,19.5,126.79,15.881,126.37,2.456,0,NA,NA,NA,NA,NA
7,26,21,13:35:00,3.23,19.3,336.4,55.724,153.64,22.864,0,NA,NA,NA,NA,NA
7,26,21,13:40:00,-0.1,18.8,320.53,23.711,326.06,25.414,0,NA,NA,NA,NA,NA
7,26,21,13:45:00,1.3,18.7,519.83,5.288,446.16,19.104,0,NA,NA,NA,NA,NA
7,26,21,13:50:00,0.76,18.7,588.4,3.998,545.18,8.334,0,NA,NA,NA,NA,NA
7,26,21,13:55:00,0.45,18.9,630.14,6.356,604.41,5.38,0,NA,NA,NA,NA,NA
7,26,21,14:00:00,0.47,19.1,673.21,5.225,646.61,2.416,0,NA,NA,NA,NA,NA
7,26,21,14:05:00,-5.56,19.2,380.28,39.607,694.67,17.056,0,NA,NA,NA,NA,NA
7,26,21,14:10:00,1.43,19.4,405.07,30.231,324.4,10.802,0,NA,NA,NA,NA,NA
7,26,21,14:15:00,-2.05,19.6,196.17,10.032,312.37,26.64,0,NA,NA,NA,NA,NA
7,26,21,14:20:00,-0.24,19.7,211.12,2.457,224.46,5.037,0,NA,NA,NA,NA,NA
7,26,21,14:25:00,0.94,19.8,285.27,7.72,231.92,7.825,0,NA,NA,NA,NA,NA
7,26,21,14:30:00,-1.35,20,227.97,18.067,304.19,10.032,0,NA,NA,NA,NA,NA
7,26,21,14:35:00,-0.55,20.2,140.17,2.19,171.51,6.191,0,NA,NA,NA,NA,NA
7,26,21,14:40:00,0.17,20.3,154,2.878,144.18,0.77,0,NA,NA,NA,NA,NA
7,26,21,14:45:00,0.59,20.3,247.92,4.73,214.39,10.33,0,NA,NA,NA,NA,NA
7,26,21,14:50:00,-1.09,20.4,158.57,8.385,220.07,9.733,0,NA,NA,NA,NA,NA
7,26,21,14:55:00,0.14,20.5,173.42,3.386,165.41,2.629,0,NA,NA,NA,NA,NA
7,26,21,15:00:00,0.48,20.6,199.57,12.078,172.54,2.599,0,NA,NA,NA,NA,NA
7,26,21,15:05:00,0.71,20.6,277.16,6.98,237,7.874,0,NA,NA,NA,NA,NA
7,26,21,15:10:00,0.41,20.7,324.8,2.077,301.85,3.217,0,NA,NA,NA,NA,NA
7,26,21,15:15:00,0.62,20.8,354.92,11.001,319.6,3.093,0,NA,NA,NA,NA,NA
7,26,21,15:20:00,0.77,20.8,450.33,8.063,406.92,4.037,0,NA,NA,NA,NA,NA
7,26,21,15:25:00,-0.12,20.9,439.22,3.954,445.74,2.735,0,NA,NA,NA,NA,NA
7,26,21,15:30:00,-1.84,21.1,198.05,17.389,302.14,8.218,0,NA,NA,NA,NA,NA
7,26,21,15:35:00,0.33,21.7,197.43,14.679,178.55,8.417,0,NA,NA,NA,NA,NA
7,26,21,15:40:00,0.53,21.9,265.35,13.16,235.16,4.074,0,NA,NA,NA,NA,NA
7,26,21,15:45:00,-0.76,22,234.65,8.168,277.56,10.307,0,NA,NA,NA,NA,NA
7,26,21,15:50:00,0.02,22.2,191.96,2.659,191.1,1.512,0,NA,NA,NA,NA,NA
7,26,21,15:55:00,0.09,22.4,195.27,6.123,190.39,1.979,0,NA,NA,NA,NA,NA
7,26,21,16:00:00,-0.02,22.6,214.58,2.593,215.52,14.846,0,NA,NA,NA,NA,NA
7,26,21,16:05:00,0.07,22.9,213.07,3.358,209.17,3.489,0,NA,NA,NA,NA,NA
7,26,21,16:10:00,0.95,23.1,275.29,17.37,221.64,3.249,0,NA,NA,NA,NA,NA
7,26,21,16:15:00,0.24,23.5,287.76,11.031,274.23,2.629,0,NA,NA,NA,NA,NA
7,26,21,16:20:00,3.19,24.2,564.64,29.691,384.42,22.714,0,NA,NA,NA,NA,NA
7,26,21,16:25:00,-1.11,24.7,415.45,7.457,478.29,20.44,0,NA,NA,NA,NA,NA
7,26,21,16:30:00,-4.44,25.2,240.48,21.908,491.36,15.367,0,NA,NA,NA,NA,NA
7,26,21,16:35:00,-0.25,25.8,219.9,4.006,233.9,6.28,0,NA,NA,NA,NA,NA
7,26,21,16:42:18,0,0,0,0,0,0,2,NA,NA,NA,NA,NA
