Wetland,x,w,d,notes,Waypoint,lat,lon,ele,
GAVI,276,NA,NA,steep slope,,,,,
GAVI,280,40,21,,,,,,
GAVI,281,46,21,stn 3,124,-0.330184959,-78.20176704,4077.975342,2021-07-26T16:53:35Z
GAVI,282,NA,NA,steep slope,,,,,
GAVI,286,NA,NA,"little trib, river rt",,,,,
GAVI,289,NA,NA,steep slope,,,,,
GAVI,290,81,12,,,,,,
GAVI,291,NA,NA,water bubbling up,,,,,
GAVI,292,48,29,syn,125,-0.33014196,-78.20168104,4076.984863,2021-07-26T16:59:03Z
GAVI,300,20,11,,126,-0.330089992,-78.201617,4078.541016,2021-07-26T17:01:12Z
GAVI,310,26,14,,,,,,
GAVI,320,39,11,,,,,,
GAVI,322,NA,NA,steep slope,,,,,
GAVI,327,NA,NA,steep slope,,,,,
GAVI,330,51,18,,,,,,
GAVI,337,NA,NA,"manmade ""dam"" metal barrier",,,,,
GAVI,338.7,NA,NA,water coming out of ground (underground river),,,,,
GAVI,340,76,28,syn,127,-0.329884971,-78.20134099,4081.529785,2021-07-26T17:19:42Z
GAVI,350,37,23,syn,128,-0.329809031,-78.20129002,4079.966064,2021-07-26T17:21:46Z
GAVI,360,27,9,,,,,,
GAVI,366,NA,NA,syn,131,-0.329709034,-78.20118701,4083.920166,2021-07-26T17:48:40Z
GAVI,369.8,NA,NA,steep slope,,,,,
GAVI,370,28,21,,,,,,
GAVI,372,NA,NA,syn,130,-0.329540977,-78.20103798,4087.625244,2021-07-26T17:46:37Z
GAVI,380,58,8,,,,,,
GAVI,390,45,14,,,,,,
GAVI,400,74,30,groundwater (underground stream) ruver rt,121??,,,,
GAVI,410,80,18,,,,,,
GAVI,417,NA,NA,waterfalls,,,,,
GAVI,418.8,NA,NA,river splits,,,,,
GAVI,413,NA,NA,"river underground, segundo and liz did this synop",132,-0.329376021,-78.20092499,4087.398438,2021-07-26T18:07:54Z
GAVI,420,76,40,river splits,,,,,
GAVI,424.5,NA,NA,river splits,,,,,
GAVI,430,25,16,,,,,,
GAVI,440,69,16,syn,133,-0.329223974,-78.20076398,4092.825195,2021-07-26T18:14:08Z
GAVI,450,81,37,syn,134,-0.329135964,-78.20073003,4100.870605,2021-07-26T18:18:53Z
GAVI,451,NA,NA,plung poo,,,,,
GAVI,455,NA,NA,base of waterfall,136,-0.329103023,-78.20070497,4093.213867,2021-07-26T18:35:36Z
GAVI,458,NA,NA,top of waterfall - > still very steep,135,-0.329092965,-78.20070002,4100.435059,2021-07-26T18:34:20Z
GAVI,459,42,18,syn,137,-0.329076033,-78.20069902,4100.850586,2021-07-26T18:41:10Z
GAVI,460,59,9,,,,,,
GAVI,468,50,6,syn,138,-0.328999003,-78.20066297,4103.474609,2021-07-26T18:44:06Z
GAVI,470,62,6,,,,,,
GAVI,479.5,NA,NA,"little trib, river rt",,,,,
GAVI,480,48,7,little waterfall,,,,,
GAVI,490,75,14,,,,,,
GAVI,500,56,"14,5",,140,-0.328744026,-78.20058402,4107.275391,2021-07-26T19:12:09Z
GAVI,510,72,23,,,,,,
GAVI,513,56,24,stn 2,141,-0.32861704,-78.200596,4105.534668,2021-07-26T19:21:29Z
GAVI,517,83,58,syn,142,-0.328580998,-78.20059701,4107.231445,2021-07-26T19:23:16Z
GAVI,520,99,37,,,,,,
GAVI,530,63,34,,,,,,
GAVI,540,53,15,,,,,,
GAVI,550,90,19,,143,-0.328295007,-78.20054999,4108.237793,2021-07-26T19:34:59Z
GAVI,551,NA,NA,part of wet land drains here,,,,,
GAVI,560,83,17,,,,,,
GAVI,564,61,28,stn 1,144,-0.328210015,-78.20048301,4108.25,2021-07-26T19:43:25Z
GAVI,569,NA,NA,wetland outlet,145,-0.328182019,-78.20044203,4108.32373,2021-07-26T19:44:12Z
GAVI,1367,72,12,,201,-0.325778006,-78.19969503,4116.010254,2021-07-28T19:04:28Z
GAVI,1374.5,NA,NA,underground,,,,,
GAVI,1376.9,NA,NA,underground,,,,,
GAVI,1377,38,13,,,,,,
GAVI,1387,81,7,,,,,,
GAVI,1394,NA,NA,underground,,,,,
GAVI,1396,NA,NA,underground,,,,,
GAVI,1397,81,7,,,,,,
GAVI,1399.5,NA,NA,underground,,,,,
GAVI,1404,NA,NA,underground,,,,,
GAVI,1407,60,25,,,,,,
GAVI,1417,62,17,,202,-0.325379027,-78.19965497,4127.04834,2021-07-28T19:20:51Z
GAVI,1427,47,4,,,,,,
GAVI,1432,NA,NA,underground,,,,,
GAVI,1435,NA,NA,underground,,,,,
GAVI,1437,64,25,,,,,,
GAVI,1446,NA,NA,comes out from underground (waterfall),203,-0.325153973,-78.19960099,4140.230957,2021-07-28T19:34:46Z
GAVI,,81,18,above waterfall,,,,,
GAVI,,31,5,top of waterfall,,,,,
GAVI,,NA,NA,underground,,,,,
GAVI,1450,NA,NA,underground,,,,,
GAVI,1453.8,130,7,"wetland outlet - ""weird and braided and confucsing, followed visibly flowing water""",204,-0.32507401,-78.19959504,4138.649414,2021-07-28T19:38:22Z
GAVI,1465,NA,NA,just a hole where you can see the stream,205,-0.324967979,-78.19959998,4135.843262,2021-07-28T19:39:07Z
GAVI,1367,,,,206,-0.324953981,-78.199618,4135.228027,2021-07-28T19:40:01Z
GAVI,1467,55,12,,207,-0.32494803,-78.19963502,4136.36084,2021-07-28T19:40:12Z
GAVI,1467.1,NA,NA,lose track of stream that was flowing mostly underground,,,,,
GAVI,,NA,NA,starting at large stream upsteam of last measurement (I think?),,,,,
GAVI,1527,22,11,,,,,,
GAVI,1537,30,7,,,,,,
GAVI,1547,28,4,middle of braid 3,,,,,
GAVI,1557,54,5,,,,,,
GAVI,1567,48,10.5,,208,-0.324555002,-78.19958598,4149.788086,2021-07-28T20:11:02Z
GAVI,1577,16,3.5,,,,,,
GAVI,1587,27,7,,,,,,
GAVI,1597,78,8,,,,,,
GAVI,1607,43,15.5,,,,,,
GAVI,1612.8,22,7,comes out from ground and can't find until big waterfall,209,-0.324193994,-78.19959696,4146.853027,2021-07-28T20:21:02Z
