OBJECTID,Field1,lat_fit,lon_fit,ele_fit,x_pred,x,d,w,Flux_ave,adjusted_ppm,DOC,TDN,notes,ele_raster,dist_diff,slope
17,17,-0.328999993,-78.20066024,4095.49043572808,98.20584313,101,6,50,NA,NA,NA,NA,syn,4119.802734,2,0.295654297
18,18,-0.329064993,-78.20069849,4093.98019226904,106.6063706,109,9,59,NA,NA,NA,NA,,4118.098633,8,0.213012695
19,19,-0.329072993,-78.20070355,4093.80689020975,107.6564365,110,18,42,NA,NA,NA,NA,syn,4117.963379,1,0.135253906
20,20,-0.329084993,-78.20071125,4093.56529120887,109.2436607,111,NA,NA,NA,NA,NA,NA,top of waterfall - > still very steep,4118.196289,1,-0.232910156
21,21,-0.329094993,-78.20071776,4093.35955534623,110.5724305,114,NA,NA,NA,NA,NA,NA,base of waterfall,4117.663574,3,0.177571615
22,22,-0.329121993,-78.20073576,4092.93214425967,114.2157327,118,NA,NA,NA,NA,NA,NA,plung poo,4114.837891,4,0.706420898
23,23,-0.329128993,-78.20074052,4092.85420585637,115.1265583,119,37,81,NA,NA,NA,NA,syn,4114.921875,1,-0.083984375
24,24,-0.329203993,-78.20079296,4092.41413823793,125.3143311,129,16,69,NA,NA,NA,NA,syn,4113.666504,10,0.125537109
25,25,-0.329277993,-78.20084616,4091.43083596605,135.5021039,139,16,25,NA,NA,NA,NA,,4110.845215,10,0.282128906
26,26,-0.329304993,-78.20086568,4090.70144630497,139.1841826,144.5,NA,NA,NA,NA,NA,NA,river splits,4109.568848,5.5,0.232066761
27,27,-0.329333993,-78.20088666,4089.86736488801,143.2109137,149,40,76,NA,NA,NA,NA,river splits,4108.457031,4.5,0.247070313
28,28,-0.329341993,-78.20089244,4089.65012084713,144.2847087,150.2,NA,NA,NA,NA,NA,NA,river splits,4108.289551,1.2,0.139567057
29,29,-0.329353993,-78.20090113,4089.34837326122,145.8954011,152,NA,NA,NA,NA,NA,NA,waterfalls,4108.333496,1.8,-0.024414062
30,30,-0.329379993,-78.20091996,4088.84685323335,149.4747176,156,NA,NA,NA,NA,NA,NA,"river underground, segundo and liz did this synop",4108.254395,4,0.019775391
31,31,-0.329399993,-78.20093447,4088.62251113302,152.159205,159,18,80,NA,NA,NA,NA,,4108.378906,3,-0.041503906
32,32,-0.329463993,-78.20098126,4088.22989584016,161.1074963,169,30,74,NA,NA,NA,NA,groundwater (underground stream) ruver rt,4107.933594,10,0.04453125
33,33,-0.329469993,-78.20098569,4088.20919933085,161.9067572,179,14,45,NA,NA,NA,NA,,4107.904785,10,0.002880859
34,34,-0.329508993,-78.20101479,4088.09959914686,167.3119917,189,8,58,NA,NA,NA,NA,,4107.25,10,0.065478516
35,35,-0.329539993,-78.20103841,4088.00572481929,171.6361794,197,NA,NA,NA,NA,NA,NA,syn,4106.474609,8,0.096923828
36,36,-0.329547993,-78.20104459,4087.97482617662,172.7172263,199,21,28,NA,NA,NA,NA,,4106.369141,2,0.052734375
37,37,-0.329547993,-78.20104459,4087.97482617662,172.825331,199.2,NA,NA,NA,NA,NA,NA,steep slope,4106.369141,0.2,0
38,38,-0.329711993,-78.20118346,4085.96368588833,196.6929415,203,NA,NA,NA,NA,NA,NA,syn,4103.057617,3.8,0.871453536
39,39,-0.329866993,-78.20134652,4082.68199446212,221.7497036,209,9,27,NA,NA,NA,NA,,4101.084961,6,0.328776042
40,40,-0.329812993,-78.2012855,4083.97935016249,212.6789133,219,23,37,NA,NA,NA,NA,syn,4101.703125,10,-0.061816406
41,41,-0.329871993,-78.2013524,4082.55199466595,222.6089979,229,28,76,NA,NA,NA,NA,syn,4101.255371,10,0.044775391
42,42,-0.329878993,-78.20136071,4082.36792778117,223.8999089,230.3,NA,NA,NA,NA,NA,NA,water coming out of ground (underground river),4101.146973,1.3,0.083383413
43,43,-0.329888993,-78.20137271,4082.10134913009,225.5880232,232,NA,NA,NA,NA,NA,NA,"manmade ""dam"" metal barrier",4100.960938,1.7,0.109432445
44,44,-0.329927993,-78.20142105,4081.03824742284,232.5390824,239,18,51,NA,NA,NA,NA,,4100.49707,7,0.066266741
45,45,-0.329944993,-78.20144286,4080.57431438168,235.5181078,242,NA,NA,NA,NA,NA,NA,steep slope,4100.105957,3,0.130371094
46,46,-0.329971993,-78.2014784,4079.85632074611,240.48315,247,NA,NA,NA,NA,NA,NA,steep slope,4099.785156,5,0.064160156
47,47,-0.329977993,-78.20148644,4079.70205750806,241.6430425,249,11,39,NA,NA,NA,NA,,4100.150879,2,-0.182861328
48,48,-0.330027993,-78.20155538,4078.54671916135,251.1600648,259,14,26,NA,NA,NA,NA,,4098.824707,10,0.132617188
49,49,-0.330076993,-78.20162593,4077.77387036221,260.6770871,269,11,20,NA,NA,NA,NA,,4098.751953,10,0.007275391
50,50,-0.330122993,-78.20169435,4077.42609121458,269.8549802,277,29,48,NA,NA,NA,NA,syn,4097.822266,8,0.116210938
51,51,-0.330128993,-78.2017034,4077.39632403892,271.0022168,278,NA,NA,NA,NA,NA,NA,water bubbling up,4097.786133,1,0.036132813
52,52,-0.330133993,-78.20171096,4077.37284154272,272.1494534,279,12,81,NA,NA,NA,NA,,4097.881836,1,-0.095703125
53,53,-0.330139993,-78.20172006,4077.3457208479,273.29669,280,NA,NA,NA,NA,NA,NA,steep slope,4098.028809,1,-0.146972656
54,54,-0.330150993,-78.2017368,4077.29702814502,275.607942,283,NA,NA,NA,NA,NA,NA,"little trib, river rt",4098.330078,3,-0.100423177
55,55,-0.330169993,-78.20176587,4077.21523210272,279.4432499,287,NA,NA,NA,NA,NA,NA,steep slope,4097.418945,4,0.227783203
56,56,-0.330174993,-78.20177355,4077.19851575619,280.4020769,288,21,46,NA,NA,NA,NA,stn 3,4097.40332,1,0.015625
57,57,-0.330179993,-78.20178124,4077.18674981164,281.3609039,289,21,40,NA,NA,NA,NA,,4097.128418,1,0.274902344
58,58,-0.330197993,-78.201809,4077.17128952308,285.1962118,293,NA,NA,NA,NA,NA,NA,steep slope,4097.031738,4,0.024169922
59,59,-0.330207993,-78.20182446,4077.16953507339,287.1138657,295,NA,NA,NA,NA,NA,NA,steep slope,4097.255371,2,-0.111816406
60,60,-0.330223993,-78.20184924,4077.1682086772,290.4739656,299,27,56,NA,NA,NA,NA,,4096.635742,4,0.154907227
61,61,-0.330241993,-78.20187715,4077.19796943351,294.1364706,303,9,81,NA,NA,NA,NA,syn,4096.772949,4,-0.034301758
62,62,-0.330268993,-78.20191901,4077.2936121181,299.6302281,309,9,57,NA,NA,NA,NA,,4096.205078,6,0.094645182
63,63,-0.330321993,-78.20200069,4077.5651230392,310.51984,319,13,64,NA,NA,NA,NA,,4096.288086,10,-0.008300781
64,64,-0.330355993,-78.20205243,4077.72234295904,317.4122467,326,13,84,NA,NA,NA,NA,syn,4095.811768,7,0.06804548
65,65,-0.330370993,-78.20207503,4077.77137148428,320.3661352,329,8,61,NA,NA,NA,NA,,4095.542236,3,0.08984375
66,66,-0.330423993,-78.20215349,4077.77209084351,330.9164456,339,9,53,NA,NA,NA,NA,,4095.576416,10,-0.003417969
67,67,-0.330476993,-78.20222938,4077.38443695207,341.304291,349,18,61,NA,NA,NA,NA,,4095.081543,10,0.049487305
68,68,-0.330487993,-78.20224477,4077.2472047314,343.3818601,351,21,60,NA,NA,NA,NA,syn,4095.081543,2,0
69,69,-0.330492993,-78.20225173,4077.17980786109,344.4206446,352,NA,NA,NA,NA,NA,NA,,4095.081543,1,0
70,,,,,,,,,,,,,,,,
