"","lat_fit","lon_fit","ele_fit","x_pred","x","d","w","Flux_ave","adjusted_ppm","DOC","TDN","notes"
"44",-0.329927993153572,-78.2014210511519,4081.03824742284,232.539082399655,239,"18",51,NA,NA,NA,NA,""
"45",-0.329944993153572,-78.201442863124,4080.57431438168,235.51810775911,242,NA,NA,NA,NA,NA,NA,"steep slope"
"46",-0.329971993153572,-78.2014783993513,4079.85632074611,240.483150024868,247,NA,NA,NA,NA,NA,NA,"steep slope"
"47",-0.329977993153572,-78.2014864410026,4079.70205750806,241.64304248448,249,"11",39,NA,NA,NA,NA,""
"48",-0.330027993153572,-78.2015553770719,4078.54671916135,251.16006479265,259,"14",26,NA,NA,NA,NA,""
"49",-0.330076993153572,-78.2016259264309,4077.77387036221,260.677087100821,269,"11",20,NA,NA,NA,NA,""
"50",-0.330122993153572,-78.2016943477572,4077.42609121458,269.854980154471,277,"29",48,NA,NA,NA,NA,"syn"
"51",-0.330128993153572,-78.2017034001324,4077.39632403892,271.002216786177,278,NA,NA,NA,NA,NA,NA,"water bubbling up"
"52",-0.330133993153572,-78.2017109632724,4077.37284154272,272.149453417883,279,"12",81,NA,NA,NA,NA,""
"53",-0.330139993153572,-78.2017200613092,4077.3457208479,273.29669004959,280,NA,NA,NA,NA,NA,NA,"steep slope"
"54",-0.330150993153572,-78.2017367999699,4077.29702814502,275.60794200588,283,NA,NA,NA,NA,NA,NA,"little trib, river rt"
"55",-0.330169993153572,-78.2017658707267,4077.21523210272,279.443249906819,287,NA,NA,NA,NA,NA,NA,"steep slope"
"56",-0.330174993153572,-78.2017735499301,4077.19851575619,280.402076882054,288,"21",46,NA,NA,NA,NA,"stn 3"
"57",-0.330179993153572,-78.2017812396956,4077.18674981164,281.360903857289,289,"21",40,NA,NA,NA,NA,""
"58",-0.330197993153572,-78.2018089980292,4077.17128952308,285.196211758228,293,NA,NA,NA,NA,NA,NA,"steep slope"
"59",-0.330207993153572,-78.2018244603444,4077.16953507339,287.113865708698,295,NA,NA,NA,NA,NA,NA,"steep slope"
"60",-0.330223993153572,-78.2018492414793,4077.1682086772,290.473965591842,299,"27",56,NA,NA,NA,NA,""
"61",-0.330241993153572,-78.2018771525516,4077.19796943351,294.136470577219,303,"9",81,NA,NA,NA,NA,"syn"
"62",-0.330268993153572,-78.2019190051332,4077.2936121181,299.630228055285,309,"9",57,NA,NA,NA,NA,""
"63",-0.330321993153572,-78.2020006868329,4077.5651230392,310.519839994578,319,"13",64,NA,NA,NA,NA,""
"64",-0.330355993153572,-78.2020524324854,4077.72234295904,317.412246656489,326,"13",84,NA,NA,NA,NA,"syn"
"65",-0.330370993153572,-78.2020750331511,4077.77137148428,320.366135225879,329,"8",61,NA,NA,NA,NA,""
"66",-0.330423993153572,-78.2021534941117,4077.77209084351,330.91644562343,339,"9",53,NA,NA,NA,NA,""
"67",-0.330476993153572,-78.2022293802248,4077.38443695207,341.304290982615,349,"18",61,NA,NA,NA,NA,""
"68",-0.330487993153572,-78.2022447715505,4077.2472047314,343.381860054452,351,"21",60,NA,NA,NA,NA,"syn"
"69",-0.330492993153572,-78.2022517252831,4077.17980786109,344.420644590371,352,NA,NA,NA,NA,NA,NA,""
"70",-0.330531993153572,-78.2023050430916,4076.58227574694,351.6921363418,359,"87",48,NA,NA,NA,NA,""
"71",-0.330566993153572,-78.2023514976163,4076.01016678105,358.13968545719,365,NA,NA,NA,NA,NA,NA,"log jam, moving slowly and deep"
"72",-0.330589993153572,-78.2023813217036,4075.65808220289,362.356207000829,369,"19",56,NA,NA,NA,NA,"syn"
"73",-0.330618993153572,-78.202418168662,4075.25772550836,367.626858930378,374,NA,NA,NA,NA,NA,NA,"this is where it is less incized, bank < 1M"
"74",-0.330636993153572,-78.2024406393011,4075.01883935597,370.789250088108,377,"15",36,NA,NA,NA,NA,""
"75",-0.330642993153572,-78.2024480653815,4074.94323219459,371.843380474018,378,NA,NA,NA,NA,NA,NA,"underground"
"76",-0.330648993153572,-78.2024554606582,4074.86823522571,372.897510859927,379,NA,NA,NA,NA,NA,NA,"underground"
"77",-0.330654993153572,-78.2024628259413,4074.79380228705,373.951641245837,380,NA,NA,NA,NA,NA,NA,"little trib, river rt"
"78",-0.330700993153572,-78.2025183926257,4074.23707733909,382.028819180705,389,"9",53,NA,NA,NA,NA,""
"79",-0.330700993153572,-78.2025183926257,4074.23707733909,382.028819180705,389,NA,NA,NA,NA,NA,NA,"underground"
"80",-0.330723993153572,-78.2025456700014,4073.96394957223,385.96334161668,393,"17",48,NA,NA,NA,NA,"syn"
"81",-0.330757993153572,-78.2025855461268,4073.56007652917,391.865125270643,399,"23",56,NA,NA,NA,NA,""
"82",-0.330812993153572,-78.2026494414865,4072.88897177197,401.166794165385,409,"23",50,NA,NA,NA,NA,""
"83",-0.330862993153572,-78.2027075912537,4072.23634095122,409.718736224032,418,"10",59,NA,NA,NA,NA,"syn?"
"84",-0.330887993153572,-78.2027369238676,4071.88671178112,414.009052980238,419,"16",41,NA,NA,NA,NA,"syn"
"85",-0.331126993153572,-78.2030390049072,4067.52792107352,456.912220542298,429,NA,NA,NA,NA,NA,NA,"steep slope"
"86",-0.331126993153572,-78.2030390049072,4067.52792107352,456.912220542298,429,"14",53,NA,NA,NA,NA,""
"87",-0.330960993153572,-78.2028244597919,4070.65198877376,426.648555699378,432,NA,NA,NA,NA,NA,NA,"steep slope"
"88",-0.330998993153572,-78.2028715191614,4069.90561621193,433.454441778915,439,"15",49,NA,NA,NA,NA,""
"89",-0.331009993153572,-78.2028853633416,4069.68718150398,435.398980658783,441,NA,NA,1.315,583.125358144,NA,NA,"syn ?"
"90",-0.331049993153572,-78.2029365850586,4068.91768729021,442.558348818102,449,"9",50,NA,NA,NA,NA,""
"91",-0.331061993153572,-78.2029522225418,4068.70229081936,444.795651367889,451.5,NA,NA,NA,NA,NA,NA,"waterfall 1 m high"
"92",-0.331073993153572,-78.2029679837025,4068.49790417546,447.032953917676,454,"17",83,NA,NA,NA,NA,"stn4"
"93",-0.331097993153572,-78.2029998679402,4068.07657651217,451.50755901725,459,"6",76,NA,NA,NA,NA,""
"94",-0.331118993153572,-78.2030281449586,4067.68098311355,455.422902434514,460,NA,NA,NA,NA,NA,NA,""
"95",-0.331153993153572,-78.2030759875706,4067.02089114607,461.995028772703,464.7,"30",41,NA,NA,NA,NA,"syn 4"
"96",-0.331159993153572,-78.2030842705273,4066.91325268783,463.113688574948,465.5,"17",83,NA,NA,NA,NA,""
"97",-0.331160993153572,-78.2030856531609,4066.89558152105,463.253521050229,465.6,NA,NA,NA,NA,NA,NA,"tributary river left w: 40, d:1.5"
"98",-0.331166993153572,-78.203093961468,4066.79137704284,464.464341214646,469,"10",64,NA,NA,NA,NA,""
"99",-0.331216993153572,-78.2031639317771,4066.07919155119,474.042753211654,479,"8",22,NA,NA,NA,NA,""
"100",-0.331221993153572,-78.2031709908748,4066.02196903515,474.904810291385,479.9,"21",22,NA,NA,NA,NA,""
"101",-0.331221993153572,-78.2031709908748,4066.02196903515,475.000594411355,480,NA,NA,NA,NA,NA,NA,"tributarty river rt, trib mputh W 14, d 11"
"102",-0.331226993153572,-78.2031780596185,4065.9669246397,475.958435611056,481,NA,NA,NA,NA,NA,NA,"entrance to culvert"
"103",-0.331277993153572,-78.2032506505394,4065.51356744907,485.840095045577,486,NA,NA,NA,NA,NA,NA,"culvert, tributary river rt"
"104",-0.331305993153572,-78.2032908700184,4065.33094284603,491.259845362688,489,"77",53,NA,NA,NA,NA,""
"105",-0.331324993153572,-78.2033183428505,4065.28874243,494.926485750724,499,"10",47,NA,NA,NA,NA,""
"106",-0.331345993153572,-78.2033489415576,4065.33015040622,499.120204537714,505,NA,NA,NA,NA,NA,NA,"top of waterfall - > still very steep"
"107",-0.331352993153572,-78.2033592116673,4065.35165496463,500.518110800045,507,NA,NA,NA,NA,NA,NA,"waterfall"
"108",-0.331359993153572,-78.2033695247854,4065.37212044464,501.916017062375,509,"6",78,NA,NA,NA,NA,""
"109",-0.331390993153572,-78.2034158739845,4065.37125054587,508.089666285689,519,"25",75,NA,NA,NA,NA,""
"110",-0.331405993153572,-78.2034388370588,4065.25924408659,511.176490897346,524,NA,NA,NA,NA,NA,NA,"2m wf"
"111",-0.331420993153572,-78.2034622829946,4065.0264520483,514.263315509003,529,"60",70,NA,NA,NA,NA,""
"112",-0.331438993153572,-78.2034912335999,4064.56090858893,517.967505042991,535,NA,NA,NA,NA,NA,NA,""
"113",-0.331484993153572,-78.2035711824644,4062.84106623572,528.277510180459,539,"35",95,NA,NA,NA,NA,""
"114",-0.331545993153572,-78.2037002602533,4060.80162620771,544.238461511365,553,NA,NA,NA,NA,NA,NA,"10m waterfall"
"115",-0.331535993153572,-78.2036765176925,4061.52706340063,541.370587087439,553,NA,NA,NA,NA,NA,NA,"top of waterfall"
"116",-0.331556993153572,-78.2037278848337,4059.07994629592,547.617641471596,559,"25",120,NA,NA,NA,NA,""
"117",-0.331579993153572,-78.2037915989661,4052.89172883412,555.089545346653,569,"60",90,NA,NA,NA,NA,"very turbulent"
