lat_fit,lon_fit,ele_fit,x_pred,x,d,w,date,Flux_ave,adjusted_ppm,DOC,TDN,AirTemp_c,Total_hPa,VaisalaType,EOS_no,notes,ele_arcpro,dist_diff_middle,dist_diff_up,dist_diff,ele_diff_mid,slope_mid,ele_diff_mid,slope_up,Q_m_s,WaterTemp_c,catchment_ha
-0.346747411,-78.19981624,3898.767249,985.1999907,1070,11,400,,NA,NA,,,,,,,,3898.608398,19.1664465,19.1664465,10,0,0,0,0,,,
-0.346824411,-78.19977775,3898.868493,994.7832139,1080,50,600,,NA,NA,,,,,,,,3898.608398,19.1664463,19.1664465,10,0,0,0,0,,,
-0.346898411,-78.19975497,3898.956914,1003.408115,1089,NA,NA,,NA,NA,,,,,,,wetland outlet,3898.608398,,,,,,,,,,
-0.346906411,-78.1997534,3898.964267,1004.366437,1090,48,50,,NA,NA,,,,,,,,3898.608398,18.3166531,19.1664463,10,0,0,0,0,,,
-0.346923411,-78.19975058,3898.977913,1006.283082,1092,18,140,,NA,NA,,,,,,,syn 5,3898.608398,,,,,,,,,,
-0.346924411,-78.19975044,3898.978626,1006.395488,,,,44383,0.22,849.2232479,,,6.847928571,626.9213643,new,EOS_1,,,,,,,,,,,6.978,193.8069
-0.346984411,-78.19974562,3898.99939,1013.099867,1100,11,138,,NA,NA,,,,,,,,3898.608398,19.325836,18.3166531,10,0,0,0,0,,,
-0.347022411,-78.19974535,3898.989145,1017.3552,1104,NA,NA,,NA,NA,,,,,,,very turbulent,3898.608398,,,,,,,,,,
-0.347032411,-78.19974547,3898.98563,1018.419034,1105,NA,NA,,NA,NA,,,,,,,Tribs come in (small),3898.608398,,,,,,,,,,
-0.347070411,-78.19974609,3898.970739,1022.674367,1109,18,88,,NA,NA,,,,,,,syn4 ,3898.608398,,,,,,,,,,
-0.347079411,-78.19974621,3898.966843,1023.692273,1110,22,104,,NA,NA,,,,,,,,3898.608398,20.771458,10.592406,10,0,0,0,0,,,
-0.347171411,-78.19974352,3898.918119,1033.871325,1120,19,121,,NA,NA,,,,,,,,3898.608398,20.358105,20.771458,10,0,0,0,0,,,
-0.347234411,-78.19973675,3898.874272,1040.979861,,,,44383,1.485,1103.597847,,,6.847,626.9664,old,EOS_2,,,,,,,,,,,6.978,193.8177
-0.347261411,-78.19973326,3898.852594,1044.050378,1130,7,60,,NA,NA,,,,,,,,3898.608398,20.358106,20.358105,10,0,0,0,0,,,
-0.347352411,-78.19972582,3898.76624,1054.229431,1140,10,60,,NA,NA,,,,,,,,3898.608398,20.358105,20.358106,10,0,0,0,0,,,
-0.347425411,-78.19973268,3898.678627,1062.372673,1148,NA,NA,,NA,NA,,,,,,,small wf streams change -> more shallow,3898.608398,,,,,,,,,,
-0.347443411,-78.19973663,3898.651352,1064.408483,1150,13,83,,NA,NA,,,,,,,,3898.608398,21.395908,20.358105,10,0,0,0,0,,,
-0.347508411,-78.19975655,3898.532376,1071.979626,1156,31,58,,NA,NA,,,,,,,syn 3,3898.608398,,,,,,,,,,
-0.347535411,-78.19976606,3898.476155,1075.166165,,,,44383,1.005,921.4522092,,,6.849,626.8694,new,EOS_1,,,,,,,,,,,6.978,193.833
-0.347539411,-78.19976745,3898.467636,1075.625339,1160,33,122,,NA,NA,,,,,,,,3898.608398,20.331138,21.395908,10,0,0,0,0,,,
-0.347618411,-78.19978878,3898.298952,1084.739621,1170,48,87,,NA,NA,,,,,,,,3898.608398,18.228564,18.228564,10,0,0,0,0,,,
-0.347699411,-78.19978561,3898.141116,1093.853903,1180,65,105,,NA,NA,,,,,,,,3898.608398,18.228565,18.228564,10,0,0,0,0,,,
-0.347775411,-78.1997546,3898.017583,1102.968186,1190,43,142,,NA,NA,,,,,,,,3898.608398,18.228565,18.228565,10,0,0,0,0,,,
-0.347845411,-78.19971281,3897.920924,1112.082468,1200,31,181,,NA,NA,,,,,,,,3898.608398,19.908661,18.228565,10,0,0,0,0,,,
-0.347923411,-78.19967152,3897.821263,1121.916762,,,,44383,2.15,987.1542729,,,6.852,626.8684,old,EOS_2,,,,,,,,,,,7.079,193.8402
-0.347931411,-78.1996683,3897.811599,1122.876847,1210,17,91,,NA,NA,,,,,,,syn 2,3898.608398,20.01859,19.908661,10,0,0,0,0,,,
-0.347979411,-78.19965397,3897.755011,1128.411373,1216,NA,NA,,NA,NA,,,,,,,Tribs come in (small),3898.608398,,,,,,,,,,
-0.348011411,-78.199649,3897.717741,1132.101058,1220,70,80,,NA,NA,,,,,,,,3898.608398,18.448422,20.01859,10,0,0,0,0,,,
-0.348094411,-78.19964679,3897.642505,1141.325269,1230,100,98,,NA,NA,,,,,,,,3898.608398,18.448422,18.448422,10,0,0,0,0,,,
-0.348177411,-78.19964048,3897.605846,1150.54948,1240,44,78,,NA,NA,,,,,,,,3898.608398,18.448422,18.448422,10,0,0,0,0,,,
-0.348253411,-78.19960969,3897.578148,1159.773691,1250,30,170,,NA,NA,,,,,,,Station 5,3898.608398,14.713389,18.448422,10,0,0,0,0,0.08249643,,
-0.348293411,-78.1995808,3897.553152,1165.262869,1260,54,102,,NA,NA,,,,,,,,3898.608398,12.828119,14.713389,10,0,0,0,0,,,
-0.348310411,-78.19956629,3897.537569,1167.758746,,,,44383,1.06,979.2442331,,,6.853,626.7424,new,EOS_1,,,,,,,,,,,7.129,193.8555
-0.348319411,-78.19955821,3897.527715,1169.105293,1267,25,100,,NA,NA,,,,,,,syn 1,3898.608398,,,,,,,,,,
-0.348342411,-78.19953675,3897.496615,1172.60181,1270,78,40,,NA,NA,,,,,,,,3898.608398,18.993999,12.828119,,0,0,0,0,,,
-0.348421411,-78.19946801,3897.364042,1184.256868,1280,43,80,,NA,NA,,,,,,,,3898.608398,23.310117,18.993999,10,0,0,0,0,,,
-0.348518411,-78.19943424,3897.223679,1195.911927,1290,51,93,,NA,NA,,,,,,,,3898.608398,23.310117,23.310117,10,0,0,0,0,,,
-0.348622411,-78.19942364,3897.0049,1207.566985,1300,52,90,,NA,NA,,,,,,,,3898.608398,21.543525,23.310117,10,0,0,0,0,,,
-0.348640411,-78.19941687,3896.952321,1209.708346,1302,NA,NA,,NA,NA,,,,,,,Station 6,3898.608398,,,,,,,,0.07422,,
-0.348664411,-78.19940543,3896.877369,1212.613511,1305,NA,NA,,NA,NA,,,,,,,"Less turbulence, slower",3898.608398,,,,,,,,,,
-0.348702411,-78.19938449,3896.748765,1217.455452,1310,25,125,,NA,NA,,,,,,,,3898.608398,19.57235,21.543525,10,0,0,0,0,,,
-0.348777411,-78.19934234,3896.46595,1227.139335,1320,120,250,,NA,NA,,,,,,,,3898.608398,19.367766,19.57235,10,0,0,0,0,,,
-0.348784411,-78.19933771,3896.436093,1228.012053,,,,44383,2.675,958.5380473,,,6.855,626.7694,new,EOS_1,,,,,,,,,,,,210.2958
-0.348843411,-78.19928578,3896.133152,1236.823218,1330,35,145,,NA,NA,,,,,,,,3898.608398,19.367765,19.367766,10,0,0,0,0,,,
-0.348858411,-78.19927049,3896.042958,1239.162201,,,,44383,1.345,1022.632975,,,6.855,626.7694,old,EOS_2,,,,,,,,,,,7.179,210.3696
-0.348910411,-78.19923121,3895.746482,1246.5071,1340,62,93,,NA,NA,,,,,,,,3898.608398,19.367765,19.367765,10,0,0,0,0,,,
-0.348994411,-78.19921671,3895.306475,1256.190983,1350,58,105,,1.345,1022.632975,,,6.855,626.7694,,,Stream with intermittent waterfalls 20 cm high,3898.608398,,,10,,0,,0,0.07422,7.179,210.3696
