"Plot Title: DO_01"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20968229, SEN S/N: 20968229)","Temp, °C (LGR S/N: 20968229, SEN S/N: 20968229)","Coupler Attached (LGR S/N: 20968229)","Host Connected (LGR S/N: 20968229)","Coupler Detached (LGR S/N: 20968229)","Stopped (LGR S/N: 20968229)","End Of File (LGR S/N: 20968229)"
38,06/11/21 07:45:00 PM,0.52,9.26,,,,,
39,06/11/21 08:00:00 PM,0.51,9.26,,,,,
40,06/11/21 08:15:00 PM,0.36,9.28,,,,,
41,06/11/21 08:30:00 PM,0.38,9.26,,,,,
42,06/11/21 08:45:00 PM,0.47,9.26,,,,,
43,06/11/21 09:00:00 PM,0.47,9.24,,,,,
44,06/11/21 09:15:00 PM,0.68,9.22,,,,,
45,06/11/21 09:30:00 PM,0.44,9.18,,,,,
46,06/11/21 09:45:00 PM,0.39,9.16,,,,,
47,06/11/21 10:00:00 PM,0.35,9.12,,,,,
48,06/11/21 10:15:00 PM,0.33,9.12,,,,,
49,06/11/21 10:30:00 PM,0.27,9.10,,,,,
50,06/11/21 10:45:00 PM,0.24,9.10,,,,,
51,06/11/21 11:00:00 PM,0.27,9.08,,,,,
52,06/11/21 11:15:00 PM,0.38,9.04,,,,,
53,06/11/21 11:30:00 PM,0.44,8.96,,,,,
54,06/11/21 11:45:00 PM,0.50,8.90,,,,,
55,06/12/21 12:00:00 AM,0.54,8.86,,,,,
56,06/12/21 12:15:00 AM,0.40,8.82,,,,,
57,06/12/21 12:30:00 AM,0.40,8.82,,,,,
58,06/12/21 12:45:00 AM,0.36,8.86,,,,,
59,06/12/21 01:00:00 AM,0.31,8.88,,,,,
60,06/12/21 01:15:00 AM,0.24,8.88,,,,,
61,06/12/21 01:30:00 AM,0.24,8.88,,,,,
62,06/12/21 01:45:00 AM,0.20,8.86,,,,,
63,06/12/21 02:00:00 AM,0.18,8.86,,,,,
64,06/12/21 02:15:00 AM,0.17,8.86,,,,,
65,06/12/21 02:30:00 AM,0.14,8.84,,,,,
66,06/12/21 02:45:00 AM,0.13,8.82,,,,,
67,06/12/21 03:00:00 AM,0.07,8.80,,,,,
68,06/12/21 03:15:00 AM,0.11,8.80,,,,,
69,06/12/21 03:30:00 AM,0.10,8.80,,,,,
70,06/12/21 03:45:00 AM,0.08,8.80,,,,,
71,06/12/21 04:00:00 AM,0.04,8.80,,,,,
72,06/12/21 04:15:00 AM,0.02,8.78,,,,,
73,06/12/21 04:30:00 AM,-0.01,8.76,,,,,
74,06/12/21 04:45:00 AM,-0.01,8.74,,,,,
75,06/12/21 05:00:00 AM,0.17,8.72,,,,,
76,06/12/21 05:15:00 AM,0.22,8.68,,,,,
77,06/12/21 05:30:00 AM,0.20,8.66,,,,,
78,06/12/21 05:45:00 AM,0.17,8.64,,,,,
79,06/12/21 06:00:00 AM,0.18,8.62,,,,,
80,06/12/21 06:15:00 AM,0.20,8.60,,,,,
81,06/12/21 06:30:00 AM,0.20,8.60,,,,,
82,06/12/21 06:45:00 AM,0.22,8.58,,,,,
83,06/12/21 07:00:00 AM,0.21,8.58,,,,,
84,06/12/21 07:15:00 AM,0.19,8.58,,,,,
85,06/12/21 07:30:00 AM,0.13,8.62,,,,,
86,06/12/21 07:45:00 AM,0.12,8.66,,,,,
87,06/12/21 08:00:00 AM,0.10,8.68,,,,,
88,06/12/21 08:15:00 AM,0.07,8.72,,,,,
89,06/12/21 08:30:00 AM,0.06,8.74,,,,,
90,06/12/21 08:45:00 AM,0.07,8.78,,,,,
91,06/12/21 09:00:00 AM,0.08,8.82,,,,,
92,06/12/21 09:15:00 AM,0.10,8.94,,,,,
93,06/12/21 09:30:00 AM,0.13,9.04,,,,,
94,06/12/21 09:45:00 AM,0.16,9.12,,,,,
95,06/12/21 10:00:00 AM,0.15,9.22,,,,,
96,06/12/21 10:15:00 AM,0.14,9.24,,,,,
97,06/12/21 10:30:00 AM,0.12,9.22,,,,,
98,06/12/21 10:45:00 AM,0.10,9.16,,,,,
99,06/12/21 11:00:00 AM,0.06,9.14,,,,,
100,06/12/21 11:15:00 AM,0.07,9.18,,,,,
101,06/12/21 11:30:00 AM,0.10,9.24,,,,,
102,06/12/21 11:45:00 AM,0.12,9.26,,,,,
103,06/12/21 12:00:00 PM,0.13,9.32,,,,,
104,06/12/21 12:15:00 PM,0.16,9.40,,,,,
105,06/12/21 12:30:00 PM,0.18,9.48,,,,,
106,06/12/21 12:45:00 PM,0.22,9.42,,,,,
107,06/12/21 01:00:00 PM,0.23,9.36,,,,,
108,06/12/21 01:15:00 PM,0.22,9.54,,,,,
109,06/12/21 01:30:00 PM,0.22,9.72,,,,,
110,06/12/21 01:45:00 PM,0.24,9.78,,,,,
111,06/12/21 02:00:00 PM,0.25,9.88,,,,,
112,06/12/21 02:15:00 PM,0.25,9.98,,,,,
113,06/12/21 02:30:00 PM,0.25,10.02,,,,,
114,06/12/21 02:45:00 PM,0.25,10.24,,,,,
115,06/12/21 03:00:00 PM,0.29,10.34,,,,,
116,06/12/21 03:15:00 PM,0.32,10.36,,,,,
117,06/12/21 03:30:00 PM,0.35,10.36,,,,,
118,06/12/21 03:45:00 PM,0.40,10.10,,,,,
119,06/12/21 04:00:00 PM,0.39,10.00,,,,,
120,06/12/21 04:15:00 PM,0.41,9.94,,,,,
121,06/12/21 04:30:00 PM,0.46,9.94,,,,,
122,06/12/21 04:45:00 PM,0.50,9.90,,,,,
123,06/12/21 05:00:00 PM,0.54,9.90,,,,,
124,06/12/21 05:15:00 PM,0.56,9.78,,,,,
125,06/12/21 05:30:00 PM,0.61,9.66,,,,,
126,06/12/21 05:45:00 PM,0.68,9.50,,,,,
127,06/12/21 06:00:00 PM,0.77,9.40,,,,,
128,06/12/21 06:15:00 PM,0.81,9.30,,,,,
129,06/12/21 06:30:00 PM,0.82,9.24,,,,,
130,06/12/21 06:45:00 PM,0.77,9.20,,,,,
131,06/12/21 07:00:00 PM,0.79,9.16,,,,,
132,06/12/21 07:15:00 PM,0.79,9.14,,,,,
133,06/12/21 07:30:00 PM,0.74,9.12,,,,,
134,06/12/21 07:45:00 PM,0.72,9.10,,,,,
135,06/12/21 08:00:00 PM,0.72,9.10,,,,,
136,06/12/21 08:15:00 PM,0.73,9.08,,,,,
137,06/12/21 08:30:00 PM,0.74,9.08,,,,,
138,06/12/21 08:45:00 PM,0.75,9.08,,,,,
139,06/12/21 09:00:00 PM,0.73,9.08,,,,,
140,06/12/21 09:15:00 PM,0.54,9.08,,,,,
141,06/12/21 09:30:00 PM,0.51,9.08,,,,,
142,06/12/21 09:45:00 PM,0.53,9.06,,,,,
143,06/12/21 10:00:00 PM,0.53,9.06,,,,,
144,06/12/21 10:15:00 PM,0.52,9.06,,,,,
145,06/12/21 10:30:00 PM,0.50,9.06,,,,,
146,06/12/21 10:45:00 PM,0.50,9.06,,,,,
147,06/12/21 11:00:00 PM,0.49,9.06,,,,,
148,06/12/21 11:15:00 PM,0.50,9.04,,,,,
149,06/12/21 11:30:00 PM,0.42,9.02,,,,,
150,06/12/21 11:45:00 PM,0.34,9.00,,,,,
151,06/13/21 12:00:00 AM,0.35,9.00,,,,,
152,06/13/21 12:15:00 AM,0.36,8.98,,,,,
153,06/13/21 12:30:00 AM,0.34,8.96,,,,,
154,06/13/21 12:45:00 AM,0.37,8.94,,,,,
155,06/13/21 01:00:00 AM,0.41,8.90,,,,,
156,06/13/21 01:15:00 AM,0.37,8.86,,,,,
157,06/13/21 01:30:00 AM,0.44,8.84,,,,,
158,06/13/21 01:45:00 AM,0.45,8.82,,,,,
159,06/13/21 02:00:00 AM,0.47,8.80,,,,,
160,06/13/21 02:15:00 AM,0.69,8.74,,,,,
161,06/13/21 02:30:00 AM,0.56,8.68,,,,,
162,06/13/21 02:45:00 AM,0.57,8.60,,,,,
163,06/13/21 03:00:00 AM,0.64,8.50,,,,,
164,06/13/21 03:15:00 AM,0.97,8.40,,,,,
165,06/13/21 03:30:00 AM,0.89,8.30,,,,,
166,06/13/21 03:45:00 AM,0.90,8.20,,,,,
167,06/13/21 04:00:00 AM,0.97,7.96,,,,,
168,06/13/21 04:15:00 AM,1.20,7.72,,,,,
169,06/13/21 04:30:00 AM,1.54,7.42,,,,,
170,06/13/21 04:45:00 AM,2.14,7.22,,,,,
171,06/13/21 05:00:00 AM,2.65,7.08,,,,,
172,06/13/21 05:15:00 AM,2.97,7.02,,,,,
173,06/13/21 05:30:00 AM,3.15,7.02,,,,,
174,06/13/21 05:45:00 AM,3.35,7.00,,,,,
175,06/13/21 06:00:00 AM,3.32,6.94,,,,,
176,06/13/21 06:15:00 AM,3.31,6.90,,,,,
177,06/13/21 06:30:00 AM,3.49,6.84,,,,,
178,06/13/21 06:45:00 AM,3.16,6.82,,,,,
179,06/13/21 07:00:00 AM,3.48,6.82,,,,,
180,06/13/21 07:15:00 AM,3.49,6.84,,,,,
181,06/13/21 07:30:00 AM,3.36,6.86,,,,,
182,06/13/21 07:45:00 AM,3.46,6.90,,,,,
183,06/13/21 08:00:00 AM,3.47,6.92,,,,,
184,06/13/21 08:15:00 AM,3.79,6.94,,,,,
185,06/13/21 08:30:00 AM,3.87,7.00,,,,,
186,06/13/21 08:45:00 AM,3.95,7.10,,,,,
187,06/13/21 09:00:00 AM,4.02,7.24,,,,,
188,06/13/21 09:15:00 AM,4.05,7.36,,,,,
189,06/13/21 09:30:00 AM,4.19,7.46,,,,,
190,06/13/21 09:45:00 AM,4.16,7.64,,,,,
191,06/13/21 10:00:00 AM,4.26,7.82,,,,,
192,06/13/21 10:15:00 AM,4.39,7.94,,,,,
193,06/13/21 10:30:00 AM,4.44,8.04,,,,,
194,06/13/21 10:45:00 AM,4.51,8.20,,,,,
195,06/13/21 11:00:00 AM,4.53,8.50,,,,,
196,06/13/21 11:15:00 AM,4.60,8.74,,,,,
197,06/13/21 11:30:00 AM,4.65,8.94,,,,,
198,06/13/21 11:45:00 AM,4.68,9.18,,,,,
199,06/13/21 12:00:00 PM,4.74,9.50,,,,,
200,06/13/21 12:15:00 PM,4.78,9.84,,,,,
201,06/13/21 12:30:00 PM,4.82,10.36,,,,,
202,06/13/21 12:45:00 PM,4.86,10.82,,,,,
203,06/13/21 01:00:00 PM,4.89,11.16,,,,,
204,06/13/21 01:15:00 PM,4.86,11.30,,,,,
205,06/13/21 01:30:00 PM,4.87,11.40,,,,,
206,06/13/21 01:45:00 PM,4.87,11.60,,,,,
207,06/13/21 02:00:00 PM,4.85,11.60,,,,,
208,06/13/21 02:15:00 PM,4.81,11.72,,,,,
209,06/13/21 02:30:00 PM,4.67,11.84,,,,,
210,06/13/21 02:45:00 PM,4.64,11.78,,,,,
211,06/13/21 03:00:00 PM,4.41,11.42,,,,,
212,06/13/21 03:15:00 PM,4.38,11.22,,,,,
213,06/13/21 03:30:00 PM,4.27,11.10,,,,,
214,06/13/21 03:45:00 PM,4.25,10.92,,,,,
215,06/13/21 04:00:00 PM,4.26,10.78,,,,,
216,06/13/21 04:15:00 PM,4.12,10.68,,,,,
217,06/13/21 04:30:00 PM,4.13,10.64,,,,,
218,06/13/21 04:45:00 PM,4.16,10.58,,,,,
219,06/13/21 05:00:00 PM,4.09,10.44,,,,,
220,06/13/21 05:15:00 PM,4.24,10.34,,,,,
221,06/13/21 05:30:00 PM,4.30,10.26,,,,,
222,06/13/21 05:45:00 PM,3.89,10.16,,,,,
223,06/13/21 06:00:00 PM,3.72,10.06,,,,,
224,06/13/21 06:15:00 PM,3.70,9.96,,,,,
225,06/13/21 06:30:00 PM,3.64,9.86,,,,,
226,06/13/21 06:45:00 PM,3.61,9.78,,,,,
227,06/13/21 07:00:00 PM,3.60,9.72,,,,,
228,06/13/21 07:15:00 PM,3.50,9.64,,,,,
229,06/13/21 07:30:00 PM,3.45,9.60,,,,,
230,06/13/21 07:45:00 PM,3.41,9.54,,,,,
231,06/13/21 08:00:00 PM,3.35,9.46,,,,,
232,06/13/21 08:15:00 PM,3.31,9.42,,,,,
233,06/13/21 08:30:00 PM,3.25,9.38,,,,,
234,06/13/21 08:45:00 PM,3.23,9.36,,,,,
235,06/13/21 09:00:00 PM,3.16,9.32,,,,,
236,06/13/21 09:15:00 PM,3.14,9.28,,,,,
237,06/13/21 09:30:00 PM,3.21,9.24,,,,,
238,06/13/21 09:45:00 PM,3.14,9.20,,,,,
239,06/13/21 10:00:00 PM,3.11,9.16,,,,,
240,06/13/21 10:15:00 PM,3.03,9.12,,,,,
241,06/13/21 10:30:00 PM,3.06,9.04,,,,,
242,06/13/21 10:45:00 PM,3.10,8.96,,,,,
243,06/13/21 11:00:00 PM,3.08,8.92,,,,,
244,06/13/21 11:15:00 PM,3.13,8.90,,,,,
245,06/13/21 11:30:00 PM,3.01,8.88,,,,,
246,06/13/21 11:45:00 PM,2.97,8.86,,,,,
247,06/14/21 12:00:00 AM,2.94,8.84,,,,,
248,06/14/21 12:15:00 AM,2.94,8.82,,,,,
249,06/14/21 12:30:00 AM,2.91,8.78,,,,,
250,06/14/21 12:45:00 AM,2.92,8.76,,,,,
251,06/14/21 01:00:00 AM,2.87,8.72,,,,,
252,06/14/21 01:15:00 AM,2.49,8.70,,,,,
253,06/14/21 01:30:00 AM,3.27,8.68,,,,,
254,06/14/21 01:45:00 AM,3.30,8.66,,,,,
255,06/14/21 02:00:00 AM,3.28,8.64,,,,,
256,06/14/21 02:15:00 AM,3.26,8.60,,,,,
257,06/14/21 02:30:00 AM,3.25,8.54,,,,,
258,06/14/21 02:45:00 AM,3.23,8.50,,,,,
259,06/14/21 03:00:00 AM,3.23,8.46,,,,,
260,06/14/21 03:15:00 AM,3.21,8.46,,,,,
261,06/14/21 03:30:00 AM,3.17,8.46,,,,,
262,06/14/21 03:45:00 AM,3.16,8.44,,,,,
263,06/14/21 04:00:00 AM,3.14,8.44,,,,,
264,06/14/21 04:15:00 AM,3.12,8.42,,,,,
265,06/14/21 04:30:00 AM,3.11,8.40,,,,,
266,06/14/21 04:45:00 AM,3.10,8.38,,,,,
267,06/14/21 05:00:00 AM,3.08,8.36,,,,,
268,06/14/21 05:15:00 AM,3.06,8.34,,,,,
269,06/14/21 05:30:00 AM,3.05,8.30,,,,,
270,06/14/21 05:45:00 AM,3.04,8.26,,,,,
271,06/14/21 06:00:00 AM,3.00,8.24,,,,,
272,06/14/21 06:15:00 AM,2.99,8.24,,,,,
273,06/14/21 06:30:00 AM,2.98,8.20,,,,,
274,06/14/21 06:45:00 AM,2.98,8.20,,,,,
275,06/14/21 07:00:00 AM,2.98,8.20,,,,,
276,06/14/21 07:15:00 AM,2.98,8.24,,,,,
277,06/14/21 07:30:00 AM,2.99,8.32,,,,,
278,06/14/21 07:45:00 AM,3.00,8.40,,,,,
279,06/14/21 08:00:00 AM,3.06,8.48,,,,,
280,06/14/21 08:15:00 AM,3.10,8.54,,,,,
281,06/14/21 08:30:00 AM,3.12,8.66,,,,,
282,06/14/21 08:45:00 AM,3.15,8.96,,,,,
283,06/14/21 09:00:00 AM,3.16,9.24,,,,,
284,06/14/21 09:15:00 AM,3.26,9.32,,,,,
285,06/14/21 09:30:00 AM,3.28,9.44,,,,,
286,06/14/21 09:45:00 AM,3.30,9.60,,,,,
287,06/14/21 10:00:00 AM,3.31,9.74,,,,,
288,06/14/21 10:15:00 AM,3.31,10.08,,,,,
289,06/14/21 10:30:00 AM,3.29,10.54,,,,,
290,06/14/21 10:45:00 AM,6.78,11.22,,,,,
291,06/14/21 10:45:19 AM,,,Logged,,,,
292,06/14/21 10:45:23 AM,,,,Logged,,,
293,06/14/21 10:45:46 AM,,,,Logged,,,
294,06/14/21 10:46:01 AM,,,,Logged,,,
295,06/14/21 10:46:02 AM,,,,,Logged,,
296,06/14/21 10:46:04 AM,,,Logged,,,,
297,06/14/21 10:46:05 AM,,,,Logged,,,
298,06/14/21 10:46:07 AM,,,,,,Logged,Logged
