Month,Day,Year,Time,Flux,Temperature (C),CO2 Soil (ppm) ,CO2 Soil STD (ppm),CO2 ATM (ppm),CO2 ATM STD (ppm),Mode,Tract,Description,Point,X,Y,WS,Notes,Wetland
7,6,21,14:40:00,0.17,26.3,137.7,6.894,128.33,3.266,0,NA,NA,NA,NA,NA,NA,NA,NA
7,6,21,14:45:00,1,25.7,173.43,7.375,116.75,1.847,0,2,Lower Antenas starting downstream near where it becomes very rocky and goes into drainage,3,-0.3475,-78.19978,NA,NA,CORMILLO
7,6,21,14:50:00,1.01,25.3,173.87,3.837,116.58,2.781,0,2,Lower Antenas starting downstream near where it becomes very rocky and goes into drainage,3,-0.3475,-78.19978,NA,NA,CORMILLO
7,6,21,14:55:00,-0.01,25,110.83,5.04,111.3,6.609,0,2,Lower Antenas starting downstream near where it becomes very rocky and goes into drainage,NA,NA,NA,NA,NA,CORMILLO
7,6,21,15:00:00,0.08,24.9,111.18,1.583,106.46,4.813,0,NA,NA,NA,NA,NA,NA,NA,NA
7,6,21,15:05:00,0.2,25,113.77,3.501,102.32,2.667,0,2,Lower Antenas starting downstream near where it becomes very rocky and goes into drainage,4,-0.34692,-78.19972,NA,NA,CORMILLO
7,6,21,15:10:00,0.24,24.9,115.57,2.477,102.08,2.739,0,2,Lower Antenas starting downstream near where it becomes very rocky and goes into drainage,4,-0.34692,-78.19972,NA,NA,CORMILLO
7,6,21,15:15:00,0.14,24.6,102.25,21.419,94.15,3.857,0,2,Lower Antenas starting downstream near where it becomes very rocky and goes into drainage,NA,NA,NA,NA,NA,CORMILLO
7,6,21,15:20:00,-0.04,24,108.89,4.814,111.16,4.528,0,NA,NA,NA,NA,NA,NA,NA,NA
7,6,21,15:25:00,0.28,23.5,127.47,6.058,111.54,5.745,0,NA,NA,NA,NA,NA,NA,NA,NA
7,6,21,15:30:00,2.12,23.3,246.32,24.16,126.12,3.3,0,NA,NA,NA,NA,NA,NA,NA,NA
7,6,21,15:35:00,5.8,23.1,666.54,29.943,338.73,40.764,0,NA,NA,NA,NA,NA,NA,NA,NA
7,6,21,15:40:00,3.17,23,896.06,18.419,716.95,24.617,0,NA,NA,NA,NA,NA,NA,NA,NA
7,6,21,15:45:00,1.53,23.1,1022.74,12.142,935.92,17.404,0,NA,NA,NA,NA,NA,NA,NA,NA
7,6,21,15:53:26,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA
