"","pointid","ele","flo_accu","lat_center","lon_center","ele_up10","floaccu_up10","lat_up10","lon_up10","ele_down10","lat_down10","lon_down10","floaccu_down10","dist_diff_mid_1","dist_diff_mid_2","dist_diff_mid","ele_diff_mid","slope_mid"
"12",175249,3984,993,-0.33602405,-78.19798115,3985,990,-0.33594273,-78.19798117,3983,-0.33610539,-78.19800806,1487,9.05250126507769,9.53737089059711,18.5898721556748,2,0.107585462839747
"13",175250,3984,371,-0.33602405,-78.19795422,3985,348,-0.33594271,-78.19792732,3985,-0.33591562,-78.19798118,989,9.53702132365018,12.4378704796428,21.9748918032929,0,0
"14",175251,3985,47550,-0.33602403,-78.19790037,3986,47535,-0.33594268,-78.1978196,3984,-0.33610537,-78.19792727,47579,12.7612107427499,9.53702131627397,22.2982320590239,2,0.0896932095201969
"15",175252,3991,3585,-0.33602383,-78.19722716,3994,3575,-0.33596959,-78.19714639,3989,-0.33607808,-78.19730793,3590,10.8303888532764,10.8310094602313,21.6613983135077,5,0.2308253570538
"16",175253,4028,533,-0.33602348,-78.19598846,4031,396,-0.33594213,-78.19593463,4025,-0.33610482,-78.19604229,540,10.8588678473906,10.8579394793526,21.7168073267432,6,0.276283705506347
"17",175303,3984,16851,-0.33605154,-78.1992737,3985,16840,-0.33597023,-78.19935451,3983,-0.33613284,-78.19919289,16859,12.7611896431778,12.7604000361942,25.5215896793719,2,0.078365024480294
"18",175304,3983,6140,-0.33605143,-78.19892363,3983,6133,-0.33597012,-78.19897751,3982,-0.33613274,-78.19884282,6162,10.8582281343038,12.7611895904684,23.6194177247722,1,0.0423380462487521
"19",175305,3982,4806,-0.3360514,-78.19881592,3983,4766,-0.33597008,-78.19884287,3982,-0.33613273,-78.1988159,4809,9.53665697813324,9.05361445995383,18.5902714380871,1,0.053791576057961
"20",175306,3984,1366,-0.33605116,-78.19798114,3985,991,-0.33596983,-78.19798117,3983,-0.3361325,-78.19800805,1488,9.05361480212697,9.53737088843062,18.5909856905576,2,0.107579018847602
"21",175307,3984,47564,-0.33605115,-78.19792729,3986,47540,-0.3359698,-78.19784652,3983,-0.33613248,-78.19795419,47588,12.7612107261675,9.53596442065573,22.2971751468233,3,0.13454619162497
"22",175308,3990,3587,-0.33605095,-78.19725408,3993,3581,-0.3359696,-78.19717332,3988,-0.33610519,-78.19733485,3592,12.7604264438983,10.8303887922815,23.5908152361798,5,0.211946893311758
"23",175309,4027,536,-0.33605059,-78.19598845,4030,424,-0.33596925,-78.19596155,4024,-0.33613193,-78.19604229,543,9.53702132109622,10.8585538433742,20.3955751644705,6,0.294181456105839
"24",175358,3983,16855,-0.33607864,-78.19924676,3984,16844,-0.33599733,-78.19932757,3983,-0.33615995,-78.19919288,16862,12.7611896255877,10.8582280967157,23.6194177223035,1,0.0423380462531773
"25",175359,3982,6142,-0.33607854,-78.1988967,3983,6134,-0.33599722,-78.19895058,3982,-0.33615984,-78.19881589,10973,10.8591560978201,12.7604000186637,23.6195561164838,1,0.0423377981816564
"26",175360,3982,4807,-0.33607851,-78.19881591,3982,4786,-0.33599718,-78.19881593,3983,-0.33605143,-78.19892363,6140,9.05361445995383,12.3642461717928,21.4178606317467,-1,-0.0466900040668743
"27",175361,3984,1368,-0.33607827,-78.19798113,3985,992,-0.33599694,-78.19798116,3985,-0.33602403,-78.19790037,47550,9.05361480212592,10.8294647001771,19.8830795023031,0,0
"28",175362,3984,47566,-0.33607826,-78.19792728,3985,47545,-0.33599691,-78.19787344,3983,-0.3361596,-78.19798111,47589,10.8594821511026,10.8579394608012,21.7174216119038,2,0.092091963573786
"29",175363,3989,3590,-0.33607808,-78.19730793,3991,3585,-0.33602383,-78.19722716,3987,-0.33615943,-78.19738869,3830,10.8310094602313,12.7604263745507,23.591435834782,4,0.169553054252959
"30",175364,3989,3589,-0.33607807,-78.197281,3992,3583,-0.33599672,-78.19720024,3988,-0.33613231,-78.19736177,3827,12.7604264273059,10.8303887703841,23.59081519769,4,0.16955751492605
"31",175365,4026,539,-0.3360777,-78.19601537,4029,524,-0.33599636,-78.19596154,4023,-0.33615905,-78.19606921,544,10.8579394885289,10.8594821229629,21.7174216114917,6,0.2762758907266
"32",175429,3983,16857,-0.33610574,-78.19921983,3984,16845,-0.33602443,-78.19930064,3982,-0.33618705,-78.19916595,16865,12.7611896079963,10.8582280883049,23.6194176963011,2,0.0846760925995735
"33",175430,3982,6158,-0.33610564,-78.19886976,3983,6135,-0.33602433,-78.19892364,3982,-0.33618695,-78.19881588,10974,10.8582281159193,10.8582280875565,21.7164562034758,1,0.0460480287681534
"34",175431,3982,4808,-0.33610562,-78.1988159,3982,4787,-0.33602429,-78.19881593,3982,-0.33607854,-78.1988967,6142,9.05361480212644,9.48618546636659,18.539800268493,0,0
"35",175432,3982,307,-0.33610561,-78.19876205,NA,NA,NA,NA,3982,-0.33618693,-78.19876202,323,NA,9.05250160729271,NA,NA,NA
"36",175433,3983,1487,-0.33610539,-78.19800806,3984,993,-0.33602405,-78.19798115,3984,-0.33605115,-78.19792729,47564,9.53737089059711,10.8303887933075,20.3677596839046,0,0
"37",175434,3984,47579,-0.33610537,-78.19792727,3985,47550,-0.33602403,-78.19790037,3983,-0.33615961,-78.19800804,49080,9.53702131627397,10.8303887506926,20.3674100669666,2,0.0981960884287271
"38",175435,3988,3592,-0.33610519,-78.19733485,3990,3587,-0.33605095,-78.19725408,3987,-0.33618654,-78.19741561,3833,10.8303887922815,12.7604263559754,23.5908151482569,3,0.12716813646101
"39",175436,4025,540,-0.33610482,-78.19604229,4028,533,-0.33602348,-78.19598846,4020,-0.33618616,-78.19609613,545,10.8579394793526,10.8585538257835,21.7164933051361,8,0.3683836007772
"40",175488,3983,16859,-0.33613284,-78.19919289,3984,16851,-0.33605154,-78.1992737,3982,-0.33621415,-78.19913901,16868,12.7604000361942,10.858228079111,23.6186281153051,2,0.0846789233581258
"41",175489,3982,6162,-0.33613274,-78.19884282,3983,6140,-0.33605143,-78.19892363,3982,-0.33621406,-78.19881587,10983,12.7611895904684,9.53665696241704,22.2978465528854,1,0.044847380110372
"42",175490,3982,4809,-0.33613273,-78.1988159,3982,4806,-0.3360514,-78.19881592,3982,-0.33607854,-78.1988967,6142,9.05361445995383,10.8300600589726,19.8836745189264,0,0
"43",175491,3982,315,-0.33613272,-78.19876204,NA,NA,NA,NA,3982,-0.33621404,-78.19876202,324,NA,9.05250126507803,NA,NA,NA
"44",175492,3983,1488,-0.3361325,-78.19800805,3984,1366,-0.33605116,-78.19798114,3984,-0.33605115,-78.19792729,47564,9.53737088843062,12.7604263930156,22.2977972814463,0,0
"45",175493,3983,47588,-0.33613248,-78.19795419,3984,47564,-0.33605115,-78.19792729,3982,-0.33618672,-78.19803496,49126,9.53596442065573,10.8303887287995,20.3663531494552,2,0.0982011843418073
"46",175494,3986,333,-0.33613237,-78.1975772,NA,NA,NA,NA,3985,-0.33621371,-78.1976041,469,NA,9.53702130583403,NA,NA,NA
"47",175495,3988,3827,-0.33613231,-78.19736177,3989,3589,-0.33607807,-78.197281,3987,-0.33618655,-78.19744254,3835,10.8303887703841,10.8303887289264,21.6607774993104,2,0.0923327890729531
"48",175496,4024,543,-0.33613193,-78.19604229,4027,536,-0.33605059,-78.19598845,4017,-0.33621328,-78.19612305,546,10.8585538433742,12.7604263396263,23.6189801830006,10,0.423388305613523
"49",175549,4032,314,-0.33616056,-78.20129329,NA,NA,NA,NA,4030,-0.33618764,-78.2012125,353,NA,9.48512992732662,NA,NA,NA
"50",175550,4027,362,-0.33616049,-78.20107786,4029,357,-0.33618763,-78.20115864,4024,-0.33616047,-78.20099708,393,9.48619957550605,8.99223397057606,18.4784335460821,5,0.270585706712143
"51",175551,4026,390,-0.33616049,-78.20105094,4029,358,-0.33618762,-78.20113171,4023,-0.33616046,-78.20097015,394,9.4847898544831,8.99334749018207,18.4781373446652,6,0.324708052986318
"52",175552,4025,392,-0.33616048,-78.20102401,4028,359,-0.33618761,-78.20110479,4022,-0.33616046,-78.20094322,395,9.48584509848484,8.99334714570902,18.4791922441939,6,0.324689516766361
"53",175553,4024,393,-0.33616047,-78.20099708,4027,362,-0.33616049,-78.20107786,4020,-0.33616045,-78.20091629,403,8.99223397057606,8.99334714571823,17.9855811162943,7,0.389200657723439
"54",175554,4023,394,-0.33616046,-78.20097015,4026,390,-0.33616049,-78.20105094,4019,-0.33616044,-78.20088937,404,8.99334749018207,8.99223397060369,17.9855814607858,7,0.389200650268784
"55",175555,4022,395,-0.33616046,-78.20094322,4025,392,-0.33616048,-78.20102401,4018,-0.33616043,-78.20086244,405,8.99334714570902,8.9922343151286,17.9855814608376,7,0.389200650267662
"56",175556,4020,403,-0.33616045,-78.20091629,4024,393,-0.33616047,-78.20099708,4017,-0.33616042,-78.20083551,406,8.99334714571823,8.99223431230539,17.9855814580236,7,0.389200650328555
"57",175557,4019,404,-0.33616044,-78.20088937,4023,394,-0.33616046,-78.20097015,4016,-0.33616042,-78.20080858,407,8.99223397060369,8.99334714432965,17.9855811149333,7,0.389200657752889
"58",175558,4018,405,-0.33616043,-78.20086244,4022,395,-0.33616046,-78.20094322,4015,-0.33616041,-78.20078165,408,8.9922343151286,8.99334714433886,17.9855814594675,7,0.389200650297311
"59",175559,4017,406,-0.33616042,-78.20083551,4020,403,-0.33616045,-78.20091629,4013,-0.3361604,-78.20075472,523,8.99223431230539,8.99334714576427,17.9855814580697,7,0.389200650327559
"60",175560,4016,407,-0.33616042,-78.20080858,4019,404,-0.33616044,-78.20088937,4012,-0.33616039,-78.2007278,525,8.99334714432965,8.99223431516543,17.9855814594951,7,0.389200650296714
"61",175561,4015,408,-0.33616041,-78.20078165,4018,405,-0.33616043,-78.20086244,4011,-0.33616039,-78.20070087,526,8.99334714433886,8.99223396923353,17.9855811135724,7,0.38920065778234
"62",175562,4013,523,-0.3361604,-78.20075472,4017,406,-0.33616042,-78.20083551,4010,-0.33616038,-78.20067394,527,8.99334714576427,8.99223397065894,17.9855811164232,7,0.389200657720649
"63",175563,4012,525,-0.33616039,-78.2007278,4016,407,-0.33616042,-78.20080858,4009,-0.33616037,-78.20064701,528,8.99223431516543,8.9933471457919,17.9855814609573,7,0.389200650265071
"64",175564,4011,526,-0.33616039,-78.20070087,4015,408,-0.33616041,-78.20078165,4008,-0.33616036,-78.20062008,529,8.99223396923353,8.99334749169037,17.9855814609239,7,0.389200650265795
"65",175565,4010,527,-0.33616038,-78.20067394,4013,523,-0.3361604,-78.20075472,4007,-0.33616035,-78.20059315,530,8.99223397065894,8.99334749028338,17.9855814609423,6,0.333600557370339
"66",175566,4009,528,-0.33616037,-78.20064701,4012,525,-0.33616039,-78.2007278,4005,-0.33616035,-78.20056623,531,8.9933471457919,8.99223396927036,17.9855811150623,7,0.3892006577501
"67",175567,4008,529,-0.33616036,-78.20062008,4011,526,-0.33616039,-78.20070087,4004,-0.33616034,-78.2005393,532,8.99334749169037,8.99223396927957,17.9855814609699,7,0.389200650264798
"68",175568,4007,530,-0.33616035,-78.20059315,4010,527,-0.33616038,-78.20067394,4003,-0.33616033,-78.20051237,533,8.99334749028338,8.99223397070498,17.9855814609884,7,0.3892006502644
"69",175569,4005,531,-0.33616035,-78.20056623,4009,528,-0.33616037,-78.20064701,4002,-0.33616032,-78.20048544,534,8.99223396927036,8.99334749172721,17.9855814609976,7,0.3892006502642
"70",175570,4004,532,-0.33616034,-78.2005393,4008,529,-0.33616036,-78.20062008,4000,-0.33618742,-78.20045851,682,8.99223396927957,9.48512992751873,18.4773638967983,8,0.43296219334546
"71",175571,4003,533,-0.33616033,-78.20051237,4007,530,-0.33616035,-78.20059315,3999,-0.33618742,-78.20043158,683,8.99223397070498,9.48548377807352,18.4777177487785,8,0.432953902033104
"72",175572,4002,534,-0.33616032,-78.20048544,4005,531,-0.33616035,-78.20056623,3997,-0.33621452,-78.20040464,690,8.99334749172721,10.8306800904076,19.8240275821348,8,0.403550689528373
"73",175573,3983,16862,-0.33615995,-78.19919288,3983,16855,-0.33607864,-78.19924676,3982,-0.33624125,-78.19911208,17051,10.8582280967157,12.7596152451277,23.6178433418434,1,0.0423408685342711
"74",175574,3982,10973,-0.33615984,-78.19881589,3982,6142,-0.33607854,-78.1988967,3982,-0.33624117,-78.19881586,11004,12.7604000186637,9.05361480212694,21.8140148207907,0,0
"75",175575,3982,321,-0.33615982,-78.19876203,NA,NA,NA,NA,3982,-0.33624115,-78.19876201,347,NA,9.05361445995382,NA,NA,NA
"76",175576,3983,49080,-0.33615961,-78.19800804,3984,47579,-0.33610537,-78.19792727,3982,-0.33624094,-78.19803494,49128,10.8303887506926,9.53596440932332,20.366353160016,2,0.0982011842908862
"77",175577,3983,47589,-0.3361596,-78.19798111,3984,47566,-0.33607826,-78.19792728,3982,-0.33624094,-78.19803494,49128,10.8579394608012,10.8579394332519,21.7158788940532,2,0.0920985058793865
"78",175578,3986,454,-0.33615948,-78.19757719,NA,NA,NA,NA,3985,-0.33624082,-78.19760409,470,NA,9.53702130278433,NA,NA,NA
"79",175579,3987,3830,-0.33615943,-78.19738869,3989,3590,-0.33607808,-78.19730793,3986,-0.33621367,-78.19746946,3896,12.7604263745507,10.8303887082027,23.5908150827534,3,0.127168136814112
"80",175580,4023,544,-0.33615905,-78.19606921,4026,539,-0.3360777,-78.19601537,4014,-0.3362404,-78.19614997,547,10.8594821229629,12.7604263210379,23.6199084440007,12,0.508045999773886
"81",175581,4035,410,-0.33615887,-78.19544986,NA,NA,NA,NA,4033,-0.336186,-78.19553064,500,NA,9.48584509988851,NA,NA,NA
"82",175638,4031,349,-0.33618766,-78.20126636,NA,NA,NA,NA,4030,-0.33618763,-78.20118557,354,NA,8.99334746515934,NA,NA,NA
"83",175639,4031,350,-0.33618765,-78.20123943,NA,NA,NA,NA,4029,-0.33618763,-78.20115864,357,NA,8.99334712068628,NA,NA,NA
"84",175640,4030,353,-0.33618764,-78.2012125,4032,314,-0.33616056,-78.20129329,4029,-0.33618762,-78.20113171,358,9.48512992732662,8.99334712069549,18.4784770480221,3,0.16235104182036
"85",175641,4030,354,-0.33618763,-78.20118557,4031,349,-0.33618766,-78.20126636,4028,-0.33618761,-78.20110479,359,8.99334746515934,8.99223394558405,17.9855814107434,3,0.16680027915072
"86",175642,4029,357,-0.33618763,-78.20115864,4031,350,-0.33618765,-78.20123943,4027,-0.33616049,-78.20107786,362,8.99334712068628,9.48619957550605,18.4795466961923,4,0.216455525980201
"87",175643,4029,358,-0.33618762,-78.20113171,4030,353,-0.33618764,-78.2012125,4026,-0.33616049,-78.20105094,390,8.99334712069549,9.4847898544831,18.4781369751786,4,0.216472039652761
"88",175644,4028,359,-0.33618761,-78.20110479,4030,354,-0.33618763,-78.20118557,4025,-0.33616048,-78.20102401,392,8.99223394558405,9.48584509848484,18.4780790440689,5,0.270590897899904
"89",175645,4000,682,-0.33618742,-78.20045851,4004,532,-0.33616034,-78.2005393,3996,-0.33621451,-78.20037771,691,9.48512992751873,9.48653918246654,18.9716691099853,8,0.421681400493613
"90",175646,3999,683,-0.33618742,-78.20043158,4003,533,-0.33616033,-78.20051237,3994,-0.33624161,-78.20035078,693,9.48548377807352,10.8300599756894,20.3155437537629,9,0.443010539569387
"91",175647,3982,16865,-0.33618705,-78.19916595,3983,16857,-0.33610574,-78.19921983,3982,-0.33626836,-78.19908514,17093,10.8582280883049,12.7611895024049,23.6194175907097,1,0.0423380464890604
"92",175648,3982,10974,-0.33618695,-78.19881588,3982,6158,-0.33610564,-78.19886976,3981,-0.33626827,-78.19878893,11490,10.8582280875565,9.53665695717758,20.3948850447341,1,0.0490319017639277
"93",175649,3982,323,-0.33618693,-78.19876202,3982,307,-0.33610561,-78.19876205,3982,-0.33610562,-78.1988159,4808,9.05250160729271,10.8582280875633,19.910729694856,0,0
"94",175650,3982,49126,-0.33618672,-78.19803496,3983,47588,-0.33613248,-78.19795419,3982,-0.33626805,-78.19803494,49129,10.8303887287995,9.05361445995382,19.8840031887533,1,0.0502916837473459
"95",175651,3985,468,-0.3361866,-78.19760411,NA,NA,NA,NA,3985,-0.33626793,-78.19760409,489,NA,9.05361445995382,NA,NA,NA
"96",175652,3987,3835,-0.33618655,-78.19744254,3988,3827,-0.33613231,-78.19736177,3986,-0.33624079,-78.19752331,3902,10.8303887289264,10.8303886874712,21.6607774163975,2,0.0923327894263836
"97",175653,3987,3833,-0.33618654,-78.19741561,3988,3592,-0.33610519,-78.19733485,3986,-0.33624079,-78.19749638,3900,12.7604263559754,10.8310093370609,23.5914356930363,2,0.0847765276358471
"98",175654,4020,545,-0.33618616,-78.19609613,4025,540,-0.33610482,-78.19604229,4011,-0.33624041,-78.1961769,552,10.8585538257835,10.8310093361726,21.6895631619561,14,0.645471736588786
"99",175655,4032,535,-0.33618602,-78.19558449,4034,469,-0.33618599,-78.19550371,4030,-0.33624026,-78.19566526,665,8.99223429159159,10.8303886878764,19.8226229794679,4,0.201789642276058
"100",175656,4033,501,-0.33618601,-78.19555756,4034,468,-0.33618598,-78.19547678,4031,-0.33621314,-78.19563834,625,8.99223428876839,9.48584507619791,18.4780793649663,3,0.162354535920431
"101",175657,4033,500,-0.336186,-78.19553064,4035,410,-0.33615887,-78.19544986,4031,-0.33621313,-78.19561141,624,9.48584509988851,9.48478983221666,18.9706349321052,4,0.210852194157748
"102",175658,4034,469,-0.33618599,-78.19550371,NA,NA,NA,NA,4032,-0.33618602,-78.19558449,535,NA,8.99223429159159,NA,NA,NA
"103",175659,4034,468,-0.33618598,-78.19547678,NA,NA,NA,NA,4033,-0.33618601,-78.19555756,501,NA,8.99223428876839,NA,NA,NA
"104",175715,3997,690,-0.33621452,-78.20040464,4002,534,-0.33616032,-78.20048544,3993,-0.3362416,-78.20032385,695,10.8306800904076,9.48512988020216,20.3158099706098,9,0.443004734392574
"105",175716,3996,691,-0.33621451,-78.20037771,4000,682,-0.33618742,-78.20045851,3992,-0.3362416,-78.20029692,697,9.48653918246654,9.48548373075872,18.9720229132253,8,0.421673536690874
"106",175717,3982,16868,-0.33621415,-78.19913901,3983,16859,-0.33613284,-78.19919289,3982,-0.33629546,-78.19908513,17094,10.858228079111,10.8582280507392,21.7164561298502,1,0.0460480289242708
"107",175718,3982,10983,-0.33621406,-78.19881587,3982,6162,-0.33613274,-78.19884282,3981,-0.33629538,-78.19878892,11491,9.53665696241704,9.53665695500781,19.0733139174248,1,0.0524292739232079
"108",175719,3982,324,-0.33621404,-78.19876202,3982,315,-0.33613272,-78.19876204,3982,-0.33613273,-78.1988159,4809,9.05250126507803,10.858228078366,19.910729343444,0,0
"109",175720,3982,49127,-0.33621383,-78.19803495,3983,47588,-0.33613248,-78.19795419,3981,-0.33629516,-78.19803493,49163,12.7604263382758,9.05361445995347,21.8140407982293,2,0.0916840680046013
"110",175721,3985,469,-0.33621371,-78.1976041,3986,333,-0.33613237,-78.1975772,3985,-0.33629504,-78.19760408,490,9.53702130583403,9.05361445995382,18.5906357657878,1,0.0537905218841568
"111",175722,3986,3896,-0.33621367,-78.19746946,3987,3830,-0.33615943,-78.19738869,3985,-0.33626791,-78.19755023,3905,10.8303887082027,10.8303886679075,21.6607773761102,2,0.0923327895981152
"112",175723,4017,546,-0.33621328,-78.19612305,4024,543,-0.33613193,-78.19604229,4008,-0.33626752,-78.19620382,560,12.7604263396263,10.8303886670331,23.5908150066594,16,0.67823006519628
"113",175724,4031,625,-0.33621314,-78.19563834,4033,501,-0.33618601,-78.19555756,4028,-0.33629449,-78.1957191,712,9.48584507619791,12.7604262879489,22.2462713641468,5,0.224756765668977
"114",175725,4031,624,-0.33621313,-78.19561141,4033,500,-0.336186,-78.19553064,4029,-0.33626737,-78.19569218,672,9.48478983221666,10.8303886671447,20.3151784993613,4,0.19689711316717
"115",175791,3994,693,-0.33624161,-78.20035078,3999,683,-0.33618742,-78.20043158,3991,-0.33624159,-78.20026999,700,10.8300599756894,8.99334707098477,19.8234070466742,8,0.403563321943802
"116",175792,3993,695,-0.3362416,-78.20032385,3997,690,-0.33621452,-78.20040464,3991,-0.33624158,-78.20024306,701,9.48512988020216,8.99334707099398,18.4784769511961,6,0.324702085342137
"117",175793,3992,697,-0.3362416,-78.20029692,3996,691,-0.33621451,-78.20037771,3990,-0.33624157,-78.20021614,702,9.48548373075872,8.9922342404044,18.4777179711631,6,0.324715422616785
"118",175794,3991,700,-0.33624159,-78.20026999,3994,693,-0.33624161,-78.20035078,3989,-0.33626867,-78.2001892,714,8.99334707098477,9.48512985656113,18.4784769275459,5,0.270585071464764
"119",175795,3991,701,-0.33624158,-78.20024306,3993,695,-0.3362416,-78.20032385,3989,-0.33626867,-78.20016227,715,8.99334707099398,9.48548370711857,18.4788307781125,4,0.21646391203159
"120",175796,3990,702,-0.33624157,-78.20021614,3992,697,-0.3362416,-78.20029692,3988,-0.33629577,-78.20013534,720,8.9922342404044,10.8306800282476,19.822914268652,4,0.20178667706421
"121",175797,3982,17051,-0.33624125,-78.19911208,3983,16862,-0.33615995,-78.19919288,3982,-0.33632257,-78.19908512,17120,12.7596152451277,9.53700718970294,22.2966224348306,1,0.0448498422988879
"122",175798,3982,11004,-0.33624117,-78.19881586,3982,10973,-0.33615984,-78.19881589,3981,-0.33632249,-78.19878891,11492,9.05361480212694,9.53665695193631,18.5902717540633,1,0.0537915751436733
"123",175799,3982,347,-0.33624115,-78.19876201,3982,321,-0.33615982,-78.19876203,3982,-0.33615984,-78.19881589,10973,9.05361445995382,10.8582280699503,19.9118425299041,0,0
"124",175800,3982,49128,-0.33624094,-78.19803494,3983,49080,-0.33615961,-78.19800804,3981,-0.33632227,-78.19803492,49164,9.53596440932332,9.05361445995935,18.5895788692827,2,0.107587160207528
"125",175801,3985,470,-0.33624082,-78.19760409,3986,454,-0.33615948,-78.19757719,3986,-0.33624079,-78.19749638,3900,9.53702130278433,11.9900163505085,21.5270376532928,0,0
"126",175802,3986,3902,-0.33624079,-78.19752331,3987,3835,-0.33618655,-78.19744254,3985,-0.33632215,-78.19760407,4399,10.8303886874712,12.7612163071228,23.591604994594,2,0.084775919250017
"127",175803,3986,3900,-0.33624079,-78.19749638,3987,3833,-0.33618654,-78.19741561,3985,-0.33629503,-78.19757715,3907,10.8310093370609,10.8303886460001,21.6613979830609,2,0.0923301442300255
"128",175804,4011,552,-0.33624041,-78.1961769,4020,545,-0.33618616,-78.19609613,4008,-0.33632174,-78.1962038,563,10.8310093361726,9.53596440198608,20.3669737381587,12,0.589189152707419
"129",175805,4014,547,-0.3362404,-78.19614997,4023,544,-0.33615905,-78.19606921,4008,-0.33632174,-78.1962038,563,12.7604263210379,10.8579394066697,23.6183657277075,15,0.635098980722573
"130",175806,4030,665,-0.33624026,-78.19566526,4032,535,-0.33618602,-78.19558449,4028,-0.3362945,-78.19574603,713,10.8303886878764,10.8303886464022,21.6607773342786,4,0.18466557955286
"131",175867,3989,714,-0.33626867,-78.2001892,3991,700,-0.33624159,-78.20026999,3988,-0.33632287,-78.2001084,822,9.48512985656113,10.8306800075114,20.3158098640726,3,0.147668245571905
"132",175868,3989,715,-0.33626867,-78.20016227,3991,701,-0.33624158,-78.20024306,3988,-0.33634997,-78.20008146,830,9.48548370711857,12.7603998951771,22.2458836022957,3,0.134856410005239
"133",175869,3982,17093,-0.33626836,-78.19908514,3982,16865,-0.33618705,-78.19916595,3982,-0.33634968,-78.19908512,17125,12.7611895024049,9.05250126507767,21.8136907674825,0,0
"134",175870,3981,11490,-0.33626827,-78.19878893,3982,10974,-0.33618695,-78.19881588,3981,-0.3363496,-78.19878891,11508,9.53665695717758,9.05361445995935,18.5902714171369,1,0.0537915761185809
"135",175871,3982,49129,-0.33626805,-78.19803494,3982,49126,-0.33618672,-78.19803496,3981,-0.33634938,-78.19803491,49165,9.05361445995382,9.05361480212641,18.1072292620802,1,0.0552265609236074
"136",175872,3985,489,-0.33626793,-78.19760409,3985,468,-0.3361866,-78.19760411,3986,-0.33624079,-78.19749638,3900,9.05361445995382,12.3647966550158,21.4184111149697,-1,-0.0466888040682478
"137",175873,3985,3905,-0.33626791,-78.19755023,3986,3896,-0.33621367,-78.19746946,3985,-0.33634925,-78.19760406,4403,10.8303886679075,10.8579393965684,21.688328064476,1,0.0461077496166213
"138",175874,4008,560,-0.33626752,-78.19620382,4017,546,-0.33621328,-78.19612305,4008,-0.33634885,-78.19620379,564,10.8303886670331,9.05361480212641,19.8840034691595,9,0.452625147343149
"139",175875,4029,672,-0.33626737,-78.19569218,4031,624,-0.33621313,-78.19561141,4027,-0.33629451,-78.19577296,761,10.8303886671447,9.48619948219516,20.3165881493398,4,0.196883451620787
"140",175948,3988,720,-0.33629577,-78.20013534,3990,702,-0.33624157,-78.20021614,3988,-0.33634996,-78.20005453,833,10.8306800282476,10.8309844122636,21.6616644405112,2,0.0923290084883616
"141",175949,3988,304,-0.33629574,-78.20002762,NA,NA,NA,NA,3987,-0.33634993,-78.19994682,311,NA,10.8300598928047,NA,NA,NA
"142",175950,3982,17094,-0.33629546,-78.19908513,3982,16868,-0.33621415,-78.19913901,3981,-0.33637678,-78.19905818,17145,10.8582280507392,9.53665694713293,20.3948849978722,1,0.0490319018765897
"143",175951,3981,11491,-0.33629538,-78.19878892,3982,10983,-0.33621406,-78.19881587,3981,-0.33637671,-78.1987889,11509,9.53665695500781,9.05361445995934,18.5902714149672,1,0.0537915761248592
