"~""Month""",Day,Year,Time,Flux,Temperature (C),CO2 Soil (ppm) ,CO2 Soil STD (ppm),CO2 ATM (ppm),CO2 ATM STD (ppm),Mode
7,9,21,14:10:00,0.02,21.2,104.53,8.673,103.47,4.551,0
7,9,21,14:15:00,-0.12,21.1,96.93,2.802,103.54,3.092,0
7,9,21,14:20:00,0.03,21,108.86,11.708,107.09,4.238,0
7,9,21,14:25:00,-0.13,20.5,96.59,4.912,104.17,2.309,0
7,9,21,14:30:00,0.14,20.1,97.61,4.838,89.46,3.247,0
7,9,21,14:35:00,1.8,19.7,219.74,69.457,118.16,6.786,0
7,9,21,14:40:00,-0.57,19.3,246.87,33.136,278.99,9.56,0
7,9,21,14:45:00,-0.87,19.7,120.89,6.68,170.26,14.423,0
7,9,21,14:50:00,0.22,20.1,129.53,5.666,117.09,1.478,0
7,9,21,14:55:00,0.65,20.4,151.9,3.681,114.92,2.475,0
7,9,21,15:00:00,1.08,20.7,169.95,4.962,108.73,2.727,0
7,9,21,15:09:21,0,0,0,0,0,0,2
7,9,21,15:12:05,0,0,0,0,0,0,2
7,9,21,15:15:47,0,0,0,0,0,0,2
7,9,21,15:17:29,0,0,0,0,0,0,2
7,9,21,15:21:57,0,0,0,0,0,0,1
7,9,21,15:23:42,0,0,0,0,0,0,1
7,9,21,15:24:45,0,0,0,0,0,0,2
7,9,21,15:30:11,0,0,0,0,0,0,2
7,9,21,15:32:13,0,0,0,0,0,0,1
7,9,21,15:43:00,-0.01,19.4,108.57,2.889,108.93,2.957,0
7,9,21,15:48:00,0,19.4,108.56,1.295,108.45,1.278,0
7,9,21,15:53:00,-0.01,19.4,107.36,1.49,107.73,3.757,0
7,9,21,15:58:00,-0.01,19.4,106.03,1.701,106.82,2.024,0
7,9,21,16:03:00,0,19.3,106.92,4.057,106.73,3.063,0
7,9,21,16:08:00,0.01,19.1,107.43,1.826,106.82,1.639,0
7,9,21,16:13:00,0.03,18.9,107.11,2.002,105.14,1.885,0
7,9,21,16:18:00,0.83,18.6,175.92,42.378,129.12,30.192,0
7,9,21,16:23:00,-0.51,18.3,312.47,6.802,341.11,16.49,0
7,9,21,16:29:09,0,0,0,0,0,0,2
7,11,21,21:53:47,0,0,0,0,0,0,1
7,11,21,21:55:37,0,0,0,0,0,0,2
7,11,21,21:55:48,0,0,0,0,0,0,2
7,11,21,22:06:29,0,0,0,0,0,0,2
7,11,21,22:06:38,0,0,0,0,0,0,2
7,11,21,22:08:24,0,0,0,0,0,0,2
7,11,21,22:16:56,0,0,0,0,0,0,1
7,11,21,22:17:24,0,0,0,0,0,0,2
7,11,21,22:30:00,-0.02,28.3,372.81,3.251,373.73,3.987,0
7,11,21,22:35:00,-0.03,28.8,371.99,4.878,373.97,3.07,0
7,11,21,22:40:00,-0.01,29.3,367.55,1.619,368.04,2.894,0
7,11,21,22:45:00,0.37,29.7,399.04,4.091,377.9,4.917,0
7,11,21,22:50:00,0.05,30,376.44,1.668,373.79,2.759,0
7,11,21,22:55:00,0.16,30.3,381.95,1.226,373.15,2.508,0
7,11,21,23:04:05,0,0,0,0,0,0,2
7,12,21,17:29:16,0,0,0,0,0,0,1
7,12,21,17:30:25,0,0,0,0,0,0,2
7,13,21,20:39:12,0,0,0,0,0,0,1
7,13,21,20:40:00,-0.78,23,494.69,24.897,538.96,39.805,0
7,13,21,20:44:50,0,0,0,0,0,0,2
7,15,21,7:15:45,0,0,0,0,0,0,1
7,15,21,7:15:49,-0.69,19.8,338.07,3.633,377.08,13.818,0
