"Plot Title: WL_02"
"#","Date Time, GMT-05:00","Abs Pres, psi (LGR S/N: 20968506, SEN S/N: 20968506)","Temp, °F (LGR S/N: 20968506, SEN S/N: 20968506)","Coupler Detached (LGR S/N: 20968506)","Coupler Attached (LGR S/N: 20968506)","Host Connected (LGR S/N: 20968506)","Stopped (LGR S/N: 20968506)","End Of File (LGR S/N: 20968506)"
48,07/28/21 12:45:00 AM,9.2840,45.286,,,,,
49,07/28/21 01:00:00 AM,9.2807,45.286,,,,,
50,07/28/21 01:15:00 AM,9.2769,45.104,,,,,
51,07/28/21 01:30:00 AM,9.2797,44.922,,,,,
52,07/28/21 01:45:00 AM,9.2743,44.742,,,,,
53,07/28/21 02:00:00 AM,9.2692,44.742,,,,,
54,07/28/21 02:15:00 AM,9.2670,44.560,,,,,
55,07/28/21 02:30:00 AM,9.2650,44.379,,,,,
56,07/28/21 02:45:00 AM,9.2683,44.379,,,,,
57,07/28/21 03:00:00 AM,9.2678,44.195,,,,,
58,07/28/21 03:15:00 AM,9.2628,44.195,,,,,
59,07/28/21 03:30:00 AM,9.2623,44.013,,,,,
60,07/28/21 03:45:00 AM,9.2573,44.013,,,,,
61,07/28/21 04:00:00 AM,9.2585,43.831,,,,,
62,07/28/21 04:15:00 AM,9.2547,43.648,,,,,
63,07/28/21 04:30:00 AM,9.2541,43.466,,,,,
64,07/28/21 04:45:00 AM,9.2508,43.466,,,,,
65,07/28/21 05:00:00 AM,9.2504,43.282,,,,,
66,07/28/21 05:15:00 AM,9.2531,43.099,,,,,
67,07/28/21 05:30:00 AM,9.2527,42.915,,,,,
68,07/28/21 05:45:00 AM,9.2509,42.915,,,,,
69,07/28/21 06:00:00 AM,9.2521,42.732,,,,,
70,07/28/21 06:15:00 AM,9.2554,42.732,,,,,
71,07/28/21 06:30:00 AM,9.2550,42.548,,,,,
72,07/28/21 06:45:00 AM,9.2566,42.548,,,,,
73,07/28/21 07:00:00 AM,9.2533,42.548,,,,,
74,07/28/21 07:15:00 AM,9.2566,42.548,,,,,
75,07/28/21 07:30:00 AM,9.2605,42.732,,,,,
76,07/28/21 07:45:00 AM,9.2643,42.915,,,,,
77,07/28/21 08:00:00 AM,9.2649,43.099,,,,,
78,07/28/21 08:15:00 AM,9.2670,43.282,,,,,
79,07/28/21 08:30:00 AM,9.2726,43.466,,,,,
80,07/28/21 08:45:00 AM,9.2712,43.648,,,,,
81,07/28/21 09:00:00 AM,9.2718,43.831,,,,,
82,07/28/21 09:15:00 AM,9.2733,44.379,,,,,
83,07/28/21 09:30:00 AM,9.2737,44.560,,,,,
84,07/28/21 09:45:00 AM,9.2731,44.922,,,,,
85,07/28/21 10:00:00 AM,9.2795,45.466,,,,,
86,07/28/21 10:15:00 AM,9.2804,45.828,,,,,
87,07/28/21 10:30:00 AM,9.2788,45.828,,,,,
88,07/28/21 10:45:00 AM,9.2759,46.008,,,,,
89,07/28/21 11:00:00 AM,9.2747,46.188,,,,,
90,07/28/21 11:15:00 AM,9.2781,46.188,,,,,
91,07/28/21 11:30:00 AM,9.2765,46.188,,,,,
92,07/28/21 11:45:00 AM,9.2752,46.369,,,,,
93,07/28/21 12:00:00 PM,9.2728,46.728,,,,,
94,07/28/21 12:15:00 PM,9.2721,47.088,,,,,
95,07/28/21 12:30:00 PM,9.2694,47.982,,,,,
96,07/28/21 12:45:00 PM,9.2682,48.871,,,,,
97,07/28/21 01:00:00 PM,9.2649,48.871,,,,,
98,07/28/21 01:15:00 PM,9.2662,49.404,,,,,
99,07/28/21 01:30:00 PM,9.2612,50.113,,,,,
100,07/28/21 01:45:00 PM,9.2647,50.819,,,,,
101,07/28/21 02:00:00 PM,9.2614,50.819,,,,,
102,07/28/21 02:15:00 PM,9.2592,50.643,,,,,
103,07/28/21 02:30:00 PM,9.2567,50.995,,,,,
104,07/28/21 02:45:00 PM,9.2563,50.819,,,,,
105,07/28/21 03:00:00 PM,9.2518,50.995,,,,,
106,07/28/21 03:15:00 PM,9.2493,51.346,,,,,
107,07/28/21 03:30:00 PM,9.2534,51.699,,,,,
108,07/28/21 03:45:00 PM,9.2451,51.699,,,,,
109,07/28/21 04:00:00 PM,9.2427,52.050,,,,,
110,07/28/21 04:15:00 PM,9.2409,52.050,,,,,
111,07/28/21 04:30:00 PM,9.2393,52.050,,,,,
112,07/28/21 04:45:00 PM,9.2456,51.874,,,,,
113,07/28/21 05:00:00 PM,9.2396,51.523,,,,,
114,07/28/21 05:15:00 PM,9.2405,51.172,,,,,
115,07/28/21 05:30:00 PM,9.2409,50.643,,,,,
116,07/28/21 05:45:00 PM,9.2367,50.290,,,,,
117,07/28/21 06:00:00 PM,9.2392,49.937,,,,,
118,07/28/21 06:15:00 PM,9.2421,49.759,,,,,
119,07/28/21 06:30:00 PM,9.2396,49.404,,,,,
120,07/28/21 06:45:00 PM,9.2408,49.228,,,,,
121,07/28/21 07:00:00 PM,9.2437,49.050,,,,,
122,07/28/21 07:15:00 PM,9.2395,48.695,,,,,
123,07/28/21 07:30:00 PM,9.2457,48.517,,,,,
124,07/28/21 07:45:00 PM,9.2469,48.339,,,,,
125,07/28/21 08:00:00 PM,9.2449,48.160,,,,,
126,07/28/21 08:15:00 PM,9.2460,47.982,,,,,
127,07/28/21 08:30:00 PM,9.2522,47.802,,,,,
128,07/28/21 08:45:00 PM,9.2556,47.802,,,,,
129,07/28/21 09:00:00 PM,9.2518,47.624,,,,,
130,07/28/21 09:15:00 PM,9.2496,47.446,,,,,
131,07/28/21 09:30:00 PM,9.2547,47.446,,,,,
132,07/28/21 09:45:00 PM,9.2559,47.266,,,,,
133,07/28/21 10:00:00 PM,9.2525,47.266,,,,,
134,07/28/21 10:15:00 PM,9.2621,47.088,,,,,
135,07/28/21 10:30:00 PM,9.2570,47.088,,,,,
136,07/28/21 10:45:00 PM,9.2550,46.908,,,,,
137,07/28/21 11:00:00 PM,9.2528,46.728,,,,,
138,07/28/21 11:15:00 PM,9.2511,46.728,,,,,
139,07/28/21 11:30:00 PM,9.2540,46.548,,,,,
140,07/28/21 11:45:00 PM,9.2507,46.548,,,,,
141,07/29/21 12:00:00 AM,9.2435,46.369,,,,,
142,07/29/21 12:15:00 AM,9.2502,46.369,,,,,
143,07/29/21 12:30:00 AM,9.2447,46.188,,,,,
144,07/29/21 12:45:00 AM,9.2431,46.188,,,,,
145,07/29/21 01:00:00 AM,9.2425,46.008,,,,,
146,07/29/21 01:15:00 AM,9.2393,46.008,,,,,
147,07/29/21 01:30:00 AM,9.2388,45.828,,,,,
148,07/29/21 01:45:00 AM,9.2354,45.828,,,,,
149,07/29/21 02:00:00 AM,9.2305,45.828,,,,,
150,07/29/21 02:15:00 AM,9.2317,45.648,,,,,
151,07/29/21 02:30:00 AM,9.2301,45.648,,,,,
152,07/29/21 02:45:00 AM,9.2279,45.466,,,,,
153,07/29/21 03:00:00 AM,9.2295,45.466,,,,,
154,07/29/21 03:15:00 AM,9.2224,45.286,,,,,
155,07/29/21 03:30:00 AM,9.2257,45.286,,,,,
156,07/29/21 03:45:00 AM,9.2257,45.286,,,,,
157,07/29/21 04:00:00 AM,9.2241,45.286,,,,,
158,07/29/21 04:15:00 AM,9.2253,45.104,,,,,
159,07/29/21 04:30:00 AM,9.2219,45.104,,,,,
160,07/29/21 04:45:00 AM,9.2235,45.104,,,,,
161,07/29/21 05:00:00 AM,9.2269,45.104,,,,,
162,07/29/21 05:15:00 AM,9.2231,44.922,,,,,
163,07/29/21 05:30:00 AM,9.2247,44.922,,,,,
164,07/29/21 05:45:00 AM,9.2193,44.742,,,,,
165,07/29/21 06:00:00 AM,9.2260,44.742,,,,,
166,07/29/21 06:15:00 AM,9.2238,44.560,,,,,
167,07/29/21 06:30:00 AM,9.2272,44.560,,,,,
168,07/29/21 06:45:00 AM,9.2288,44.560,,,,,
169,07/29/21 07:00:00 AM,9.2254,44.560,,,,,
170,07/29/21 07:15:00 AM,9.2288,44.560,,,,,
171,07/29/21 07:30:00 AM,9.2354,44.560,,,,,
172,07/29/21 07:45:00 AM,9.2321,44.560,,,,,
173,07/29/21 08:00:00 AM,9.2338,44.560,,,,,
174,07/29/21 08:15:00 AM,9.2392,44.742,,,,,
175,07/29/21 08:30:00 AM,9.2327,44.742,,,,,
176,07/29/21 08:45:00 AM,9.2380,44.922,,,,,
177,07/29/21 09:00:00 AM,9.2502,45.104,,,,,
178,07/29/21 09:15:00 AM,9.2419,45.104,,,,,
179,07/29/21 09:30:00 AM,9.2428,45.466,,,,,
180,07/29/21 09:45:00 AM,9.2450,45.648,,,,,
181,07/29/21 10:00:00 AM,9.2492,46.008,,,,,
182,07/29/21 10:15:00 AM,9.2447,46.188,,,,,
183,07/29/21 10:30:00 AM,9.2464,46.188,,,,,
184,07/29/21 10:45:00 AM,9.2507,46.548,,,,,
185,07/29/21 11:00:00 AM,9.2495,46.728,,,,,
186,07/29/21 11:15:00 AM,9.2488,47.088,,,,,
187,07/29/21 11:30:00 AM,9.2492,47.266,,,,,
188,07/29/21 11:45:00 AM,9.2467,47.624,,,,,
189,07/29/21 12:00:00 PM,9.2434,47.624,,,,,
190,07/29/21 12:15:00 PM,9.2501,47.624,,,,,
191,07/29/21 12:30:00 PM,9.2376,47.982,,,,,
192,07/29/21 12:45:00 PM,9.2415,48.160,,,,,
193,07/29/21 01:00:00 PM,9.2364,48.160,,,,,
194,07/29/21 01:15:00 PM,9.2328,48.695,,,,,
195,07/29/21 01:30:00 PM,9.2346,49.404,,,,,
196,07/29/21 01:45:00 PM,9.2325,50.643,,,,,
197,07/29/21 02:00:00 PM,9.2296,51.523,,,,,
198,07/29/21 02:15:00 PM,9.2285,51.699,,,,,
199,07/29/21 02:30:00 PM,9.2301,52.401,,,,,
200,07/29/21 02:45:00 PM,9.2218,53.100,,,,,
201,07/29/21 03:00:00 PM,9.2209,53.449,,,,,
202,07/29/21 03:15:00 PM,9.2254,53.274,,,,,
203,07/29/21 03:30:00 PM,9.2196,52.925,,,,,
204,07/29/21 03:45:00 PM,9.2205,52.576,,,,,
205,07/29/21 04:00:00 PM,9.2218,52.401,,,,,
206,07/29/21 04:15:00 PM,9.2229,52.225,,,,,
207,07/29/21 04:30:00 PM,9.2200,51.699,,,,,
208,07/29/21 04:45:00 PM,9.2205,51.172,,,,,
209,07/29/21 05:00:00 PM,9.2218,50.995,,,,,
210,07/29/21 05:15:00 PM,9.2163,50.819,,,,,
211,07/29/21 05:30:00 PM,9.2196,50.819,,,,,
212,07/29/21 05:45:00 PM,9.2187,50.466,,,,,
213,07/29/21 06:00:00 PM,9.2251,50.290,,,,,
214,07/29/21 06:15:00 PM,9.2229,50.113,,,,,
215,07/29/21 06:30:00 PM,9.2221,49.759,,,,,
216,07/29/21 06:45:00 PM,9.2250,49.582,,,,,
217,07/29/21 07:00:00 PM,9.2245,49.404,,,,,
218,07/29/21 07:15:00 PM,9.2259,49.228,,,,,
219,07/29/21 07:30:00 PM,9.2254,49.050,,,,,
220,07/29/21 07:45:00 PM,9.2266,48.871,,,,,
221,07/29/21 08:00:00 PM,9.2295,48.695,,,,,
222,07/29/21 08:15:00 PM,9.2306,48.517,,,,,
223,07/29/21 08:30:00 PM,9.2357,48.517,,,,,
224,07/29/21 08:45:00 PM,9.2286,48.339,,,,,
225,07/29/21 09:00:00 PM,9.2282,48.160,,,,,
226,07/29/21 09:15:00 PM,9.2298,48.160,,,,,
227,07/29/21 09:30:00 PM,9.2327,47.982,,,,,
228,07/29/21 09:45:00 PM,9.2344,47.982,,,,,
229,07/29/21 10:00:00 PM,9.2305,47.802,,,,,
230,07/29/21 10:15:00 PM,9.2322,47.802,,,,,
231,07/29/21 10:30:00 PM,9.2338,47.802,,,,,
232,07/29/21 10:45:00 PM,9.2334,47.624,,,,,
233,07/29/21 11:00:00 PM,9.2367,47.624,,,,,
234,07/29/21 11:15:00 PM,9.2318,47.624,,,,,
235,07/29/21 11:30:00 PM,9.2363,47.446,,,,,
236,07/29/21 11:45:00 PM,9.2314,47.446,,,,,
237,07/30/21 12:00:00 AM,9.2280,47.446,,,,,
238,07/30/21 12:15:00 AM,9.2280,47.446,,,,,
239,07/30/21 12:30:00 AM,9.2259,47.266,,,,,
240,07/30/21 12:45:00 AM,9.2276,47.266,,,,,
241,07/30/21 01:00:00 AM,9.2221,47.088,,,,,
242,07/30/21 01:15:00 AM,9.2221,47.088,,,,,
243,07/30/21 01:30:00 AM,9.2203,47.088,,,,,
244,07/30/21 01:45:00 AM,9.2199,46.908,,,,,
245,07/30/21 02:00:00 AM,9.2232,46.908,,,,,
246,07/30/21 02:15:00 AM,9.2183,46.908,,,,,
247,07/30/21 02:30:00 AM,9.2179,46.728,,,,,
248,07/30/21 02:45:00 AM,9.2179,46.728,,,,,
249,07/30/21 03:00:00 AM,9.2179,46.728,,,,,
250,07/30/21 03:15:00 AM,9.2140,46.548,,,,,
251,07/30/21 03:30:00 AM,9.2190,46.548,,,,,
252,07/30/21 03:45:00 AM,9.2190,46.548,,,,,
253,07/30/21 04:00:00 AM,9.2186,46.369,,,,,
254,07/30/21 04:15:00 AM,9.2219,46.369,,,,,
255,07/30/21 04:30:00 AM,9.2186,46.369,,,,,
256,07/30/21 04:45:00 AM,9.2219,46.369,,,,,
257,07/30/21 05:00:00 AM,9.2202,46.369,,,,,
258,07/30/21 05:15:00 AM,9.2219,46.369,,,,,
259,07/30/21 05:30:00 AM,9.2180,46.188,,,,,
260,07/30/21 05:45:00 AM,9.2180,46.188,,,,,
261,07/30/21 06:00:00 AM,9.2214,46.188,,,,,
262,07/30/21 06:15:00 AM,9.2209,46.008,,,,,
263,07/30/21 06:30:00 AM,9.2160,46.008,,,,,
264,07/30/21 06:45:00 AM,9.2193,46.008,,,,,
265,07/30/21 07:00:00 AM,9.2254,45.828,,,,,
266,07/30/21 07:15:00 AM,9.2238,45.828,,,,,
267,07/30/21 07:30:00 AM,9.2288,45.828,,,,,
268,07/30/21 07:45:00 AM,9.2309,46.008,,,,,
269,07/30/21 08:00:00 AM,9.2327,46.008,,,,,
270,07/30/21 08:15:00 AM,9.2360,46.008,,,,,
271,07/30/21 08:30:00 AM,9.2347,46.188,,,,,
272,07/30/21 08:45:00 AM,9.2398,46.188,,,,,
273,07/30/21 09:00:00 AM,9.2406,46.548,,,,,
274,07/30/21 09:15:00 AM,9.2390,46.548,,,,,
275,07/30/21 09:30:00 AM,9.2411,46.728,,,,,
276,07/30/21 09:45:00 AM,9.2395,46.728,,,,,
277,07/30/21 10:00:00 AM,9.2383,46.908,,,,,
278,07/30/21 10:15:00 AM,9.2399,46.908,,,,,
279,07/30/21 10:30:00 AM,9.2404,47.088,,,,,
280,07/30/21 10:45:00 AM,9.2425,47.266,,,,,
281,07/30/21 11:00:00 AM,9.2396,47.446,,,,,
282,07/30/21 11:15:00 AM,9.2363,47.446,,,,,
283,07/30/21 11:30:00 AM,9.2418,47.624,,,,,
284,07/30/21 11:45:00 AM,9.2356,47.802,,,,,
285,07/30/21 12:00:00 PM,9.2348,48.160,,,,,
286,07/30/21 12:15:00 PM,9.2353,48.339,,,,,
287,07/30/21 12:30:00 PM,9.2357,48.517,,,,,
288,07/30/21 12:45:00 PM,9.2340,48.517,,,,,
289,07/30/21 01:00:00 PM,9.2295,48.695,,,,,
290,07/30/21 01:15:00 PM,9.2295,48.695,,,,,
291,07/30/21 01:30:00 PM,9.2295,48.695,,,,,
292,07/30/21 01:45:00 PM,9.2295,48.695,,,,,
293,07/30/21 02:00:00 PM,9.2290,48.517,,,,,
294,07/30/21 02:15:00 PM,9.2240,48.517,,,,,
295,07/30/21 02:30:00 PM,9.2211,48.695,,,,,
296,07/30/21 02:45:00 PM,9.2237,49.050,,,,,
297,07/30/21 03:00:00 PM,9.2216,49.582,,,,,
298,07/30/21 03:15:00 PM,9.2212,49.404,,,,,
299,07/30/21 03:30:00 PM,9.2196,49.404,,,,,
300,07/30/21 03:45:00 PM,9.2174,49.228,,,,,
301,07/30/21 04:00:00 PM,9.2200,49.582,,,,,
302,07/30/21 04:15:00 PM,9.2183,49.582,,,,,
303,07/30/21 04:30:00 PM,9.2163,49.404,,,,,
304,07/30/21 04:45:00 PM,9.2196,49.404,,,,,
305,07/30/21 05:00:00 PM,9.2208,49.228,,,,,
306,07/30/21 05:15:00 PM,9.2241,49.228,,,,,
307,07/30/21 05:30:00 PM,9.2203,49.050,,,,,
308,07/30/21 05:45:00 PM,9.2215,48.871,,,,,
309,07/30/21 06:00:00 PM,9.2177,48.695,,,,,
310,07/30/21 06:15:00 PM,9.2224,48.517,,,,,
311,07/30/21 06:30:00 PM,9.2235,48.339,,,,,
312,07/30/21 06:45:00 PM,9.2282,48.160,,,,,
313,07/30/21 07:00:00 PM,9.2244,47.982,,,,,
314,07/30/21 07:15:00 PM,9.2293,47.982,,,,,
315,07/30/21 07:30:00 PM,9.2272,47.802,,,,,
316,07/30/21 07:45:00 PM,9.2251,47.624,,,,,
317,07/30/21 08:00:00 PM,9.2301,47.624,,,,,
318,07/30/21 08:15:00 PM,9.2330,47.446,,,,,
319,07/30/21 08:30:00 PM,9.2347,47.446,,,,,
320,07/30/21 08:45:00 PM,9.2314,47.446,,,,,
321,07/30/21 09:00:00 PM,9.2392,47.266,,,,,
322,07/30/21 09:15:00 PM,9.2341,47.266,,,,,
323,07/30/21 09:30:00 PM,9.2354,47.088,,,,,
324,07/30/21 09:45:00 PM,9.2337,47.088,,,,,
325,07/30/21 10:00:00 PM,9.2350,46.908,,,,,
326,07/30/21 10:15:00 PM,9.2350,46.908,,,,,
327,07/30/21 10:30:00 PM,9.2350,46.908,,,,,
328,07/30/21 10:45:00 PM,9.2377,46.728,,,,,
329,07/30/21 11:00:00 PM,9.2344,46.728,,,,,
330,07/30/21 11:15:00 PM,9.2357,46.548,,,,,
331,07/30/21 11:30:00 PM,9.2324,46.548,,,,,
332,07/30/21 11:45:00 PM,9.2340,46.548,,,,,
333,07/31/21 12:00:00 AM,9.2324,46.548,,,,,
334,07/31/21 12:15:00 AM,9.2319,46.369,,,,,
335,07/31/21 12:30:00 AM,9.2302,46.369,,,,,
336,07/31/21 12:45:00 AM,9.2319,46.369,,,,,
337,07/31/21 01:00:00 AM,9.2298,46.188,,,,,
338,07/31/21 01:15:00 AM,9.2280,46.188,,,,,
339,07/31/21 01:30:00 AM,9.2227,46.008,,,,,
340,07/31/21 01:45:00 AM,9.2227,46.008,,,,,
341,07/31/21 02:00:00 AM,9.2227,46.008,,,,,
342,07/31/21 02:15:00 AM,9.2193,46.008,,,,,
343,07/31/21 02:30:00 AM,9.2205,45.828,,,,,
344,07/31/21 02:45:00 AM,9.2187,45.828,,,,,
345,07/31/21 03:00:00 AM,9.2171,45.828,,,,,
346,07/31/21 03:15:00 AM,9.2154,45.828,,,,,
347,07/31/21 03:30:00 AM,9.2150,45.648,,,,,
348,07/31/21 03:45:00 AM,9.2128,45.466,,,,,
349,07/31/21 04:00:00 AM,9.2124,45.286,,,,,
350,07/31/21 04:15:00 AM,9.2119,45.104,,,,,
351,07/31/21 04:30:00 AM,9.2135,45.104,,,,,
352,07/31/21 04:45:00 AM,9.2131,44.922,,,,,
353,07/31/21 05:00:00 AM,9.2131,44.922,,,,,
354,07/31/21 05:15:00 AM,9.2142,44.742,,,,,
355,07/31/21 05:30:00 AM,9.2142,44.742,,,,,
356,07/31/21 05:45:00 AM,9.2138,44.560,,,,,
357,07/31/21 06:00:00 AM,9.2171,44.560,,,,,
358,07/31/21 06:15:00 AM,9.2183,44.379,,,,,
359,07/31/21 06:30:00 AM,9.2216,44.379,,,,,
360,07/31/21 06:45:00 AM,9.2199,44.379,,,,,
361,07/31/21 07:00:00 AM,9.2195,44.195,,,,,
362,07/31/21 07:15:00 AM,9.2261,44.195,,,,,
363,07/31/21 07:30:00 AM,9.2261,44.195,,,,,
364,07/31/21 07:45:00 AM,9.2245,44.195,,,,,
365,07/31/21 08:00:00 AM,9.2232,44.379,,,,,
366,07/31/21 08:15:00 AM,9.2309,44.742,,,,,
367,07/31/21 08:30:00 AM,9.2286,45.104,,,,,
368,07/31/21 08:45:00 AM,9.2312,45.466,,,,,
369,07/31/21 09:00:00 AM,9.2354,45.828,,,,,
370,07/31/21 09:15:00 AM,9.2331,46.188,,,,,
371,07/31/21 09:30:00 AM,9.2357,46.548,,,,,
372,07/31/21 09:45:00 AM,9.2383,46.908,,,,,
373,07/31/21 10:00:00 AM,9.2354,47.088,,,,,
374,07/31/21 10:15:00 AM,9.2351,47.624,,,,,
375,07/31/21 10:30:00 AM,9.2376,47.982,,,,,
376,07/31/21 10:45:00 AM,9.2369,48.339,,,,,
377,07/31/21 11:00:00 AM,9.2377,48.695,,,,,
378,07/31/21 11:15:00 AM,9.2370,49.050,,,,,
379,07/31/21 11:30:00 AM,9.2359,49.228,,,,,
380,07/31/21 11:45:00 AM,9.2350,49.582,,,,,
381,07/31/21 12:00:00 PM,9.2359,49.937,,,,,
382,07/31/21 12:15:00 PM,9.2338,50.466,,,,,
383,07/31/21 12:30:00 PM,9.2330,50.819,,,,,
384,07/31/21 12:45:00 PM,9.2305,51.172,,,,,
385,07/31/21 01:00:00 PM,9.2293,51.346,,,,,
386,07/31/21 01:15:00 PM,9.2280,51.523,,,,,
387,07/31/21 01:30:00 PM,9.2267,51.699,,,,,
388,07/31/21 01:45:00 PM,9.2256,51.874,,,,,
389,07/31/21 02:00:00 PM,9.2227,52.050,,,,,
390,07/31/21 02:15:00 PM,9.2218,52.401,,,,,
391,07/31/21 02:30:00 PM,9.2225,52.750,,,,,
392,07/31/21 02:45:00 PM,9.2225,52.750,,,,,
393,07/31/21 03:00:00 PM,9.2229,52.225,,,,,
394,07/31/21 03:15:00 PM,9.2185,51.699,,,,,
395,07/31/21 03:30:00 PM,9.2193,51.346,,,,,
396,07/31/21 03:45:00 PM,9.2160,51.346,,,,,
397,07/31/21 04:00:00 PM,9.2163,51.523,,,,,
398,07/31/21 04:15:00 PM,9.2218,51.699,,,,,
399,07/31/21 04:30:00 PM,9.2200,51.699,,,,,
400,07/31/21 04:45:00 PM,9.2163,51.523,,,,,
401,07/31/21 05:00:00 PM,9.2160,51.346,,,,,
402,07/31/21 05:15:00 PM,9.2189,51.172,,,,,
403,07/31/21 05:30:00 PM,9.2180,50.819,,,,,
404,07/31/21 05:45:00 PM,9.2187,50.466,,,,,
405,07/31/21 06:00:00 PM,9.2229,50.113,,,,,
406,07/31/21 06:15:00 PM,9.2234,49.582,,,,,
407,07/31/21 06:30:00 PM,9.2229,49.404,,,,,
408,07/31/21 06:45:00 PM,9.2221,49.050,,,,,
409,07/31/21 07:00:00 PM,9.2237,49.050,,,,,
410,07/31/21 07:15:00 PM,9.2232,48.871,,,,,
411,07/31/21 07:30:00 PM,9.2240,48.517,,,,,
412,07/31/21 07:45:00 PM,9.2235,48.339,,,,,
413,07/31/21 08:00:00 PM,9.2264,48.160,,,,,
414,07/31/21 08:15:00 PM,9.2282,48.160,,,,,
415,07/31/21 08:30:00 PM,9.2298,48.160,,,,,
416,07/31/21 08:45:00 PM,9.2315,48.160,,,,,
417,07/31/21 09:00:00 PM,9.2293,47.982,,,,,
418,07/31/21 09:15:00 PM,9.2277,47.982,,,,,
419,07/31/21 09:30:00 PM,9.2289,47.802,,,,,
420,07/31/21 09:45:00 PM,9.2256,47.802,,,,,
421,07/31/21 10:00:00 PM,9.2238,47.802,,,,,
422,07/31/21 10:15:00 PM,9.2267,47.624,,,,,
423,07/31/21 10:30:00 PM,9.2251,47.624,,,,,
424,07/31/21 10:45:00 PM,9.2251,47.624,,,,,
425,07/31/21 11:00:00 PM,9.2251,47.624,,,,,
426,07/31/21 11:15:00 PM,9.2251,47.624,,,,,
427,07/31/21 11:30:00 PM,9.2247,47.446,,,,,
428,07/31/21 11:45:00 PM,9.2214,47.446,,,,,
429,08/01/21 12:00:00 AM,9.2225,47.266,,,,,
430,08/01/21 12:15:00 AM,9.2192,47.266,,,,,
431,08/01/21 12:30:00 AM,9.2187,47.088,,,,,
432,08/01/21 12:45:00 AM,9.2154,47.088,,,,,
433,08/01/21 01:00:00 AM,9.2154,47.088,,,,,
434,08/01/21 01:15:00 AM,9.2137,47.088,,,,,
435,08/01/21 01:30:00 AM,9.2150,46.908,,,,,
436,08/01/21 01:45:00 AM,9.2099,46.908,,,,,
437,08/01/21 02:00:00 AM,9.2116,46.908,,,,,
438,08/01/21 02:15:00 AM,9.2061,46.728,,,,,
439,08/01/21 02:30:00 AM,9.2079,46.728,,,,,
