"","name","notes","catchment_ha","lat_fit","lon_fit","x_pred","ele_fit","ele_arcpro","dist_diff","slope_mid","slope_up","x","d","w","date","VaisalaType","EOS_no","DOC","TDN","Flux_ave","adjusted_ppm","Q_m3s","WaterTemp_c","AirTemp_c","Total_hPa","v_ms","pCO2_air_ppm","air_pressure_atm","water_pressure_atm","pCO2_air_atm","pCO2_w_atm","KH_mol.l.atm","KH_mol.m3.atm","CO2_sat_mol.L","CO2_mol.L","CO2_umol.L","CO2_sat_percent","Flux_mol_m2_d_chamber","k_m.d_chamber","Sc_co2","k600_chamber","k600_eq1","k600_eq1_dummySlope","eD","k600_eq1_ulsethcorrection","k600_eq1_final","k.m.d_eq1","F_mol_m2_d_eq1","F_CO2_molpers_eq1","flux_sum"
"109512","Colm","",76.3774736842105,-0.340886411,-78.19923157,111.9,3943.600605,3942.849854,10,0.001,0.001,110,31,30,NA,"","",NA,NA,0.485087719298246,864.974630905471,0.08249643,7.17124924012158,6.92668996960486,626.285950151976,0.887058387096774,418.53,0.6171763918,0.6181442328,0.000258306835260054,0.000534679079612526,0.0591737218713864,59.1737218713864,1.52849768271565e-05,3.16389511474405e-05,31.6389511474405,206.993778958358,0.0419115789473684,2.56277637022978,1222.13430074494,3.84434442415697,5.14262349091253,39.9194665672783,0.00870204277741935,22.4839059754433,5.14262349091253,4.96290937841531,0.0811632925285006,0.243489877585502,50.0092963427008
"118412","Colm","",76.8082649122807,-0.340941411,-78.19917358,120.8,3942.994006,3942.849854,10,0.001,0.001,120,26,60,NA,"","",NA,NA,0.674191033138402,853.966698367477,0.08249643,7.16674062816616,6.92650962512665,626.286851874367,0.528823269230769,418.53,0.6171772818,0.6181451228,0.000258307207751754,0.000527875349629475,0.059181870937364,59.181870937364,1.52871038313552e-05,3.12406508127875e-05,31.2406508127875,204.359512157628,0.0582501052631579,3.65123225142051,1222.47007093712,5.4779623157468,2.95123609726211,22.9088851099023,0.00518775627115385,16.7805122181385,2.95123609726211,2.84806308635154,0.0454367082541923,0.272620249525154,50.281916592226
"12547","Colm","",77.2390561403509,-0.341005411,-78.19912655,129.7,3942.362397,3942.849854,10,0.001,0.001,130,18,75,NA,"","",NA,NA,0.863294346978558,842.958765829483,0.08249643,7.16223201621074,6.92632928064843,626.287753596758,0.611084666666667,418.53,0.6171781718,0.6181460128,0.000258307580243454,0.000521071600052304,0.0591900213877817,59.1900213877817,1.52892311992362e-05,3.08422391516615e-05,30.8422391516615,201.725245368795,0.0745886315789474,4.79576888323497,1222.80595300156,7.1962432160515,2.75200575419915,21.3623653164266,0.00599474058,16.4150562772682,2.75200575419915,2.65576120768719,0.0413050751829015,0.309788063871762,50.5917046560977
"12548","Colm","",77.6795280701754,-0.341080411,-78.19909647,138.7,3941.693507,3942.849854,10,0.001,0.001,140,47,58,NA,"","",NA,NA,1.05664717348928,831.703464020973,0.08249643,7.15762208713272,6.92614488348531,626.288675582573,0.302628136463683,418.53,0.6171790818,0.6181469228,0.000258307961105754,0.000514114936966665,0.0591983564261317,59.1983564261317,1.52914067492458e-05,3.04347592825509e-05,30.4347592825509,199.031781585772,0.0912943157894737,6.02867268583283,1223.1494986866,9.04771332121132,2.47237346760021,19.1917277545394,0.00296878201870873,14.8536311514173,2.47237346760021,2.38587485285491,0.0361301439971293,0.20955483518335,50.8012594912811
"12551","Colm","",78.1228613924051,-0.341158411,-78.19907957,147.6,3941.012121,3942.849854,10,0.001,0.001,150,22,80,NA,"","",NA,NA,1.24752109704641,820.324477577204,0.08249643,7.15296149949341,6.92595845997974,626.289607700101,0.468729715909091,418.53,0.6171800018,0.6181478428,0.000258308346153354,0.000507081806210385,0.0592067845302093,59.2067845302093,1.52936065930564e-05,3.00226832394876e-05,30.0226832394876,196.308719312282,0.10778582278481,7.31789407932272,1223.49693856822,10.9843294980627,2.42215098886611,18.8018772114665,0.00459823851306818,15.1812058129694,2.42215098886611,2.33737626842724,0.0344273942092144,0.275419153673715,51.0766786449548
"12552","Colm","",78.3946936708861,-0.341237411,-78.19905013,157,3940.219686,3942.849854,10,0.027687849,0.001,160,31,96,NA,"","",NA,NA,1.0120253164557,808.57443722766,0.08249643,7.14814893617021,6.92576595744681,626.290570212766,0.277205745967742,418.53,0.6171809518,0.6181487928,0.000258308743756854,0.000499819312261217,0.0592154890172076,59.2154890172076,1.52958785789827e-05,2.95970449957924e-05,29.5970449957924,193.496861543215,0.0874389873417722,6.11411578561842,1223.8558335872,9.17896461540652,35.0944671227111,14.1775519915079,0.0752940145039774,62.6662707427944,62.6662707427944,60.4720790564739,0.864821266157105,8.30228415510821,59.378962800063
"16393","Colm","",78.663664556962,-0.341301411,-78.19899758,166.3,3939.345254,3942.331299,10,0.15980468,0.027687849,170,25,100,NA,"","",NA,NA,0.779008438818565,796.948081513374,0.08249643,7.14338703140831,6.92557548125633,626.291522593718,0.32998572,418.53,0.6171818918,0.6181497328,0.000258309137175054,0.000492633243642965,0.0592241034318799,59.2241034318799,1.52981270574551e-05,2.91757621754935e-05,29.1757621754935,190.714602290321,0.067306329113924,4.84998550123559,1224.21107638952,7.28236296676735,173.666033538558,14.7407722350538,0.517313304037754,147.324845620919,147.324845620919,142.164362523035,1.97290514988321,19.7290514988321,79.1080142988951
"12553","Colm","",78.932635443038,-0.341354411,-78.19893067,175.7,3938.413039,3939.856934,10,0.295284762,0.15980468,180,24,65,NA,"","",NA,NA,0.545991561181435,785.321725799088,0.08249643,7.1386251266464,6.92538500506586,626.292474974671,0.528823269230769,418.53,0.6171828318,0.6181506728,0.000258309530593254,0.000485447153167163,0.0592327193925095,59.2327193925095,1.53003759420411e-05,2.87543550034432e-05,28.7543550034432,187.932343050699,0.0471736708860759,3.50629881842255,1224.56644419544,5.26565807456601,446.423387791879,21.9397874986139,1.53186537584167,242.804259889885,242.804259889885,234.295931244409,3.15221255313398,20.4893815953709,99.597395894266
"12555","Colm","",79.207329113924,-0.341400411,-78.19886054,185.1,3937.530868,3936.801025,10,0.293172966,0.295284762,190,30,60,NA,"","",NA,NA,0.308016877637131,773.448000814286,0.08249643,7.1337619047619,6.92519047619048,626.293447619048,0.4583135,418.53,0.6171837918,0.6181516328,0.000258309932382054,0.000478108144589246,0.0592415202674347,59.2415202674347,1.53026730944911e-05,2.83238533377095e-05,28.3238533377095,185.090886819675,0.0266126582278481,2.04379769965234,1224.92950208406,3.06983488645598,440.547231432494,21.7897469573375,1.31812190717937,238.862840629501,238.862840629501,230.489210625632,3.00124155567346,18.0074493340408,117.604845228307
"12557","Colm","",79.4809185628743,-0.341445411,-78.19879016,194.4,3936.748874,3934.366211,10,0.128317651,0.293172966,200,35,44,NA,"","",NA,NA,0.0893413173652695,762.295442008383,0.08249643,7.13320958083832,6.92468263473054,626.292998802395,0.535691103896104,418.53,0.617183348817964,0.618151189817964,0.000258309746980782,0.000471213834470293,0.0592425198989409,59.2425198989409,1.53029203255994e-05,2.79158949652626e-05,27.9158949652626,182.422010775052,0.00771908982035928,0.611995983571201,1224.97074340121,0.919250802234308,263.680150514249,27.2083710284086,0.674325902553876,181.054335752473,181.054335752473,174.706959728222,2.20357445242473,9.69572759066879,127.300572818976
"12558","Colm","",79.9289191616766,-0.341497411,-78.19872047,204,3935.96753,3934.366211,10,0.001,0.128317651,210,42,32,NA,"","",NA,NA,1.48044910179641,808.253742121557,0.08249643,7.54153892215569,6.89389820359281,626.157082634731,0.613812723214286,418.53,0.617049199560479,0.618017040560479,0.000258253601492047,0.000499514585727897,0.0585091436070694,58.5091436070694,1.51101970567411e-05,2.92261706301793e-05,29.2261706301793,193.420181884,0.12791080239521,9.06142263087661,1194.93615067908,13.419509837238,4.36594747417753,33.8905413818263,0.00602150281473214,20.317149955038,4.36594747417753,4.2181190609787,0.0595428571943915,0.190537143022053,127.491109961998
"12559","Colm","",80.25012,-0.341565411,-78.19867031,213.6,3935.179784,3934.366211,10,0.003848619,0.001,220,27,48,NA,"","",NA,NA,2.2980625,834.763219899611,0.08249643,7.832,6.872,626.0604,0.636546527777778,418.53,0.6169537738,0.6179216148,0.000258213662948514,0.000515818236816015,0.0579942740569908,57.9942740569908,1.49749139342956e-05,2.99145041895017e-05,29.9145041895017,199.764114309809,0.1985526,13.2903645018516,1174.11658687172,19.4861515874368,11.7879585083267,27.5751078766682,0.0240327838502698,35.2806189331149,35.2806189331149,34.1160071507859,0.509679167976425,2.44646000628684,129.937569968284
"12560","Colm","",80.25885,-0.341647411,-78.19868567,223.2,3934.398063,3934.292236,10,0.020970411,0.003848619,230,27,30,NA,"","",NA,NA,1.702421875,813.345242637549,0.08249643,7.832,6.872,626.0604,1.01847444444444,418.53,0.6169537738,0.6179216148,0.000258213662948514,0.000502583605720492,0.0579942740569908,57.9942740569908,1.49749139342956e-05,2.91469713667048e-05,29.1469713667048,194.638656987219,0.14708925,10.3788211910312,1174.11658687172,15.2172864031802,80.9867895833116,41.8971039867958,0.209520289668297,98.1448724523206,98.1448724523206,94.9051142425837,1.34500072967526,4.03500218902577,133.97257215731
"12561","Colm","",80.26767,-0.341714411,-78.19874079,232.9,3933.658085,3933.963135,10,0.037482563,0.020970411,240,20,77,NA,"","",NA,NA,1.100640625,791.706461486187,0.08249643,7.832,6.872,626.0604,0.535691103896104,418.53,0.6169537738,0.6179216148,0.000258213662948514,0.000489212535129138,0.0579942740569908,57.9942740569908,1.49749139342956e-05,2.83715258343945e-05,28.3715258343945,189.460359898416,0.09509535,7.09846270901509,1174.11658687172,10.407669433473,65.1883597839326,20.1123118795723,0.196975731148691,88.6181723903414,88.6181723903414,85.6928901584758,1.14799439205091,8.83955681879197,142.812128976102
"12563","Colm","",80.2764556701031,-0.341779411,-78.19879692,242.5,3933.005891,3933.571777,10,0.032895729,0.037482563,250,38,60,NA,"","",NA,NA,0.511314432989691,770.067680334825,0.08249643,7.832,6.872,626.0604,0.361826447368421,418.53,0.6169537738,0.6179216148,0.000258213662948514,0.000475841464537785,0.0579942740569908,57.9942740569908,1.49749139342956e-05,2.75960803020842e-05,27.5960803020842,184.282062809614,0.0441775670103093,3.5002761015066,1174.11658687172,5.13205719093238,57.8861326805731,20.059512171692,0.116763964072687,80.9932789216673,80.9932789216673,78.3196941101178,0.988485889238111,5.93091533542866,148.743044311531
"12564","Colm","",80.2820783505155,-0.341862411,-78.19882813,252.5,3932.419078,3933.318359,10,0.039455915,0.032895729,260,53,44,NA,"","",NA,NA,1.14907216494845,747.766487515564,0.08249643,7.832,6.872,626.0604,0.353758276157804,418.53,0.6169537738,0.6179216148,0.000258213662948514,0.000462061075458941,0.0579942740569908,57.9942740569908,1.49749139342956e-05,2.67968966412337e-05,26.7968966412337,178.945246422175,0.0992798350515464,8.39790054787343,1174.11658687172,12.3128875110447,79.8306358798795,23.5304266825402,0.136926572016109,94.6689478387681,94.6689478387681,91.5439297578001,1.08223075452188,4.76181531989625,153.504859631427
"12566","Colm","weland-y",80.9980835962145,-0.341944411,-78.1987968,262.4,3931.918043,3932.783447,10,0.044294699,0.039455915,270,17,15,NA,"","",NA,NA,1.69862776025237,735.511618604416,0.08249643,7.83341955835962,6.872,626.056680757098,3.23515411764706,418.53,0.616950102907255,0.617917943907256,0.000258212126569774,0.000454485827087938,0.0579917715168839,57.9917715168839,1.4974178646923e-05,2.63564382421457e-05,26.3564382421457,176.012580480076,0.146761438485804,12.8938755313051,1174.01593067188,18.9039010393335,343.30012186756,91.2895141634298,1.40577474480451,214.500345348504,214.500345348504,207.420586893474,2.36091496541498,3.54137244812247,157.04623207955
"12567","Colm","",88.9757772870663,-0.342012411,-78.19873731,272.4,3931.468448,3932.43335,10,0.050709807,0.044294699,280,35,60,NA,"","",NA,NA,1.34656151419558,825.952505198423,0.08249643,7.84935015772871,6.872,626.014942586751,0.392840142857143,418.53,0.616908907333123,0.617876748333123,0.000258194884986132,0.000510336848189598,0.0579636965936236,57.9636965936236,1.49659299753617e-05,2.9581010229008e-05,29.581010229008,197.655677112662,0.116342914826498,7.96047047346674,1172.88706904041,11.6645652304993,87.5694561993058,20.6452815754201,0.195423517174415,101.171103469002,101.171103469002,97.8365746994528,1.42988939097437,8.5793363458462,165.625568425396
"12569","Colm","",97.032458044164,-0.342074411,-78.19867324,282.4,3931.062159,3931.770264,10,0.046530882,0.050709807,290,100,40,NA,"","",NA,NA,0.991009463722398,917.288846115142,0.08249643,7.86543848580442,6.872,625.972791167192,0.206241075,418.53,0.616867303882019,0.617835144882019,0.000258177472693741,0.000566733287138209,0.0579353607231021,57.9353607231021,1.49576050110908e-05,3.28338974241415e-05,32.8338974241415,219.513066428722,0.0856232176656151,4.78976376572946,1171.74837994224,7.0146089937915,80.5852560126652,20.5100087930173,0.0941424412101496,92.6261906082332,92.6261906082332,89.5776464843825,1.60131620222771,6.40526480891085,172.030833234307
"12570","Colm","syn 7",105.010151735016,-0.342136411,-78.19860841,292.4,3930.669343,3931.503662,10,0.016998834,0.046530882,300,29,46,NA,"","",NA,NA,0.638943217665615,1007.72973270915,0.08249643,7.8813690851735,6.872,625.931052996845,0.618414017991004,418.53,0.616826108307886,0.617793949307886,0.0002581602311101,0.000622569331405366,0.0579073194987873,57.9073194987873,1.49493669847733e-05,3.60513211838369e-05,36.0513211838369,241.156172168072,0.0552046940063091,2.61609391649419,1170.62218905925,3.82917016761429,44.7897354841464,27.9322209906357,0.103125832076352,71.5181378044941,71.5181378044941,69.1676344034297,1.45957225323875,6.71403236489824,178.744865599205
"30071","Colm","",111.559131738281,-0.342201411,-78.19853818,303.1,3930.256991,3931.418945,10,0.01011798,0.016998834,310,72,62,NA,"","",NA,NA,0.8121337890625,1038.18268580566,0.08249643,7.89743212890625,6.8721025390625,625.8924859375,0.184803830645161,418.53,0.616788042620312,0.617755883620312,0.000258144299477879,0.000641343462429187,0.0578790621026079,57.8790621026079,1.49411499409144e-05,3.71203580910405e-05,37.1203580910405,248.443782692999,0.070168359375,3.16369993464356,1169.48797827118,4.62814180418262,15.7411971487313,15.5777332012508,0.018343144746057,39.4827516814257,15.7411971487313,15.2245874334535,0.33766929368636,2.09354962085543,180.83841522006
"31141","Colm","",117.910887890625,-0.342261411,-78.19846347,313.8,3929.875136,3931.287598,10,0.02801026,0.01011798,320,96,64,NA,"","",NA,NA,1.00283203125,1065.56565276953,0.08249643,7.913158203125,6.87220703125,625.85486875,0.134271533203125,418.53,0.61675091445625,0.61771875545625,0.000258128760227374,0.000658219888885722,0.0578514139731143,57.8514139731143,1.49331137662806e-05,3.80789512772652e-05,38.0789512772652,254.996726558453,0.0866446875,3.74342416682395,1168.37886584936,5.47325310162249,34.2465151415773,13.693174114531,0.0368952192506142,58.9684156974544,58.9684156974544,57.035839423025,1.32014227158794,8.44891053816284,189.287325758223
"12572","Colm","",124.203281835938,-0.342314411,-78.19838358,324.4,3929.554782,3930.820801,10,0.057907011,0.02801026,330,51,30,NA,"","",NA,NA,1.191748046875,1092.6927041543,0.08249643,7.9287373046875,6.872310546875,625.817603125,0.539192352941177,418.53,0.616714133284375,0.617681974284375,0.000258113366203509,0.000674936586788159,0.0578240403083439,57.8240403083439,1.49251576914741e-05,3.90275604000146e-05,39.0275604000146,261.488429179605,0.10296703125,4.27206500924966,1167.28139058601,6.24283289884126,160.081993013498,33.5360385740873,0.306297801801359,136.950934409637,136.950934409637,132.468855521889,3.19281770212804,9.57845310638413,198.865778864607
"33271","Colm","",130.673762402344,-0.342361411,-78.19830049,335.1,3929.317228,3930.051025,10,0.048051927,0.057907011,340,42,80,NA,"","",NA,NA,1.3860107421875,1120.58750227637,0.08249643,7.94475732421875,6.8724169921875,625.7792828125,0.245525089285714,418.53,0.616676311135937,0.617644152135937,0.000258097536499724,0.000692124317737615,0.0577959085866558,57.7959085866558,1.49169816259791e-05,4.00019537985647e-05,40.0019537985647,268.163860501766,0.119751328125,4.77382742548431,1166.15417307199,6.97222519284999,60.6225943989479,14.9938063945262,0.115737925473521,82.6478112872366,82.6478112872366,79.9468065881828,2.00546341855165,16.0437073484132,214.90948621302
"34341","Colm","syn 8",137.025518554687,-0.342405411,-78.19821444,345.8,3929.133973,3929.794678,10,0.018756303,0.048051927,350,107,50,NA,"","",NA,NA,1.576708984375,1147.97046924023,0.08249643,7.9604833984375,6.872521484375,625.741665625,0.154198934579439,418.53,0.616639182971875,0.617607023971875,0.000258081997249219,0.000708994625115058,0.0577683094716503,57.7683094716503,1.49089606861545e-05,4.09574209173834e-05,40.9574209173834,274.716808096619,0.13622765625,5.22977769283575,1165.04893715012,7.63401820590998,28.7430371601532,16.4222104308964,0.0283725010240341,53.4848668964799,53.4848668964799,51.7393863455686,1.34773134761073,6.73865673805366,221.648142951074
"12574","Colm","",142.724290429687,-0.342443411,-78.19813696,355.4,3928.991438,3929.671143,10,0.018756303,0.018756303,360,80,30,NA,"","",NA,NA,1.747802734375,1172.53836483398,0.08249643,7.9745927734375,6.872615234375,625.707915625,0.343735125,418.53,0.616605871721875,0.617573712721875,0.000258068055491756,0.00072412887127936,0.0577435614918615,57.7435614918615,1.49017686313734e-05,4.1813780006752e-05,41.813780006752,280.596089236814,0.15101015625,5.61125492047602,1164.05841745372,8.18689854760516,50.1396006126868,28.6470447640842,0.0632470335327426,72.7359262845202,72.7359262845202,70.3651791370821,1.89366850136771,5.68100550410312,227.329148455177
"12576","Colm","",154.181196386719,-0.342521411,-78.197985,374.5,3928.957834,3929.471191,10,0.006564777,0.010439902,380,70,400,NA,"","",NA,NA,2.0917724609375,1221.93007160059,0.08249643,8.00295849609375,6.8728037109375,625.6400640625,0.0294630107142857,418.53,0.616538902229687,0.617506743229687,0.000258040026750191,0.000754550058968497,0.0576938473274709,57.6938473274709,1.4887321907702e-05,4.35328959030626e-05,43.5328959030626,292.41589704956,0.180729140625,6.30914711830424,1162.07018641503,9.19616778824412,2.05829354955829,2.99351564716515,0.00189743151281226,13.2074519303737,2.05829354955829,1.99137594891097,0.0570441070971107,2.28176428388443,229.610912739062
"38171","Colm","",159.93933046875,-0.342566411,-78.19791141,384.1,3929.033885,3929.425537,10,0.002383689,0.006564777,390,30,70,NA,"","",NA,NA,2.2646484375,1246.75388277344,0.08249643,8.01721484375,6.8728984375,625.6059625,0.392840142857143,418.53,0.6165052439875,0.6174730849875,0.000258025939766088,0.000769836966216258,0.0576688814002512,57.6688814002512,1.48800673185589e-05,4.43956367022546e-05,44.3956367022546,298.356423743345,0.195665625,6.62923430195065,1161.07249452842,9.65799504339468,5.30177974068336,18.9963229417245,0.00918616961468547,22.8880971344256,5.30177974068336,5.12963279151569,0.151404032570862,1.05982822799603,230.670740967058
"12578","Colm","",165.697464550781,-0.342620411,-78.19784369,393.7,3929.108069,3929.425537,10,0.00034156,0.002383689,400,71,140,NA,"","",NA,NA,2.4375244140625,1271.57769394629,0.08249643,8.03147119140625,6.8729931640625,625.5718609375,0.0829943963782696,418.53,0.616471585745312,0.617439426745312,0.000258011852781986,0.000785122202412323,0.0576439288065485,57.6439288065485,1.48728168730104e-05,4.52575283402965e-05,45.2575283402965,304.296951456619,0.210602109375,6.93118674507561,1160.07585446102,10.092961771096,0.375483190456919,7.58236811411913,0.000278089622724495,5.07577557764577,0.375483190456919,0.363306980618013,0.0110389777801292,0.154545688921809,230.82528665598
"12580","Colm","",166.172742857143,-0.342684411,-78.19779388,402.7,3929.131643,3929.419189,10,0.010717888,0.00034156,410,55,170,NA,"","",NA,NA,2.05232142857143,1229.2030594881,0.08249643,8.02248214285714,6.87279761904762,625.614328571429,0.0882314759358289,418.53,0.6165135013,0.6174813423,0.000258029395699089,0.000759009955131976,0.0576596606017038,57.6596606017038,1.48778873812722e-05,4.37642564062242e-05,43.7642564062241,294.156389846808,0.177320571428571,6.13855522220195,1160.70414302099,8.9415174636406,7.41942003297552,6.97545847167864,0.00927687630688966,26.71452029057,7.41942003297552,7.17862792659447,0.207364495380434,3.52519642146737,234.350483077447
"12581","Colm","",166.236702857143,-0.342760411,-78.19776789,411.7,3929.081517,3929.232422,10,0.024077966,0.00034156,420,22,140,NA,"","",NA,NA,1.62657142857143,1181.91941290476,0.08249643,8.01175714285714,6.87258095238095,625.662428571429,0.267845551948052,418.53,0.616560976,0.617528817,0.00025804926528528,0.000729869296840412,0.0576784374312979,57.6784374312979,1.48838784019494e-05,4.20977205708351e-05,42.0977205708351,282.841067589758,0.140535771428571,5.16412826077347,1161.45431263017,7.52492233891038,24.9769248991634,11.4260823241697,0.0632664174728836,53.0818892602379,53.0818892602379,51.3574944158882,1.39763474722341,19.5668864611277,253.917369538575
