,,water,dtw < 1,dtw >=1,,,,notes
Colmillo,13,354.098935,1172.558186,6582.797673,,,,
Colmillo,14,172.056629,1492.924022,3821.819689,,,,
Colmillo,15,286.315986,2150.245933,9915.224849,,,,
Colmillo,16,63.554117,327.182844,681.505812,,,,
Colmillo,17,173.524803,1995.284997,7898.87666,,,,
Colmillo,18,538.704026,2778.09889,17544.2958,,,,
Colmillo,19,6803.47395,11992.41165,102029.5386,,,,
Colmillo,20,862.595944,1495.82784,23825.94255,,,,
Colmillo,21,86.960155,307.949288,1754.745552,,,,
Colmillo,22,78.778895,235.96721,3016.722739,,,,
Colmillo,23,1363.346276,1872.667392,20017.97142,,,,
Colmillo,24,17.027681,210.929249,1470.591151,,,,
Colmillo,25,127.142026,939.543831,3445.920731,,,,
Colmillo,26,108,0,0,,,,
Colmillo,27,99,0,0,,,,
Colmillo,28,135,0,0,,,,
Colmillo,29,69.273193,0,0,,,,
Colmillo,30,6754.708481,26580.81652,131105.5594,,,,
Colmillo,31,21.447183,436.384939,239.241209,,,,
