,lon_fit,lat_fit,ele_fit,dist,slope,ante_slope,Date,EOS_no,VaisalaType,Flux_ave,CO2_ppm_ave,adjusted_ppm,AirTemp_c,WaterTemp_c,Total_hPa,Wetland,dist_ANTE,dist_GAVI,dist_COLM,dist_GAVItrib1,dist_GAVItrib2,air_pressure_atm,VaporPressure_atm,TotalAir_atm,Total_air_MolperL,CO2_air_MolesPerLiter,CO2_air_gCO2asCPerLiter,WaterTemp_K,KH_mol.L.atm,CO2_water_gCO2asCPerLiter,deltaCO2_gCO2asCperM3,Flux_gCO2asCperM2perDay,k_m.d,Sc,K600.effective
2976,-78.19218118,-0.317380145,4319.310512,443.9671375,0.118773893,0.117956885,7/5/2021,EOS2,old,1,3097.733333,4671.762465,6.6755,10.184875,627.4869,ANTE,443.9671375,NA,NA,NA,NA,0.619281442,0.009791352,0.60949009,0.02654372,1.09E-05,0.000130595,283.334875,0.053316762,0.002988999,0.152400838,1.0368,6.803112194,1022.664441,8.881750842
3101,-78.19214109,-0.317504145,4322.593278,450.1685604,0.14563551,0.136072452,7/5/2021,EOS2,old,0.083333333,651.8833333,984.4754058,6.68,10.56925,627.3064,ANTE,450.1685604,NA,NA,NA,NA,0.619103302,0.009794384,0.609308919,0.026535403,1.09E-05,0.000130554,283.71925,0.052708414,0.000622682,0.025939258,0.0864,3.330858518,999.6779722,4.299427422
41000,-78.20378211,-0.331577,4056.93631,32.59343969,0.404227404,0.338920988,6/22/2021,EOS_1,new,0.025,215.0745,239.8075318,6.762,8.48775,627.3004,GAVI,NA,32.59343969,NA,NA,NA,0.619097381,0.009849765,0.609247616,0.026524961,1.09E-05,0.000130503,281.63775,0.056108848,0.000161464,0.001737191,0.02592,14.92063959,1132.084825,20.49515936
103100,-78.20359633,-0.331489,4062.080658,55.47752445,0.17226482,0.196989806,6/22/2021,EOS_1,new,0.75,210.5327869,234.9079992,6.759,8.645,627.1294,GAVI,NA,55.47752445,NA,NA,NA,0.618928617,0.009847734,0.609080883,0.026517986,1.09E-05,0.000130468,281.795,0.055842668,0.000157415,0.001504747,0.7776,516.7647276,1121.383563,706.4709861
28110,-78.20327396,-0.331311,4066.086431,96.49041668,0.000264669,0.000264669,6/22/2021,EOS_1,new,0.17,258.9661667,289.0240342,6.7595,8.70675,627.0734,GAVI,NA,96.49041668,NA,NA,NA,0.618873349,0.009848073,0.609025277,0.026515517,1.09E-05,0.000130456,281.85675,0.055738568,0.000193317,0.003503787,0.176256,50.30442976,1117.213572,68.64338736
28710,-78.20326454,-0.331305,4066.08676,97.73409285,0.000264669,0.000264669,6/22/2021,EOS_1,new,0.43,239.1148148,266.9091499,6.758166667,8.736666667,627.0269,GAVI,NA,97.73409285,NA,NA,NA,0.618827457,0.00984717,0.608980287,0.026513685,1.09E-05,0.000130447,281.8866667,0.05568822,0.000178364,0.002668413,0.445824,167.0745627,1115.199805,227.7776198
52710,-78.20295142,-0.331068,4068.850219,141.4902972,0.114488299,0.12021797,6/22/2021,EOS_1,new,0.26,260.1783333,290.3690171,6.756,8.67725,627.0284,GAVI,NA,141.4902972,NA,NA,NA,0.618828938,0.009845704,0.608983234,0.026514019,1.09E-05,0.000130449,281.82725,0.05578827,0.00019439,0.003567172,0.269568,75.56911192,1119.203452,103.2103412
58510,-78.20288583,-0.33101,4070.027824,151.2372293,0.104742851,0.085153788,6/22/2021,EOS_1,new,1.315,262.0501667,292.3381055,6.752,8.554,627.0599,GAVI,NA,151.2372293,NA,NA,NA,0.618860026,0.009842997,0.609017029,0.026515869,1.09E-05,0.000130458,281.704,0.055996515,0.000196439,0.003694701,1.363392,369.0128302,1127.561928,505.8666431
73110,-78.20272262,-0.330864,4071.873482,175.6139776,0.069180765,0.073472995,6/22/2021,EOS_1,new,0.25,270.7918333,301.863638,6.748,8.3405,627.1434,GAVI,NA,175.6139776,NA,NA,NA,0.618942434,0.00984029,0.609102144,0.026519954,1.09E-05,0.000130478,281.4905,0.056359524,0.000204155,0.004152374,0.2592,62.42213005,1142.213178,86.12644913
87310,-78.20255286,-0.330722,4073.764091,200.2537681,0.079546625,0.079058381,6/22/2021,EOS_1,new,0.025,273.8465,305.1142533,6.745,8.18675,627.1784,GAVI,NA,200.2537681,NA,NA,NA,0.618976976,0.009838261,0.609138715,0.02652183,1.09E-05,0.000130487,281.33675,0.056622742,0.000207317,0.004350295,0.02592,5.958216855,1152.900576,8.259173864
100010,-78.20239331,-0.330601,4075.498537,222.5459717,0.075653033,0.073097404,6/18/2021,EOS_1,new,0.45,755.060625,840.4133411,7.825,7.745,626.9584,GAVI,NA,222.5459717,NA,NA,NA,0.618759853,0.010593131,0.608166722,0.026377729,1.08E-05,0.000129778,280.895,0.057387501,0.000578751,0.025765394,0.46656,18.10800926,1184.251734,25.43999944
112510,-78.20221485,-0.330476,4077.267274,246.8011666,0.068270737,0.06164724,6/18/2021,EOS_1,new,0.505,658.354,732.8636107,7.828,7.80175,626.9944,GAVI,NA,246.8011666,NA,NA,NA,0.618795382,0.010595297,0.608200085,0.026378894,1.08E-05,0.000129784,280.95175,0.057288545,0.000503816,0.021427756,0.523584,24.43485035,1180.170155,34.26938986
134410,-78.20188644,-0.330257,4078.390401,290.7428514,0.000148668,0.000148668,6/18/2021,EOS_1,new,0.845,525.8558333,585.6533621,7.836,7.89225,626.8364,GAVI,NA,290.7428514,NA,NA,NA,0.618639448,0.010601075,0.608038373,0.02637113,1.08E-05,0.000129746,281.04225,0.057131173,0.000401509,0.015526128,0.876096,56.42720586,1173.69431,78.92060757
147710,-78.20170784,-0.330135,4078.393981,314.8203182,0.000148668,0.000148668,6/18/2021,EOS_1,new,2.665,386.1658333,430.0718885,7.841,7.9255,626.9214,GAVI,NA,314.8203182,NA,NA,NA,0.618723337,0.010604688,0.608118649,0.026374142,1.08E-05,0.000129761,281.0755,0.057073488,0.000294548,0.009405006,2.763072,293.7873673,1171.325254,410.4840114
174610,-78.20135943,-0.329866,4081.997464,363.8417494,0.146554057,0.163937279,6/18/2021,EOS_1,new,0.385,487.4621667,543.1837973,7.8475,8.0255,626.7359,GAVI,NA,363.8417494,NA,NA,NA,0.618540263,0.010609386,0.607930877,0.026365388,1.08E-05,0.000129718,281.1755,0.056900432,0.000370889,0.013722734,0.399168,29.08808055,1164.233153,40.51906546
18901,-78.20120445,-0.329722,4085.898958,387.3957672,0.130748979,0.101275049,6/18/2021,EOS_1,new,0.245,408.2201667,455.056507,7.857,8.0995,626.6184,GAVI,NA,387.3957672,NA,NA,NA,0.618424299,0.010616256,0.607808043,0.02635917,1.08E-05,0.000129687,281.2495,0.056772788,0.000310018,0.010237882,0.254016,24.81138116,1159.01666,34.48419995
20781,-78.20103024,-0.329534,4088.157658,415.9349184,0.059442709,0.032787257,6/18/2021,EOS_1,new,0.915,343.489,383.055565,7.868,8.15625,626.4404,GAVI,NA,415.9349184,NA,NA,NA,0.618248627,0.010624216,0.607624411,0.026350175,1.08E-05,0.000129643,281.30625,0.056675138,0.000260517,0.007417294,0.948672,127.9000102,1155.034348,177.4567011
22681,-78.20087673,-0.329343,4089.325824,443.217236,0.149092799,0.187692073,6/18/2021,EOS_1,new,0.99,344.7406667,384.5926836,7.877,8.22725,626.3254,GAVI,NA,443.217236,NA,NA,NA,0.618135131,0.010630732,0.607504399,0.026344127,1.08E-05,0.000129613,281.37725,0.056553259,0.000261,0.007430337,1.026432,138.140711,1150.074214,191.2533252
24061,-78.20077953,-0.329206,4093.371118,461.9196463,0.289503072,0.299041504,6/18/2021,EOS_1,new,0.135,381.5823333,425.8647478,7.886,8.29475,626.1764,GAVI,NA,461.9196463,NA,NA,NA,0.617988079,0.010637252,0.607350827,0.026336624,1.08E-05,0.000129576,281.44475,0.056437689,0.000288418,0.008964657,0.139968,15.6133131,1145.381339,21.57220283
30431,-78.19987476,-0.326342711,4108.094689,836.3879143,9.12E-05,9.12E-05,6/30/2021,EOS_2,old,0.145,535.2198582,803.0591258,6.739,8.19325,626.2684,GAVI,NA,836.3879143,NA,NA,NA,0.618078876,0.009834204,0.608244672,0.026483471,1.09E-05,0.000130299,281.34325,0.056611583,0.000545549,0.023508,0.150336,6.395099605,1152.446424,8.863026751
3284,-78.19985739,-0.326101711,4109.616035,864.8152001,0.164470543,0.139338473,6/30/2021,EOS_2,old,0.43,521.4201681,782.0848506,6.721,8.12925,626.4174,GAVI,NA,864.8152001,NA,NA,NA,0.618225928,0.00982204,0.608403888,0.026492107,1.09E-05,0.000130341,281.27925,0.056721571,0.000532333,0.022801607,0.445824,19.55230632,1156.927052,27.15034519
3357,-78.19981325,-0.326028711,4110.967611,874.3120208,0.095229832,0.049343714,6/29/2021,EOS_2,old,0.61,607.0784884,912.0652302,7.232,8.75275,626.7564,GAVI,NA,874.3120208,NA,NA,NA,0.618560495,0.010172561,0.608387934,0.026443132,1.08E-05,0.0001301,281.90275,0.055661176,0.000609199,0.026667229,0.632448,23.71629962,1114.118949,32.31744985
3611,-78.19970834,-0.325780711,4111.502335,904.5387749,0.184273091,0.302989479,6/30/2021,EOS_2,old,0.09,627.3978495,941.5744961,6.759483871,8.235217742,626.1743355,GAVI,NA,904.5387749,NA,NA,NA,0.617986042,0.009848062,0.60813798,0.026476888,1.09E-05,0.000130266,281.3852177,0.056539602,0.000638835,0.028754271,0.093312,3.245152711,1149.519111,4.491771049
3659,-78.1997043,-0.325738711,4113.203688,909.2371653,0.29782842,0.190464701,6/29/2021,EOS_2,NA,1.91,NA,NA,NA,NA,NA,GAVI,NA,909.2371653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.980288,NA,NA,NA
3777,-78.19970624,-0.325621711,4115.551479,922.2704923,0.186771231,0.277314614,6/29/2021,EOS_2,old,0.16,218.4488136,328.1115887,7.224762712,8.693961864,626.8258576,GAVI,NA,922.2704923,NA,NA,NA,0.618629044,0.01016752,0.608461524,0.026447013,1.08E-05,0.000130119,281.8439619,0.055760107,0.000219546,0.004986467,0.165888,33.26764142,1118.07567,45.41318744
3998,-78.19970056,-0.325404711,4121.711353,946.4940097,0.091043813,0.244476103,6/30/2021,EOS_2,old,0.015,372.8846154,559.8279156,6.799307692,8.387423077,626.2721692,GAVI,NA,946.4940097,NA,NA,NA,0.618082596,0.009875054,0.608207542,0.02647615,1.09E-05,0.000130263,281.5374231,0.056279493,0.000378082,0.013947146,0.015552,1.11506687,1138.974301,1.536322
4053,-78.19968867,-0.325347711,4122.520919,952.9772656,0.332244853,0.524118725,6/29/2021,EOS_2,old,0.54,401.7448598,603.2049531,7.218738318,8.610941589,626.9314654,GAVI,NA,952.9772656,NA,NA,NA,0.618733271,0.010163326,0.608569944,0.026452294,1.08E-05,0.000130145,281.7609416,0.055900187,0.000404631,0.015343816,0.559872,36.48844682,1123.691301,49.9347939
4306,-78.19961798,-0.325100711,4131.933789,981.5888506,0.143656533,0.17944061,6/29/2021,EOS_2,old,0.105,488.0076336,732.2979147,7.21,8.42425,626.9254,GAVI,NA,981.5888506,NA,NA,NA,0.618727285,0.010157245,0.608570039,0.026453123,1.08E-05,0.000130149,281.57425,0.05621678,0.000494009,0.020455027,0.108864,5.322114706,1136.439757,7.324564616
4319,-78.19961549,-0.325087711,4132.130382,983.0623928,0.156882003,0.189400333,6/30/2021,EOS_2,old,0.295,414.1914894,621.9051847,6.816489362,8.380611702,626.1454,GAVI,NA,983.0623928,NA,NA,NA,0.617957484,0.009886719,0.608070765,0.026468571,1.09E-05,0.000130225,281.5306117,0.056291102,0.000420093,0.016316953,0.305856,18.74467579,1139.443798,25.83144866
4587,-78.19962914,-0.324821711,4135.922456,1012.930814,0.005071141,0.002191587,6/29/2021,EOS_2,old,2.605,417.4536752,626.1703207,7.205076923,8.312653846,626.9834769,GAVI,NA,1012.930814,NA,NA,NA,0.618784602,0.010153821,0.608630781,0.026456227,1.08E-05,0.000130165,281.4626538,0.056407084,0.000423845,0.01656567,2.700864,163.039831,1144.1403,225.1426289
4738,-78.19965015,-0.324669711,4135.948116,1030.03892,0.000536827,0.000536827,6/30/2021,EOS_2,old,0.235,519.6016949,780.5918068,6.823711864,8.536220339,626.1039254,GAVI,NA,1030.03892,NA,NA,NA,0.617916552,0.009891626,0.608024926,0.026465893,1.09E-05,0.000130212,281.6862203,0.056026635,0.000524807,0.022107829,0.243648,11.02089197,1128.773683,15.11626712
5047,-78.19960236,-0.324359711,4140.191773,1065.075385,0.418766977,0.489654884,6/29/2021,EOS_2,old,1.22,615.4989744,922.8448464,7.200512821,8.178352564,626.9800667,GAVI,NA,1065.075385,NA,NA,NA,0.618781236,0.010150647,0.608630589,0.02645665,1.08E-05,0.000130167,281.3283526,0.056637162,0.000627208,0.028150994,1.264896,44.93255244,1153.487605,62.30055719
5194,-78.19960552,-0.324216711,4148.748203,1081.147777,0.631441301,0.66643953,6/30/2021,EOS_2,old,0.09,373.5968992,561.2730498,6.827534884,8.576145349,626.194214,GAVI,NA,1081.147777,NA,NA,NA,0.61800566,0.009894225,0.608111435,0.026469297,1.09E-05,0.000130229,281.7261453,0.055959027,0.0003769,0.013803446,0.093312,6.76005114,1126.054748,9.260919503
28102,-78.1992679,-0.348860411,3896.007978,36.53146747,0.039972094,0.036736909,7/6/2021,EOS_2,old,1.345,679.1547619,1016.356867,6.862,7.431,626.4884,COLM,NA,NA,36.53146747,NA,NA,0.618295999,0.009917677,0.608378322,0.026477655,1.09E-05,0.00013027,280.581,0.057938859,0.000706639,0.033394141,1.394496,41.75870268,1207.126691,59.23082736
43100,-78.1993405,-0.348780411,3896.44585,48.58079236,0.033067151,0.030369271,7/6/2021,EOS_1,new,2.675,429.5183333,477.9260015,6.862,7.431,626.4884,COLM,NA,NA,48.58079236,NA,NA,0.618295999,0.009917677,0.608378322,0.026477655,1.09E-05,0.00013027,280.581,0.057938859,0.000332286,0.011704564,2.77344,236.9537164,1207.126691,336.0967599
123100,-78.19956692,-0.348310411,3897.524449,108.2714287,0.007899912,0.005496292,7/6/2021,EOS_1,new,1.06,432.0233333,480.5718899,6.86,7.381,626.5954,COLM,NA,NA,108.2714287,NA,NA,0.6184016,0.009916315,0.608485285,0.026482499,1.09E-05,0.000130294,280.531,0.058027257,0.000334635,0.011857367,1.099008,92.68566998,1210.815076,131.666678
173101,-78.19967273,-0.347920411,3897.824605,154.4735192,0.009997783,0.010063725,7/6/2021,EOS_2,old,2.15,637.1111111,953.0625774,6.859,7.3305,626.5684,COLM,NA,NA,154.4735192,NA,NA,0.618374953,0.009915634,0.608459319,0.026481464,1.09E-05,0.000130289,280.4805,0.058116709,0.000664666,0.031056263,2.22912,71.77682751,1214.553224,102.1214351
22412,-78.19976445,-0.347530411,3898.480118,201.4321656,0.016931325,0.014882404,7/6/2021,EOS_1,new,1.005,416.0853333,462.7081931,6.858,7.30525,626.6429,COLM,NA,NA,201.4321656,NA,NA,0.618448479,0.009914953,0.608533526,0.026484788,1.09E-05,0.000130305,280.45525,0.058161498,0.000322942,0.011204025,1.041984,93.00086153,1216.427162,132.4202493
27212,-78.1997358,-0.347230411,3898.863434,235.4720703,0.007704826,0.006804181,7/6/2021,EOS_2,old,1.485,695.7578947,1040.094968,6.855,7.179,626.7694,COLM,NA,NA,235.4720703,NA,NA,0.618573325,0.00991291,0.608660414,0.026490594,1.09E-05,0.000130334,280.329,0.058386084,0.000728725,0.034937716,1.539648,44.06836423,1225.845651,62.98965077
30712,-78.19975087,-0.346920411,3899.002635,270.0595727,2.50E-05,2.50E-05,7/6/2021,EOS_1,new,0.22,486.6241667,540.8539281,6.855,7.179,626.7694,COLM,NA,NA,270.0595727,NA,NA,0.618573325,0.00991291,0.608660414,0.026490594,1.09E-05,0.000130334,280.329,0.058386084,0.00037894,0.014515154,0.228096,15.71433559,1225.845651,22.46147612
35811,-78.1999367,-0.346540411,3899.003819,317.451324,2.50E-05,2.50E-05,7/7/2021,EOS_2,old,0.44,825.372093,1241.066249,6.899,8.68,625.6314,COLM,NA,NA,317.451324,NA,NA,0.617450206,0.00994291,0.607507296,0.026436253,1.08E-05,0.000130066,281.83,0.055783634,0.000830774,0.039088032,0.456192,11.67088702,1119.01778,15.93847381
36111,-78.19994467,-0.346520411,3899.003879,319.848,2.50E-05,2.50E-05,7/7/2021,EOS_2,old,0.08,868.3513514,1305.726549,6.919,8.779,625.9324,COLM,NA,NA,319.848,NA,NA,0.61774727,0.009956572,0.607790698,0.026446697,1.08E-05,0.000130118,281.929,0.055617072,0.000871448,0.041230632,0.082944,2.01170819,1112.357488,2.739123098
37911,-78.19996523,-0.346350411,3899.004359,339.0796682,2.50E-05,2.50E-05,7/7/2021,EOS_2,old,0.135,557.0119048,838.0207519,6.914,8.9285,625.8624,COLM,NA,NA,339.0796682,NA,NA,0.617678185,0.009953155,0.60772503,0.026444311,1.08E-05,0.000130106,282.0785,0.055366708,0.000556781,0.023623612,0.139968,5.924919518,1102.387537,8.031080472
40511,-78.19993737,-0.346140411,3899.527036,362.6655388,0.076517281,0.098412043,7/7/2021,EOS_1,new,1.81,373.7356667,417.9610576,6.9165,8.85375,625.8974,COLM,NA,NA,362.6655388,NA,NA,0.617712727,0.009954863,0.607757864,0.026445504,1.08E-05,0.000130112,282.00375,0.055491716,0.000278321,0.008224351,1.876608,228.1770207,1107.359353,309.9849214
44611,-78.19986573,-0.345870411,3903.086714,394.1112107,0.132970281,0.145167109,7/7/2021,EOS_1,new,0.785,346.127,387.2192495,6.908,8.87875,625.6964,COLM,NA,NA,394.1112107,NA,NA,0.617514356,0.009949056,0.6075653,0.026437927,1.08E-05,0.000130075,282.02875,0.055449868,0.000257655,0.007074321,0.813888,115.0482222,1105.693614,156.1786582
49411,-78.19973816,-0.345690411,3906.473886,418.6819038,0.133615388,0.11748577,7/7/2021,EOS_1,new,0,330.7411667,369.827239,6.903,8.7295,625.7264,COLM,NA,NA,418.6819038,NA,NA,0.617543964,0.009945641,0.607598323,0.026439836,1.08E-05,0.000130084,281.8795,0.055700276,0.000247194,0.006523046,0,0,1115.681825,0
57411,-78.19954955,-0.345230411,3911.81946,478.1898808,0.076740713,0.081704982,7/7/2021,EOS_2,old,0.33,814.1621622,1224.291297,6.903,8.7295,625.7264,COLM,NA,NA,478.1898808,NA,NA,0.617543964,0.009945641,0.607598323,0.026439836,1.08E-05,0.000130084,281.8795,0.055700276,0.00081832,0.038334956,0.342144,8.92511787,1115.681825,12.17050263
70511,-78.19852276,-0.344560411,3922.706844,618.6569522,0.029280452,0.031324188,7/7/2021,EOS_2,old,4.315,883.5116279,1328.044851,6.897,8.581,625.6534,COLM,NA,NA,618.6569522,NA,NA,0.617471918,0.009941544,0.607530374,0.026437446,1.08E-05,0.000130072,281.731,0.055950813,0.000891662,0.042611582,4.473792,104.9900466,1125.724661,143.8098368
74711,-78.19818622,-0.344320411,3923.855543,664.8313259,0.023648553,0.026358656,7/7/2021,EOS_2,old,1.23,894.6,1344.45674,6.893,8.531,625.6874,COLM,NA,NA,664.8313259,NA,NA,0.617505474,0.009938814,0.60756666,0.026439403,1.08E-05,0.000130082,281.681,0.056035482,0.000904047,0.043369531,1.275264,29.40460658,1129.129758,40.33775042
77211,-78.19821968,-0.344100411,3924.649622,692.0045051,0.031797344,0.032041707,7/7/2021,EOS_1,new,1.185,582.2221667,650.652084,6.8905,8.506,625.6599,COLM,NA,NA,692.0045051,NA,NA,0.617478333,0.009937108,0.607541225,0.026438532,1.08E-05,0.000130078,281.656,0.056077876,0.000437846,0.017259013,1.228608,71.18645749,1130.836795,97.72860997
80111,-78.19826536,-0.343890411,3925.455875,717.3545388,0.030679288,0.02966348,7/7/2021,EOS_2,old,1.95,813.3114754,1222.051938,6.88647541,8.455844262,625.6440885,COLM,NA,NA,717.3545388,NA,NA,0.617462728,0.009934362,0.607528366,0.026438352,1.08E-05,0.000130077,281.6058443,0.056163047,0.00082361,0.03895094,2.02176,51.90529462,1134.270548,71.3664942
85111,-78.19807751,-0.343660411,3926.42748,750.5060402,0.033977717,0.037194178,7/7/2021,EOS_1,new,2.105,458.9585,512.790052,6.885,8.4315,625.6554,COLM,NA,NA,750.5060402,NA,NA,0.617473892,0.009933356,0.607540536,0.026439021,1.08E-05,0.00013008,281.5815,0.056204444,0.000345853,0.0121274,2.182464,179.9614061,1135.94156,247.6177352
